model,layer,head,discovery_seeds,first_span_mass_mean,ten_span_total_mass_mean,first_share_ratio_of_means,first_share_mean_of_rows,other_nine_span_mass_mean,first_minus_other_mean,span_1_mass,span_2_mass,span_3_mass,span_4_mass,span_5_mass,span_6_mass,span_7_mass,span_8_mass,span_9_mass,span_10_mass,ten_span_mass_profile,first_span_absolute_mass_rank
Qwen3-8B,9,19,20,0.27200331425519836,0.4955907676056086,0.5488466130419498,0.5196226711366699,0.024843050372267802,0.24716026388293055,0.27200331425519836,0.08026877281481574,0.04746589474343636,0.03305918052922152,0.020520007092090963,0.014324548289368976,0.013559175474097174,0.005589503298733689,0.005224486961105867,0.0035758841475399096,"[0.27200331425519836, 0.08026877281481574, 0.04746589474343636, 0.03305918052922152, 0.020520007092090963, 0.014324548289368976, 0.013559175474097174, 0.005589503298733689, 0.005224486961105867, 0.0035758841475399096]",1
Qwen3-8B,26,26,20,0.2630198265585932,0.7389356970602875,0.35594413371145367,0.3577223602049613,0.05287954116685493,0.21014028539173826,0.2630198265585932,0.2212776654108893,0.0937474039488734,0.04444587593716278,0.0215366458988683,0.02298827967933903,0.027518177972888226,0.013448016442316657,0.016531331956593932,0.014422473254762735,"[0.2630198265585932, 0.2212776654108893, 0.0937474039488734, 0.04444587593716278, 0.0215366458988683, 0.02298827967933903, 0.027518177972888226, 0.013448016442316657, 0.016531331956593932, 0.014422473254762735]",2
Qwen3-8B,29,1,20,0.14201205344870688,0.2655304815615182,0.534823921583577,0.5253177706273748,0.013724269790312367,0.12828778365839452,0.14201205344870688,0.042545895662624386,0.018252612539799883,0.009942153649171814,0.007645484024396865,0.005423904760755249,0.008559532869549002,0.009781521077093203,0.009750637740398815,0.011616685789022085,"[0.14201205344870688, 0.042545895662624386, 0.018252612539799883, 0.009942153649171814, 0.007645484024396865, 0.005423904760755249, 0.008559532869549002, 0.009781521077093203, 0.009750637740398815, 0.011616685789022085]",3
Qwen3-8B,25,8,20,0.140177620947361,0.373882970509203,0.37492379167857975,0.371689346077373,0.025967261062426892,0.11421035988493411,0.140177620947361,0.03451707698404789,0.028386663971468808,0.02183989824115997,0.021477730460901512,0.02544756255374523,0.029046194555121474,0.027299518051586348,0.02131437941061449,0.02437632533319629,"[0.140177620947361, 0.03451707698404789, 0.028386663971468808, 0.02183989824115997, 0.021477730460901512, 0.02544756255374523, 0.029046194555121474, 0.027299518051586348, 0.02131437941061449, 0.02437632533319629]",4
Qwen3-8B,26,19,20,0.13086921032518148,0.24413484791766676,0.5360529700754415,0.5202318724972431,0.012585070843609478,0.118284139481572,0.13086921032518148,0.03675628869677894,0.012821485556196421,0.007633067155256868,0.007843932865944226,0.005578434300332447,0.012602767936186865,0.009373241767752916,0.009235255273233633,0.011421164040802978,"[0.13086921032518148, 0.03675628869677894, 0.012821485556196421, 0.007633067155256868, 0.007843932865944226, 0.005578434300332447, 0.012602767936186865, 0.009373241767752916, 0.009235255273233633, 0.011421164040802978]",5
Qwen3-8B,25,11,20,0.12174698114395141,0.39396594268669105,0.3090292026607311,0.3055037116222438,0.03024655128252663,0.09150042986142479,0.12174698114395141,0.04735582046560012,0.04282765543539426,0.03004757902235724,0.02437495723183929,0.02342174197474378,0.02474432314375008,0.0284840123844333,0.025838272172950382,0.02512459971167118,"[0.12174698114395141, 0.04735582046560012, 0.04282765543539426, 0.03004757902235724, 0.02437495723183929, 0.02342174197474378, 0.02474432314375008, 0.0284840123844333, 0.025838272172950382, 0.02512459971167118]",6
Qwen3-8B,25,9,20,0.12124700299464167,0.2857397454051352,0.42432669918821403,0.42599517206737164,0.018276971378943727,0.10297003161569794,0.12124700299464167,0.05398912130040116,0.023319006018573417,0.013262327793745499,0.009387396571128193,0.007483568368479609,0.009469085215823726,0.013357716449536382,0.017242607928164944,0.016981912764640582,"[0.12124700299464167, 0.05398912130040116, 0.023319006018573417, 0.013262327793745499, 0.009387396571128193, 0.007483568368479609, 0.009469085215823726, 0.013357716449536382, 0.017242607928164944, 0.016981912764640582]",7
Qwen3-8B,24,16,20,0.1203679689206183,0.6656196228627096,0.1808359681509049,0.1810893435134729,0.06058351710467681,0.05978445181594148,0.1203679689206183,0.09186590959434397,0.0815058257570854,0.059524171988596206,0.0468311991177643,0.0656792094669072,0.04434874496000703,0.0499620862705342,0.05620252382250328,0.049331982964349666,"[0.1203679689206183, 0.09186590959434397, 0.0815058257570854, 0.059524171988596206, 0.0468311991177643, 0.0656792094669072, 0.04434874496000703, 0.0499620862705342, 0.05620252382250328, 0.049331982964349666]",8
Qwen3-8B,24,29,20,0.10821214690804482,0.3043464537538967,0.355555800218222,0.35488082986083713,0.0217927007606502,0.08641944614739461,0.10821214690804482,0.05437302375212312,0.038231225038180126,0.02626038307789713,0.01601950205367757,0.015936184427846455,0.012684313394129277,0.011453449177497532,0.01242681693402119,0.008749408990479424,"[0.10821214690804482, 0.05437302375212312, 0.038231225038180126, 0.02626038307789713, 0.01601950205367757, 0.015936184427846455, 0.012684313394129277, 0.011453449177497532, 0.01242681693402119, 0.008749408990479424]",9
Qwen3-8B,26,24,20,0.09614671054296195,0.3074952149843739,0.3126770949845443,0.30544566624386577,0.02348316716015688,0.07266354338280506,0.09614671054296195,0.06323445048183203,0.02893595350906253,0.023143311674357393,0.015012045924231643,0.014678115726565012,0.01728034820407629,0.013394730401705602,0.019479708294966258,0.01618984022461518,"[0.09614671054296195, 0.06323445048183203, 0.02893595350906253, 0.023143311674357393, 0.015012045924231643, 0.014678115726565012, 0.01728034820407629, 0.013394730401705602, 0.019479708294966258, 0.01618984022461518]",10
