model,top_k,endpoint,seed_clusters,ranked_mean,random_mean,ranked_minus_random,ci95_low,ci95_high,signflip_p,holm_p_within_model_endpoint,holm_significant_0_05
Qwen3-8B,1,all_absolute_error_increase,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
Qwen3-8B,1,correct_to_wrong_rate,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
Qwen3-8B,2,all_absolute_error_increase,20,-0.01,-0.02,0.009999999999999998,-0.020000000000000004,0.039999999999999994,0.6241268793656032,1.0,False
Qwen3-8B,2,correct_to_wrong_rate,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
Qwen3-8B,4,all_absolute_error_increase,20,-0.02,-0.026666666666666672,0.006666666666666665,-0.026666666666666672,0.04,0.8608906955465223,1.0,False
Qwen3-8B,4,correct_to_wrong_rate,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
Qwen3-8B,8,all_absolute_error_increase,20,-0.02,-0.026666666666666665,0.006666666666666665,-0.020000000000000007,0.03333333333333333,0.8129159354203229,1.0,False
Qwen3-8B,8,correct_to_wrong_rate,20,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
Qwen3-8B,16,all_absolute_error_increase,20,0.01,-0.01,0.019999999999999997,-0.013333333333333336,0.06333333333333332,0.5011074944625277,1.0,False
Qwen3-8B,16,correct_to_wrong_rate,20,0.02,0.024166666666666663,-0.004166666666666663,-0.0375,0.04166666666666667,1.0,1.0,False
Qwen3-8B,32,all_absolute_error_increase,20,0.05,-0.01,0.06000000000000001,-3.504141421473119e-18,0.13333333333333333,0.13378933105334473,0.8027359863200684,False
Qwen3-8B,32,correct_to_wrong_rate,20,0.0925,0.035833333333333335,0.056666666666666664,-0.004166666666666666,0.12833333333333335,0.1565042174789126,0.9390253048734756,False
Gemma4-E4B,1,all_absolute_error_increase,20,0.0,0.006666666666666668,-0.006666666666666668,-0.04,0.026666666666666665,1.0,1.0,False
Gemma4-E4B,1,correct_to_wrong_rate,20,0.01,0.025,-0.014999999999999996,-0.058333333333333334,0.021666666666666667,0.7469562652186739,1.0,False
Gemma4-E4B,2,all_absolute_error_increase,20,-0.01,0.006666666666666668,-0.01666666666666667,-0.04666666666666667,0.006666666666666666,0.4986625066874666,1.0,False
Gemma4-E4B,2,correct_to_wrong_rate,20,0.0,0.025,-0.025,-0.06666666666666667,0.0,0.4991275043624782,1.0,False
Gemma4-E4B,4,all_absolute_error_increase,20,0.02,0.01666666666666667,0.0033333333333333383,-0.05333333333333333,0.06000000000000001,1.0,1.0,False
Gemma4-E4B,4,correct_to_wrong_rate,20,0.057499999999999996,0.03722222222222222,0.020277777777777783,-0.03055555555555555,0.07583333333333334,0.4676076619616902,1.0,False
Gemma4-E4B,8,all_absolute_error_increase,20,0.009999999999999992,0.12000000000000002,-0.10999999999999999,-0.2666666666666667,0.08,0.2604836975815121,1.0,False
Gemma4-E4B,8,correct_to_wrong_rate,20,0.12666666666666665,0.11055555555555555,0.016111111111111114,-0.08333333333333333,0.12473611111111091,0.7898110509447452,1.0,False
Gemma4-E4B,16,all_absolute_error_increase,20,0.05,0.1966666666666667,-0.14666666666666667,-0.2166666666666667,-0.07666666666666667,0.001064994675026625,0.005324973375133124,True
Gemma4-E4B,16,correct_to_wrong_rate,20,0.11416666666666667,0.13444444444444445,-0.02027777777777777,-0.09666666666666666,0.06390277777777759,0.6589117054414728,1.0,False
Gemma4-E4B,32,all_absolute_error_increase,20,0.1,0.3333333333333333,-0.23333333333333334,-0.33,-0.13666666666666666,0.00022499887500562497,0.0013499932500337499,True
Gemma4-E4B,32,correct_to_wrong_rate,20,0.10166666666666666,0.27305555555555555,-0.17138888888888887,-0.24861111111111106,-0.09166666666666667,0.0012299938500307498,0.0073799631001844985,True
