model_label,role,layer,rows,seeds,fold,rows_test,silhouette_cosine,calinski_harabasz,davies_bouldin
Qwen3-8B,prompt_running,0,300,30,discovery_to_confirmation,100,-0.09906067699193954,2.743944221181678,6.087013898705121
Qwen3-8B,prompt_running,1,300,30,discovery_to_confirmation,100,-0.13030636310577393,11.03107865875545,6.107203796874398
Qwen3-8B,prompt_running,2,300,30,discovery_to_confirmation,100,-0.07815639674663544,10.16718250680075,7.778023929973605
Qwen3-8B,prompt_running,3,300,30,discovery_to_confirmation,100,-0.11610235273838043,13.848112810473058,7.353412329707757
Qwen3-8B,prompt_running,4,300,30,discovery_to_confirmation,100,-0.11047840863466263,13.535295903125451,7.235888648427833
Qwen3-8B,prompt_running,5,300,30,discovery_to_confirmation,100,-0.11336712539196014,16.11252787310001,6.44977981235793
Qwen3-8B,prompt_running,6,300,30,discovery_to_confirmation,100,-0.11072011291980743,17.85786849398909,6.4126730467912125
Qwen3-8B,prompt_running,7,300,30,discovery_to_confirmation,100,-0.07241468131542206,19.3867790282739,5.468307688882059
Qwen3-8B,prompt_running,8,300,30,discovery_to_confirmation,100,-0.07458151876926422,23.74990232248015,5.097487263479449
Qwen3-8B,prompt_running,9,300,30,discovery_to_confirmation,100,-0.05520940199494362,19.473504668177203,5.629483948731005
Qwen3-8B,prompt_running,10,300,30,discovery_to_confirmation,100,-0.05430813878774643,21.745706874642668,5.445236658248366
Qwen3-8B,prompt_running,11,300,30,discovery_to_confirmation,100,-0.04202883690595627,21.786790784657377,5.023066774239295
Qwen3-8B,prompt_running,12,300,30,discovery_to_confirmation,100,-0.032363831996917725,23.082711609610072,4.948964749490015
Qwen3-8B,prompt_running,13,300,30,discovery_to_confirmation,100,-0.025675838813185692,23.093361563487413,4.941070255519983
Qwen3-8B,prompt_running,14,300,30,discovery_to_confirmation,100,-0.02377069555222988,20.981033946847607,5.175593453370462
Qwen3-8B,prompt_running,15,300,30,discovery_to_confirmation,100,-0.015188314020633698,21.297416602225656,5.0762373510292935
Qwen3-8B,prompt_running,16,300,30,discovery_to_confirmation,100,-0.008701854385435581,19.292081233470512,5.399812158499477
Qwen3-8B,prompt_running,17,300,30,discovery_to_confirmation,100,-0.017234651371836662,17.385665055695704,5.109887778985159
Qwen3-8B,prompt_running,18,300,30,discovery_to_confirmation,100,-0.012780281715095043,16.158402249730795,4.786051333932461
Qwen3-8B,prompt_running,19,300,30,discovery_to_confirmation,100,0.024156732484698296,14.913402078032384,4.598899042343893
Qwen3-8B,prompt_running,20,300,30,discovery_to_confirmation,100,0.0178621094673872,12.324984578646992,4.403409526731429
Qwen3-8B,prompt_running,21,300,30,discovery_to_confirmation,100,0.01197812333703041,12.35947396522889,4.441293455566264
Qwen3-8B,prompt_running,22,300,30,discovery_to_confirmation,100,0.00915609858930111,8.489641115891187,4.482899168496159
Qwen3-8B,prompt_running,23,300,30,discovery_to_confirmation,100,0.006920089945197105,8.263453208467201,4.712409813731074
Qwen3-8B,prompt_running,24,300,30,discovery_to_confirmation,100,0.001253328169696033,8.699425470376722,4.688245878712368
Qwen3-8B,prompt_running,25,300,30,discovery_to_confirmation,100,-0.007050665095448494,8.274680335136885,4.885700646299554
Qwen3-8B,prompt_running,26,300,30,discovery_to_confirmation,100,-0.01090236660093069,7.658134615743103,4.97248866181698
Qwen3-8B,prompt_running,27,300,30,discovery_to_confirmation,100,-0.01222173497080803,7.318910871757512,4.924731123410686
Qwen3-8B,prompt_running,28,300,30,discovery_to_confirmation,100,-0.017843877896666527,6.652425452127593,5.033415889370305
Qwen3-8B,prompt_running,29,300,30,discovery_to_confirmation,100,-0.024365844205021858,6.1464203246733575,5.194928925059145
Qwen3-8B,prompt_running,30,300,30,discovery_to_confirmation,100,-0.03697792440652847,5.110895629606702,5.251506738929895
Qwen3-8B,prompt_running,31,300,30,discovery_to_confirmation,100,-0.0438699908554554,4.60186606801859,5.325753053859614
Qwen3-8B,prompt_running,32,300,30,discovery_to_confirmation,100,-0.044624775648117065,4.522159709448056,5.406806304365851
Qwen3-8B,prompt_running,33,300,30,discovery_to_confirmation,100,-0.045608893036842346,4.372731278342579,5.570722194329307
Qwen3-8B,prompt_running,34,300,30,discovery_to_confirmation,100,-0.04340558499097824,4.270842978792229,5.872207894795492
Qwen3-8B,prompt_running,35,300,30,discovery_to_confirmation,100,-0.05987885966897011,3.5024285141005675,6.488440211342509
Qwen3-8B,answer_query,0,200,20,group_fold_0,40,-0.25262588262557983,0.0010475643440386456,214.91529987812442
Qwen3-8B,answer_query,0,200,20,group_fold_1,40,-0.256403386592865,0.003508326946625157,100.32103362383198
Qwen3-8B,answer_query,0,200,20,group_fold_2,40,-0.25394290685653687,0.003134760054551364,97.20007357633833
Qwen3-8B,answer_query,0,200,20,group_fold_3,40,-0.25238656997680664,0.0011469765209477258,195.16004273316858
Qwen3-8B,answer_query,0,200,20,group_fold_4,40,-0.25383248925209045,0.003426109542022897,121.03108340839
Qwen3-8B,answer_query,1,200,20,group_fold_0,40,-0.2598247528076172,0.02614534722761489,77.28102797413763
Qwen3-8B,answer_query,1,200,20,group_fold_1,40,-0.2577129900455475,0.013471021129918524,40.393042239767965
Qwen3-8B,answer_query,1,200,20,group_fold_2,40,-0.25553861260414124,0.012221599768209556,60.67566362835887
Qwen3-8B,answer_query,1,200,20,group_fold_3,40,-0.2530524432659149,0.00502044916574529,74.79927627887803
Qwen3-8B,answer_query,1,200,20,group_fold_4,40,-0.25337478518486023,0.008923151873328712,63.141504789910485
Qwen3-8B,answer_query,2,200,20,group_fold_0,40,-0.2633112967014313,0.035280149243451096,44.500422887443314
Qwen3-8B,answer_query,2,200,20,group_fold_1,40,-0.2588534951210022,0.050985451622127524,27.916224949965105
Qwen3-8B,answer_query,2,200,20,group_fold_2,40,-0.2532947063446045,0.04036370820963621,32.820225219158644
Qwen3-8B,answer_query,2,200,20,group_fold_3,40,-0.2550188899040222,0.016894121938995785,50.60370147480457
Qwen3-8B,answer_query,2,200,20,group_fold_4,40,-0.2564421594142914,0.01853606905786468,42.03273648362404
Qwen3-8B,answer_query,3,200,20,group_fold_0,40,-0.2707524299621582,0.06984780796071063,35.59453121960791
Qwen3-8B,answer_query,3,200,20,group_fold_1,40,-0.2599957585334778,0.08309032422468529,24.811138554929126
Qwen3-8B,answer_query,3,200,20,group_fold_2,40,-0.25331196188926697,0.06832268992638228,25.27249087185508
Qwen3-8B,answer_query,3,200,20,group_fold_3,40,-0.25451621413230896,0.026488354724265396,39.68587008120572
Qwen3-8B,answer_query,3,200,20,group_fold_4,40,-0.2575778067111969,0.024119516177643175,36.82358000989133
Qwen3-8B,answer_query,4,200,20,group_fold_0,40,-0.2607545852661133,0.060347715761874206,29.186966328606353
Qwen3-8B,answer_query,4,200,20,group_fold_1,40,-0.2726532220840454,0.11036450347900242,22.556048778265033
Qwen3-8B,answer_query,4,200,20,group_fold_2,40,-0.25528815388679504,0.07260197980196954,25.47306212439758
Qwen3-8B,answer_query,4,200,20,group_fold_3,40,-0.2542828917503357,0.03698548297988565,27.97923949516983
Qwen3-8B,answer_query,4,200,20,group_fold_4,40,-0.25807470083236694,0.030514892610205107,32.75849379215978
Qwen3-8B,answer_query,5,200,20,group_fold_0,40,-0.26462605595588684,0.05255185486784448,30.87044083875112
Qwen3-8B,answer_query,5,200,20,group_fold_1,40,-0.2674518823623657,0.1719558337856917,17.724858858365927
Qwen3-8B,answer_query,5,200,20,group_fold_2,40,-0.26172566413879395,0.09669605166374723,26.95112347266966
Qwen3-8B,answer_query,5,200,20,group_fold_3,40,-0.2550826966762543,0.047181674678608954,29.48765780495478
Qwen3-8B,answer_query,5,200,20,group_fold_4,40,-0.25797930359840393,0.041187144123559775,30.522004388928536
Qwen3-8B,answer_query,6,200,20,group_fold_0,40,-0.2643876373767853,0.0541354390849501,27.39986497497768
Qwen3-8B,answer_query,6,200,20,group_fold_1,40,-0.2713310718536377,0.20050393809852599,16.68600159014043
Qwen3-8B,answer_query,6,200,20,group_fold_2,40,-0.26040613651275635,0.10401365443426139,24.873607909709715
Qwen3-8B,answer_query,6,200,20,group_fold_3,40,-0.2542308270931244,0.06116142137391572,25.16671199520945
Qwen3-8B,answer_query,6,200,20,group_fold_4,40,-0.2604532837867737,0.044479791830304184,30.528211357219057
Qwen3-8B,answer_query,7,200,20,group_fold_0,40,-0.2623797059059143,0.07923301262159953,24.639371966093357
Qwen3-8B,answer_query,7,200,20,group_fold_1,40,-0.2769717276096344,0.29093637401238437,14.884740431499527
Qwen3-8B,answer_query,7,200,20,group_fold_2,40,-0.25684255361557007,0.15957824464638037,18.899679409799976
Qwen3-8B,answer_query,7,200,20,group_fold_3,40,-0.25868088006973267,0.09661063470891124,18.880394642860473
Qwen3-8B,answer_query,7,200,20,group_fold_4,40,-0.2589412331581116,0.05763688024038914,28.681623140635434
Qwen3-8B,answer_query,8,200,20,group_fold_0,40,-0.26120322942733765,0.12584224616081707,20.84926062582327
Qwen3-8B,answer_query,8,200,20,group_fold_1,40,-0.27560955286026,0.4491866031978804,12.775410266628267
Qwen3-8B,answer_query,8,200,20,group_fold_2,40,-0.2519208788871765,0.27234248224402746,14.159418387197155
Qwen3-8B,answer_query,8,200,20,group_fold_3,40,-0.25702768564224243,0.1638438569972234,17.802730189135254
Qwen3-8B,answer_query,8,200,20,group_fold_4,40,-0.2606315314769745,0.09565026287240368,23.220320022169776
Qwen3-8B,answer_query,9,200,20,group_fold_0,40,-0.261126846075058,0.14021846161918824,21.768554887036327
Qwen3-8B,answer_query,9,200,20,group_fold_1,40,-0.261329710483551,0.44178485663510525,12.350298655146778
Qwen3-8B,answer_query,9,200,20,group_fold_2,40,-0.25509631633758545,0.3024030648972662,12.945560493343985
Qwen3-8B,answer_query,9,200,20,group_fold_3,40,-0.25235557556152344,0.1921986924422427,17.203270860426688
Qwen3-8B,answer_query,9,200,20,group_fold_4,40,-0.26258915662765503,0.1063804803395762,21.531797478620515
Qwen3-8B,answer_query,10,200,20,group_fold_0,40,-0.2642821967601776,0.1494557784197424,17.8496724820489
Qwen3-8B,answer_query,10,200,20,group_fold_1,40,-0.25438451766967773,0.45562396630476804,11.412526438133222
Qwen3-8B,answer_query,10,200,20,group_fold_2,40,-0.25484180450439453,0.33667385187314697,13.160490986068458
Qwen3-8B,answer_query,10,200,20,group_fold_3,40,-0.2533184289932251,0.19906370555827355,16.495880999011806
Qwen3-8B,answer_query,10,200,20,group_fold_4,40,-0.26327580213546753,0.110682949918453,22.067234652472997
Qwen3-8B,answer_query,11,200,20,group_fold_0,40,-0.2596319913864136,0.1748425569226567,17.188443860980392
Qwen3-8B,answer_query,11,200,20,group_fold_1,40,-0.26014775037765503,0.4294105820038614,11.837602191413746
Qwen3-8B,answer_query,11,200,20,group_fold_2,40,-0.2549736499786377,0.37429645391539224,11.777732317331276
Qwen3-8B,answer_query,11,200,20,group_fold_3,40,-0.252787321805954,0.23635053616103596,14.9447678510173
Qwen3-8B,answer_query,11,200,20,group_fold_4,40,-0.2643563747406006,0.12398200485441686,21.730085448056364
Qwen3-8B,answer_query,12,200,20,group_fold_0,40,-0.2591920495033264,0.18757096146516725,17.990444016335353
Qwen3-8B,answer_query,12,200,20,group_fold_1,40,-0.2627483010292053,0.42564683023492883,11.952859589455047
Qwen3-8B,answer_query,12,200,20,group_fold_2,40,-0.25826430320739746,0.4147820911864868,10.407714726447054
Qwen3-8B,answer_query,12,200,20,group_fold_3,40,-0.2536320090293884,0.2672026686457524,14.369004310169327
Qwen3-8B,answer_query,12,200,20,group_fold_4,40,-0.2652897834777832,0.14492172439720824,19.9389120310267
Qwen3-8B,answer_query,13,200,20,group_fold_0,40,-0.26144400238990784,0.19756051906535607,14.571271407767352
