model_label,role,layer,folds,silhouette_cosine_mean,silhouette_cosine_min,silhouette_cosine_max,calinski_harabasz_mean,calinski_harabasz_min,calinski_harabasz_max,davies_bouldin_mean,davies_bouldin_min,davies_bouldin_max
Gemma4-E4B,answer_query,0,5,-0.261708015203476,-0.2654266655445099,-0.2580529451370239,0.016014995207527923,0.008674206819782915,0.02348545137827397,37.98091476031556,27.26086927007818,51.734542145245676
Gemma4-E4B,answer_query,1,5,-0.2583410918712616,-0.2675941586494446,-0.2516595125198364,0.055835386075781715,0.0010108844656576477,0.1736934844050031,83.73965329844711,40.40499881873361,172.75616980731334
Gemma4-E4B,answer_query,2,5,-0.2865553617477417,-0.3115770220756531,-0.254619300365448,0.053557898182147366,0.0009727765073255857,0.11679715067433184,71.9681918143392,44.96685502828697,131.33795141544624
Gemma4-E4B,answer_query,3,5,-0.2657700181007385,-0.27154630422592163,-0.2569717764854431,0.013463139375029834,0.004973104343683158,0.023296657399572485,75.96840558553886,51.31273949174191,128.64187783905143
Gemma4-E4B,answer_query,4,5,-0.2723353624343872,-0.29370173811912537,-0.25367870926856995,0.01979311759704853,0.0013656292193927424,0.045092019446374684,79.77328870159515,49.694633464761964,119.8802966508817
Gemma4-E4B,answer_query,5,5,-0.2690702497959137,-0.2842063307762146,-0.2594664990901947,0.08378399029116432,0.04804228938164007,0.12533440583678418,26.33972947342952,18.522787259751983,32.987853613311856
Gemma4-E4B,answer_query,6,5,-0.26456660628318784,-0.27629896998405457,-0.2563072741031647,0.10130278296622755,0.06243905007119169,0.14889280150806616,24.230950235224128,19.48084760408533,29.676610249755704
Gemma4-E4B,answer_query,7,5,-0.27195348143577575,-0.28568965196609497,-0.2610633969306946,0.10797786913410887,0.05703154385894386,0.18668432953967892,21.164649667758425,16.13631473069746,26.726956470089515
Gemma4-E4B,answer_query,8,5,-0.26210222244262693,-0.2651495337486267,-0.2595231533050537,0.06593058831237024,0.036419651989854904,0.08805991645400281,20.785080881788126,15.572633860773564,25.19845444404924
Gemma4-E4B,answer_query,9,5,-0.27651246786117556,-0.28524067997932434,-0.26771360635757446,0.07839045636801709,0.044977582281640886,0.12397577423172325,19.450860726467873,15.54738953984872,24.1717002373218
