model_label,role,layer,rows,seeds,fold,algorithm,rows_train,rows_test,r2,mae,pearson_r
Qwen3-8B,prompt_running,0,300,30,discovery_to_confirmation,ridge,200,100,0.7494736909866333,1.1817454099655151,0.8715258634898112
Qwen3-8B,prompt_running,0,300,30,discovery_to_confirmation,knn5_distance,200,100,0.21420673633311904,2.1436464778653286,0.5298413520492868
Qwen3-8B,prompt_running,1,300,30,discovery_to_confirmation,ridge,200,100,0.8391969799995422,0.8673759698867798,0.928115702297763
Qwen3-8B,prompt_running,1,300,30,discovery_to_confirmation,knn5_distance,200,100,0.4292773608808963,1.766413304591797,0.7433978599117677
Qwen3-8B,prompt_running,2,300,30,discovery_to_confirmation,ridge,200,100,0.8655535578727722,0.8398765325546265,0.938397000170064
Qwen3-8B,prompt_running,2,300,30,discovery_to_confirmation,knn5_distance,200,100,0.15289824631758908,2.0806111310239634,0.7281126991641355
Qwen3-8B,prompt_running,3,300,30,discovery_to_confirmation,ridge,200,100,0.9150121212005615,0.6703548431396484,0.9587528586310599
Qwen3-8B,prompt_running,3,300,30,discovery_to_confirmation,knn5_distance,200,100,0.2906227205204067,1.949823342509335,0.7686831716050059
Qwen3-8B,prompt_running,4,300,30,discovery_to_confirmation,ridge,200,100,0.8994515538215637,0.7592615485191345,0.9542698859036806
Qwen3-8B,prompt_running,4,300,30,discovery_to_confirmation,knn5_distance,200,100,0.5746961755194677,1.4694289990832416,0.8018194571402748
Qwen3-8B,prompt_running,5,300,30,discovery_to_confirmation,ridge,200,100,0.9077913761138916,0.7282567620277405,0.9562672590074909
Qwen3-8B,prompt_running,5,300,30,discovery_to_confirmation,knn5_distance,200,100,0.5054921284876495,1.582140201568528,0.8066836610780412
Qwen3-8B,prompt_running,6,300,30,discovery_to_confirmation,ridge,200,100,0.9303032159805298,0.605417788028717,0.9657607231056189
Qwen3-8B,prompt_running,6,300,30,discovery_to_confirmation,knn5_distance,200,100,0.5445261447916598,1.4770985915801662,0.8504357411624768
Qwen3-8B,prompt_running,7,300,30,discovery_to_confirmation,ridge,200,100,0.9532570242881775,0.5174793601036072,0.9778664703551893
Qwen3-8B,prompt_running,7,300,30,discovery_to_confirmation,knn5_distance,200,100,0.7722658038603459,1.0555439503663495,0.8804962655271719
Qwen3-8B,prompt_running,8,300,30,discovery_to_confirmation,ridge,200,100,0.9448117613792419,0.5605708956718445,0.9742930520892736
Qwen3-8B,prompt_running,8,300,30,discovery_to_confirmation,knn5_distance,200,100,0.7114871020155733,1.2466457673420945,0.8524496630053093
Qwen3-8B,prompt_running,9,300,30,discovery_to_confirmation,ridge,200,100,0.9322343468666077,0.6148832440376282,0.9656169307826679
Qwen3-8B,prompt_running,9,300,30,discovery_to_confirmation,knn5_distance,200,100,0.7576695582581822,1.0273087944992858,0.8719363602553433
Qwen3-8B,prompt_running,10,300,30,discovery_to_confirmation,ridge,200,100,0.9554998278617859,0.4873800575733185,0.9775792595480676
Qwen3-8B,prompt_running,10,300,30,discovery_to_confirmation,knn5_distance,200,100,0.8150198805346731,0.9397430997026899,0.9054301552332078
Qwen3-8B,prompt_running,11,300,30,discovery_to_confirmation,ridge,200,100,0.9574517011642456,0.4593721032142639,0.9789979115251071
Qwen3-8B,prompt_running,11,300,30,discovery_to_confirmation,knn5_distance,200,100,0.8164885689415516,0.9107682013169937,0.9045981494377308
Qwen3-8B,prompt_running,12,300,30,discovery_to_confirmation,ridge,200,100,0.9574502110481262,0.45674052834510803,0.978973208865279
Qwen3-8B,prompt_running,12,300,30,discovery_to_confirmation,knn5_distance,200,100,0.7726747798713542,0.9581856226184071,0.8792638809981622
Qwen3-8B,prompt_running,13,300,30,discovery_to_confirmation,ridge,200,100,0.9601405262947083,0.42763495445251465,0.9819916822746787
Qwen3-8B,prompt_running,13,300,30,discovery_to_confirmation,knn5_distance,200,100,0.7980132756458296,0.9515702533658299,0.8990072618595623
