model_label,role,layer,rows,seeds,fit_population,stable_rank,effective_rank,numeric_rank_90,numeric_rank_95,numeric_rank_99,total_variance_capture_k1,total_variance_capture_k2,total_variance_capture_k3,total_variance_capture_k5,total_variance_capture_k9,total_variance_capture_k16,total_variance_capture_k32,count_eta_squared,centroid_curve_capture_k1,centroid_curve_capture_k2,centroid_curve_capture_k3,centroid_curve_capture_k5,centroid_curve_capture_k9,centroid_curve_capture_k16,centroid_curve_capture_k32
Qwen3-8B,prompt_running,0,300,30,discovery,4.667598315820214,30.953247509863786,54,89,155,0.21424294301646113,0.36722565819990205,0.46303970462083827,0.5501755480509445,0.6527863572162615,0.7423257312930968,0.8364387260315704,0.1279615316081611,0.8240412741181997,0.8649935235258109,0.8936782703808833,0.9395719410785359,1.0,1.0,1.0
Qwen3-8B,prompt_running,1,300,30,discovery,1.6567997689465306,7.518717080315254,18,44,126,0.6035732372390696,0.7013972036616638,0.7478137122773905,0.8119289141418373,0.8579578136450441,0.8960344938365463,0.9344385443765134,0.5190057561332022,0.9442250689879078,0.9833189804786742,0.988543838652893,0.9952492532432101,1.0,1.0,1.0
Qwen3-8B,prompt_running,2,300,30,discovery,2.071456693330752,11.928409505049201,23,47,121,0.48275206680380683,0.5746787466350141,0.6408999243074368,0.7214737984686203,0.8101433849916038,0.8716702644887334,0.9262313467847288,0.4564540581218354,0.9258936565081618,0.9795319696152702,0.9877070847386037,0.9947492457144504,0.9999999999999998,0.9999999999999998,0.9999999999999998
Qwen3-8B,prompt_running,3,300,30,discovery,1.6827330808271068,8.097447284952299,18,39,108,0.594271314561947,0.673448775227576,0.717578761162904,0.7759286451212629,0.8425498723145132,0.8922045405867417,0.9398404940388251,0.5556051454525934,0.9456036069838233,0.9858937426821375,0.991425967869959,0.9966632207716112,1.0,1.0,1.0
Qwen3-8B,prompt_running,4,300,30,discovery,1.7597697998853115,8.633267333124532,18,37,105,0.5682561435394405,0.6469854738399067,0.7037865768218533,0.7743352188962669,0.8410049083388272,0.8930878647752893,0.9430620358002689,0.5278256012770909,0.9423339468478691,0.9859897438912081,0.9921218550609427,0.9971681686252665,1.0,1.0,1.0
Qwen3-8B,prompt_running,5,300,30,discovery,1.679580546041895,8.323831199588867,20,40,111,0.5953867484096569,0.6643942373314329,0.7089710974172406,0.7711197769985543,0.8331511843566465,0.8860721547712329,0.9369191883723763,0.5611452248394108,0.9352128904413793,0.9862887480318759,0.9920570500250261,0.9969939571624634,0.9999999999999999,0.9999999999999999,0.9999999999999999
Qwen3-8B,prompt_running,6,300,30,discovery,1.6317752256698659,7.946179620010396,20,43,117,0.6128295026598939,0.6778730354652942,0.7186859361587465,0.7788930443827723,0.835109959275004,0.8850247176594125,0.9341088818337527,0.584693537662821,0.9344330048778275,0.9860653711659683,0.9922241162026513,0.9971626094397436,1.0,1.0,1.0
Qwen3-8B,prompt_running,7,300,30,discovery,1.741616462536165,10.393035012312007,30,58,134,0.5741792303362743,0.6301153022421213,0.6682724484029363,0.728745407427451,0.7856387064836219,0.8432392233686438,0.9062956933637624,0.5719061193808104,0.9198218659513565,0.977945677849169,0.9867758255595009,0.9937271888222259,1.0,1.0,1.0
Qwen3-8B,prompt_running,8,300,30,discovery,1.677529450500004,9.553967063653321,30,59,136,0.5961147207889198,0.648806820726928,0.6895200037003628,0.7441442338615671,0.796568027765467,0.8476214710921025,0.9069008838995665,0.6030360351612557,0.9152999005135911,0.9798144883700403,0.9880728095948463,0.9945887158367049,0.9999999999999999,0.9999999999999999,0.9999999999999999
Qwen3-8B,prompt_running,9,300,30,discovery,1.9442827914022682,12.80766076267104,35,64,138,0.5143284734206661,0.5952773623515764,0.6427016214204294,0.7058469108466344,0.766778585997417,0.8263699723672002,0.8933943715052372,0.5324161466253048,0.8660123276081402,0.9757152098201611,0.9859772624899403,0.9935978415522257,0.9999999999999998,0.9999999999999998,0.9999999999999998
