model_label,role,source_layer,target_layer,normalized_depth,rank,discovery_rows,discovery_seeds,confirmation_rows,source_centroid_capture,target_centroid_capture,map_training_r2,map_training_normalized_rmse,map_ridge,map_singular_1,map_singular_last,map_condition_number,orthogonal_factor_determinant,subspace_principal_angle_mean_degrees,subspace_principal_angle_max_degrees,cv_sample_r2,cv_sample_normalized_rmse,cv_direct_identity_r2,cv_centroid_r2,cv_centroid_normalized_rmse,cv_fold_r2_min,cv_fold_r2_max,cv_folds,confirmation_sample_r2,confirmation_sample_normalized_rmse,confirmation_centroid_r2,confirmation_centroid_normalized_rmse,proper_rotation_angle_pca_gauge_degrees,centroid_rdm_spearman,permutation_repeats,permutation_r2_mean,permutation_r2_ci95_low,permutation_r2_ci95_high,permutation_p_ge_observed,bootstrap_repeats,bootstrap_map_relative_frobenius_median,bootstrap_map_relative_frobenius_ci95_low,bootstrap_map_relative_frobenius_ci95_high,bootstrap_rotation_geodesic_degrees_median,bootstrap_rotation_geodesic_degrees_ci95_low,bootstrap_rotation_geodesic_degrees_ci95_high,bootstrap_source_basis_max_angle_degrees_median,bootstrap_source_basis_max_angle_degrees_ci95_low,bootstrap_source_basis_max_angle_degrees_ci95_high,bootstrap_target_basis_max_angle_degrees_median,bootstrap_target_basis_max_angle_degrees_ci95_low,bootstrap_target_basis_max_angle_degrees_ci95_high,bootstrap_stretch_singular_1_mean,bootstrap_stretch_singular_1_sd,bootstrap_stretch_singular_2_mean,bootstrap_stretch_singular_2_sd,bootstrap_stretch_singular_3_mean,bootstrap_stretch_singular_3_sd,full_operator_inner_product_to_next,full_operator_cosine_to_next,full_operator_relative_drift_to_next
Qwen3-8B,prompt_running,0,1,0.02857142857142857,1,200,20,100,0.8240412638443891,0.9442250671353525,0.737482643985958,0.512364475753386,0.00016949358983503848,4.6465603284768555,4.6465603284768555,1.0,1.0,80.29291335861923,80.29291335861923,0.27801806490243974,0.8496952012913573,0.1892621723083645,0.6414967775130009,0.598751386208833,0.2072695301895181,0.33449164083151195,5,0.39609194596478436,0.7771152128450554,0.7293954333652779,0.5201966614990162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,prompt_running,0,1,0.02857142857142857,2,200,20,100,0.8649935171633192,0.9833189779158937,0.7286002323090033,0.5209604281430564,8.895844349108515e-05,5.133994296170279,1.3143031636258287,3.9062481459809413,1.0000000000000009,73.59321101130058,87.69216964492745,0.23520016034469016,0.8745283526880703,0.17037743009009865,0.6069907592533192,0.6269044909287864,0.05980359830430537,0.32449659744345394,5,0.3917139900710572,0.7799269260186769,0.7416224551818716,0.508308513422831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,prompt_running,0,1,0.02857142857142857,3,200,20,100,0.8936782668937726,0.9885438365228257,0.8833409304119183,0.34155390436661937,6.127231093044919e-05,12.561772579824733,1.4875383076816258,8.444671653130495,0.9999999999999987,69.36345021674792,85.79501792461863,-0.4312611726378648,1.1963532808655915,0.16071940320139966,0.5024377384977519,0.7053809336112283,-1.2302802777652895,-0.06684360106308751,5,-0.7082222074204076,1.3069897503119172,0.6156135752519878,0.6199890521194807,88.28710386912587,0.9213438735177865,500.0,-0.33630354331833207,-1.0804652045461,0.8099653673874703,0.001996007984031936,500.0,0.5797044513260408,0.1793740989726047,1.146949344549769,27.69856989719488,7.659213725154748,113.4565592425109,60.97353990312432,42.26032597594675,87.17557814308097,52.67973304419907,24.964962831221943,87.83211119565709,7.809227517894977,1.9235410563919453,1.872702329033749,0.198108753802139,1.0264239824710781,0.5074600291323208,2.4484980485862504,0.06283653508866932,1.637701760271788
Qwen3-8B,prompt_running,1,2,0.05714285714285714,1,200,20,100,0.9442250671353525,0.925893656981441,0.9945131252417629,0.07407344165243748,0.004972014149425798,1.7401866262074848,1.7401866262074848,1.0,1.0,53.01468058603272,53.01468058603272,0.8985206116622043,0.3185582966080081,0.7761016192737991,0.9780121943848438,0.14828285678107297,0.8732845926727555,0.9238470173779613,5,0.854782878857306,0.3810736426764439,0.9782950145123572,0.14732611950242497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,prompt_running,1,2,0.05714285714285714,2,200,20,100,0.9833189779158937,0.9795319702323718,0.9951304352708162,0.06978226658101476,0.0025889356477420745,2.151856941273699,1.6055615766336198,1.3402518922914788,0.9999999999999998,54.956985168819145,57.063566381980586,0.8757628093820058,0.3524729643788218,0.7583090314882395,0.9683105935515428,0.17801518600517552,0.8361491918780578,0.9221470834189436,5,0.8337708516803206,0.40771208998468433,0.9777902764180277,0.14902927088989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,prompt_running,1,2,0.05714285714285714,3,200,20,100,0.9885438365228257,0.9877070856271841,0.9911047778576052,0.09431448532645896,0.0017351279596331626,2.164616537923972,1.0999973830440515,1.9678378978809679,0.9999999999999996,57.04265473630658,74.60821142075773,0.837186529015724,0.4035015129888313,0.7308978296854416,0.9581588587901292,0.20455107237526482,0.7385379301912426,0.9282035762104759,5,0.7929301293584541,0.4550493057258146,0.96698885058423,0.1816897064111504,18.064817848740795,0.9823451910408432,500.0,-0.36940570720110144,-1.011168025831749,0.9122457836747098,0.001996007984031936,500.0,0.39452330390200896,0.11644120768749391,1.1714752838329743,12.230263720605162,3.128497289394142,119.90535348609215,48.639839338558204,23.816374728884362,86.11273187543934,36.429396282966536,23.720128869345135,74.87688612852016,2.420476213331223,0.2630194542021541,1.83860804634776,0.21581828278301954,1.0445680098078525,0.3720523106720142,2.8672024355696637,0.2974772495287925,1.1858179336495218
Qwen3-8B,prompt_running,2,3,0.08571428571428572,1,200,20,100,0.925893656981441,0.945603608036263,0.9859447094248879,0.11855501075497465,0.015169847383676003,1.9763474146213398,1.9763474146213398,1.0,1.0,55.20857487342471,55.20857487342471,0.966702963596208,0.18247475552468076,0.7330038046321175,0.9810032832232018,0.13782857750407979,0.958624077531916,0.9739369027263172,5,0.9702682269219883,0.17242903780399552,0.9864839723937477,0.1162584517626665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,prompt_running,2,3,0.08571428571428572,2,200,20,100,0.9795319702323718,0.9858937425438256,0.9995206613315982,0.02189380433825455,0.008024328919316917,2.376944512311055,1.4147320639951688,1.6801375842140889,1.0000000000000002,52.22080807240471,59.23294038455363,0.9582809460033163,0.20425242715004321,0.7323626943562269,0.9889026865037867,0.1053437871742482,0.9278949880089797,0.9690822677604279,5,0.9687771951909419,0.1766997589388795,0.9946261107533297,0.07330681582683986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,prompt_running,2,3,0.08571428571428572,3,200,20,100,0.9877070856271841,0.9914259676326033,0.9993908180033204,0.024681612521867798,0.0053941996598860405,2.38346095666534,1.4029674571585868,1.6988711637635097,1.0000000000000007,52.506848488171926,59.2284922032007,0.9485657714409472,0.22679115626287724,0.7274202867144022,0.9860941478495027,0.1179230772601247,0.9081556625602838,0.9648855085821485,5,0.9618727272547338,0.19526206171518873,0.994234352740649,0.07593185931709417,15.777663929838374,0.9974967061923582,500.0,-0.34021405600195365,-0.9973881390591849,0.856950190261065,0.001996007984031936,500.0,0.08726855364639796,0.03550016294366128,0.5218024174398637,3.4108972119496443,1.0683768479909017,11.206254891177284,37.04236459363089,23.470544713497702,74.64231449077742,36.07939511608087,23.72640677987711,80.33500002197378,2.3548208079841526,0.0777748718925753,1.5333160997047395,0.11296382828348421,1.2954574085418085,0.21940535241049852,2.8871757201602923,0.31148116536604264,1.175283800988876
Qwen3-8B,prompt_running,3,4,0.11428571428571428,1,200,20,100,0.945603608036263,0.9423339468675981,0.9932493929648738,0.08216207784085151,0.060217531998698795,1.7006760757569503,1.7006760757569503,1.0,1.0,47.40668095348119,47.40668095348119,0.9671166678699866,0.18133761918039346,0.8037452386405678,0.9885448208860015,0.10702887046960059,0.9596066313322453,0.9807235855765375,5,0.9644032622362043,0.1886709775344254,0.9926786460337482,0.08556491083529358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,prompt_running,3,4,0.11428571428571428,2,200,20,100,0.9858937425438256,0.985989744413414,0.9971610528744984,0.05328177104321465,0.031391635715222986,1.999888089265732,1.4937658835395355,1.3388229784221075,0.9999999999999999,51.409924568691395,58.1231381628672,0.9605744553500012,0.19855866803038044,0.7960943299988004,0.9886258696272242,0.10664956808527562,0.9508627336770693,0.9742956447809159,5,0.9589667379212835,0.20256668551051651,0.9948202455335198,0.07197051108947464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,prompt_running,3,4,0.11428571428571428,3,200,20,100,0.9914259676326033,0.9921218556653332,0.9959310089391749,0.06378864366660514,0.021045190755366257,2.1839357401012967,1.2155202076665537,1.7967087065494534,-0.9999999999999989,55.06391001941492,70.04081033803195,0.9265613210380714,0.2709957176080991,0.7465726633815595,0.9801245458869294,0.14098033236260496,0.8997292041888729,0.9489851098231363,5,0.928086866140416,0.26816624295310537,0.9933969790208771,0.08125897476047146,53.45190737471219,0.9965744400527008,500.0,-0.3372742373899331,-1.0898808126713841,0.7715412157424617,0.001996007984031936,500.0,0.1368919258063971,0.050264210576163114,0.9467873882445771,42.30234789634751,6.698066895608362,104.20206447521956,35.79787126871669,23.74055485806955,80.69258762776583,36.06200783358574,22.91943251559471,75.1259291207812,2.1302629279569287,0.14194699859087795,1.5615570492058064,0.07786735722410454,1.1431603472424212,0.3043671373354649,2.326073695701882,0.3734033870559953,1.1493418786736633
Qwen3-8B,prompt_running,4,5,0.14285714285714285,1,200,20,100,0.9423339468675981,0.9352128903361618,0.999750899389889,0.01578292146945555,0.17570154077256325,1.2268141581394723,1.2268141581394723,1.0,1.0,40.943760037469985,40.943760037469985,0.9968571865832755,0.05606080107102046,0.9634574461088489,0.9990469144167773,0.030872084206005245,0.9957354058029041,0.9974336270438817,5,0.9972378169902911,0.05255647447944852,0.9997948813351565,0.014321964419853289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,prompt_running,4,5,0.14285714285714285,2,200,20,100,0.985989744413414,0.986288749067365,0.9997984382624124,0.014197244013806645,0.09192066032177218,1.3297569603665569,1.2157812099133336,1.093746925453263,1.0,44.85475633296787,49.36774795273863,0.9923873645916402,0.08725041781194945,0.9594532031746039,0.9975933989701097,0.04905712007334242,0.9881358596798159,0.9955067005801698,5,0.9937157736444688,0.07927311243751674,0.9993451015501074,0.025590983761720625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3-8B,prompt_running,4,5,0.14285714285714285,3,200,20,100,0.9921218556653332,0.992057050863263,0.9997556217360413,0.01563260259709501,0.06166155825259899,1.3498493507665963,1.0970092567584364,1.2304812766624045,0.9999999999999999,44.869771700083184,52.233459152346875,0.9879118716083173,0.10994602490168863,0.955525560498114,0.9970988913014939,0.05386194109485978,0.9849729336989248,0.9904487716899216,5,0.9908418262859795,0.09569834749890117,0.998868614498822,0.033636074402016436,4.404215424109701,0.9988142292490118,500.0,-0.3108826167376885,-0.9884184965056443,0.7929089568481423,0.001996007984031936,500.0,0.04351027577400149,0.01787970052001117,0.3627692278822337,1.8281924552124322,0.41092321426751544,6.692002859296433,35.674881609095394,22.668061281992447,79.27730751151489,34.14933897638706,23.053607066780746,72.77003614493579,1.3368425192210511,0.016543129458724437,1.2253533533050214,0.012966948040606635,1.070905562079364,0.11784302788040553,2.5360986139126114,0.5652274912885643,0.932547530130535
Qwen3-8B,prompt_running,5,6,0.17142857142857143,1,200,20,100,0.9352128903361618,0.9344330057151119,0.9997152073775764,0.016875799904703944,0.2650385498642933,1.2199437974766214,1.2199437974766214,1.0,1.0,30.505450755883178,30.505450755883178,0.9968986161323898,0.05569006973967811,0.9656529763926031,0.9992032404660564,0.028226929233334138,0.9957778267135571,0.9986115381504336,5,0.9971087079994987,0.05377073553989529,0.9995556603478378,0.021079365554072315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
