model_label,contrast,metric,predictor,boundaries,spearman_rho_descriptive
Gemma4-E4B,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,cv_centroid_r2,14,0.8096814580522262
Gemma4-E4B,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,bootstrap_map_relative_frobenius_median,14,-0.8184823434658374
Gemma4-E4B,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,bootstrap_rotation_geodesic_degrees_median,14,-0.8404845569998652
Gemma4-E4B,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,subspace_principal_angle_max_degrees,14,-0.635863971133406
Gemma4-E4B,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,full_operator_cosine_to_next,13,0.6519951147386644
Gemma4-E4B,aligned_dose_1_minus_orthogonal,donor_log_odds_gain,full_operator_relative_drift_to_next,13,-0.6574971832174716
Gemma4-E4B,aligned_dose_1_minus_orthogonal,target_donor_fraction,cv_centroid_r2,14,0.8461538461538461
Gemma4-E4B,aligned_dose_1_minus_orthogonal,target_donor_fraction,bootstrap_map_relative_frobenius_median,14,-0.9296703296703297
Gemma4-E4B,aligned_dose_1_minus_orthogonal,target_donor_fraction,bootstrap_rotation_geodesic_degrees_median,14,-0.956043956043956
Gemma4-E4B,aligned_dose_1_minus_orthogonal,target_donor_fraction,subspace_principal_angle_max_degrees,14,-0.8549450549450549
Gemma4-E4B,aligned_dose_1_minus_orthogonal,target_donor_fraction,full_operator_cosine_to_next,13,0.8571428571428571
Gemma4-E4B,aligned_dose_1_minus_orthogonal,target_donor_fraction,full_operator_relative_drift_to_next,13,-0.7912087912087913
Gemma4-E4B,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,cv_centroid_r2,14,0.8668872132406987
Gemma4-E4B,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,bootstrap_map_relative_frobenius_median,14,-0.864686991887296
Gemma4-E4B,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,bootstrap_rotation_geodesic_degrees_median,14,-0.8712876559475042
Gemma4-E4B,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,subspace_principal_angle_max_degrees,14,-0.7238728252695175
Gemma4-E4B,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,full_operator_cosine_to_next,13,0.7372771761601774
Gemma4-E4B,aligned_dose_2_minus_orthogonal,donor_log_odds_gain,full_operator_relative_drift_to_next,13,-0.7455302788783884
Gemma4-E4B,aligned_dose_2_minus_orthogonal,target_donor_fraction,cv_centroid_r2,14,0.8153846153846154
Gemma4-E4B,aligned_dose_2_minus_orthogonal,target_donor_fraction,bootstrap_map_relative_frobenius_median,14,-0.9208791208791209
Gemma4-E4B,aligned_dose_2_minus_orthogonal,target_donor_fraction,bootstrap_rotation_geodesic_degrees_median,14,-0.9384615384615385
Gemma4-E4B,aligned_dose_2_minus_orthogonal,target_donor_fraction,subspace_principal_angle_max_degrees,14,-0.8417582417582418
Gemma4-E4B,aligned_dose_2_minus_orthogonal,target_donor_fraction,full_operator_cosine_to_next,13,0.8186813186813187
Gemma4-E4B,aligned_dose_2_minus_orthogonal,target_donor_fraction,full_operator_relative_drift_to_next,13,-0.7582417582417583
Gemma4-E4B,dose_2_minus_dose_1,donor_log_odds_gain,cv_centroid_r2,14,0.8197802197802198
Gemma4-E4B,dose_2_minus_dose_1,donor_log_odds_gain,bootstrap_map_relative_frobenius_median,14,-0.832967032967033
Gemma4-E4B,dose_2_minus_dose_1,donor_log_odds_gain,bootstrap_rotation_geodesic_degrees_median,14,-0.8505494505494505
Gemma4-E4B,dose_2_minus_dose_1,donor_log_odds_gain,subspace_principal_angle_max_degrees,14,-0.7494505494505495
Gemma4-E4B,dose_2_minus_dose_1,donor_log_odds_gain,full_operator_cosine_to_next,13,0.7417582417582418
Gemma4-E4B,dose_2_minus_dose_1,donor_log_odds_gain,full_operator_relative_drift_to_next,13,-0.6923076923076923
Gemma4-E4B,dose_2_minus_dose_1,target_donor_fraction,cv_centroid_r2,14,0.8285714285714285
Gemma4-E4B,dose_2_minus_dose_1,target_donor_fraction,bootstrap_map_relative_frobenius_median,14,-0.9120879120879121
Gemma4-E4B,dose_2_minus_dose_1,target_donor_fraction,bootstrap_rotation_geodesic_degrees_median,14,-0.9120879120879121
Gemma4-E4B,dose_2_minus_dose_1,target_donor_fraction,subspace_principal_angle_max_degrees,14,-0.7714285714285714
Gemma4-E4B,dose_2_minus_dose_1,target_donor_fraction,full_operator_cosine_to_next,13,0.7252747252747254
