model_label,seed,gold_count,condition,layer,gold_centroid_squared_distance
Gemma4-E4B,1254,1,clean,37,83.44325137721073
Gemma4-E4B,1254,1,needle_corrupt,37,3338.497284990968
Gemma4-E4B,1254,1,ordinary_control,37,111.76798072231131
Gemma4-E4B,1254,2,clean,37,191.59677320546643
Gemma4-E4B,1254,2,needle_corrupt,37,3911.470824239474
Gemma4-E4B,1254,2,ordinary_control,37,123.0691983593456
Gemma4-E4B,1254,3,clean,37,413.40581810495974
Gemma4-E4B,1254,3,needle_corrupt,37,4119.622123459342
Gemma4-E4B,1254,3,ordinary_control,37,434.196833302526
Gemma4-E4B,1254,4,clean,37,352.56702053824
Gemma4-E4B,1254,4,needle_corrupt,37,4307.026553296139
Gemma4-E4B,1254,4,ordinary_control,37,471.3909723270918
Gemma4-E4B,1254,5,clean,37,224.5591632320174
Gemma4-E4B,1254,5,needle_corrupt,37,4335.643860382732
Gemma4-E4B,1254,5,ordinary_control,37,286.77132842788603
Gemma4-E4B,1254,6,clean,37,182.87322114627548
Gemma4-E4B,1254,6,needle_corrupt,37,4378.404286535674
Gemma4-E4B,1254,6,ordinary_control,37,180.52241702829693
Gemma4-E4B,1254,7,clean,37,160.51344206107223
Gemma4-E4B,1254,7,needle_corrupt,37,4430.88373393513
Gemma4-E4B,1254,7,ordinary_control,37,246.34525889834777
Gemma4-E4B,1254,8,clean,37,116.08547805396043
Gemma4-E4B,1254,8,needle_corrupt,37,4424.614241302776
Gemma4-E4B,1254,8,ordinary_control,37,115.94901525584737
Gemma4-E4B,1254,9,clean,37,116.19980139281296
Gemma4-E4B,1254,9,needle_corrupt,37,4451.667155073564
Gemma4-E4B,1254,9,ordinary_control,37,120.9393905959945
Gemma4-E4B,1254,10,clean,37,129.3696183217899
Gemma4-E4B,1254,10,needle_corrupt,37,4565.584147717671
Gemma4-E4B,1254,10,ordinary_control,37,147.50637368524792
Gemma4-E4B,1255,1,clean,37,67.77158840725019
Gemma4-E4B,1255,1,needle_corrupt,37,3388.18030859024
Gemma4-E4B,1255,1,ordinary_control,37,65.52871336857082
Gemma4-E4B,1255,2,clean,37,117.44548433892462
Gemma4-E4B,1255,2,needle_corrupt,37,3783.8049321968183
Gemma4-E4B,1255,2,ordinary_control,37,127.76109306951336
Gemma4-E4B,1255,3,clean,37,151.49478388516795
Gemma4-E4B,1255,3,needle_corrupt,37,3911.4700085723916
Gemma4-E4B,1255,3,ordinary_control,37,148.36692302941924
Gemma4-E4B,1255,4,clean,37,177.73758670086823
Gemma4-E4B,1255,4,needle_corrupt,37,4038.9635734108847
Gemma4-E4B,1255,4,ordinary_control,37,198.61637205779783
Gemma4-E4B,1255,5,clean,37,240.16497641079826
Gemma4-E4B,1255,5,needle_corrupt,37,4079.62690729337
Gemma4-E4B,1255,5,ordinary_control,37,217.81786349968365
Gemma4-E4B,1255,6,clean,37,260.8744873997289
Gemma4-E4B,1255,6,needle_corrupt,37,4108.643120961431
Gemma4-E4B,1255,6,ordinary_control,37,210.734161308128
Gemma4-E4B,1255,7,clean,37,187.54032363988247
Gemma4-E4B,1255,7,needle_corrupt,37,4178.765917781082
Gemma4-E4B,1255,7,ordinary_control,37,145.90638563474687
Gemma4-E4B,1255,8,clean,37,150.5417324813393
Gemma4-E4B,1255,8,needle_corrupt,37,4129.681811954537
Gemma4-E4B,1255,8,ordinary_control,37,118.2425665202735
Gemma4-E4B,1255,9,clean,37,163.61564672839887
Gemma4-E4B,1255,9,needle_corrupt,37,4232.610543406336
Gemma4-E4B,1255,9,ordinary_control,37,96.24534622548731
Gemma4-E4B,1255,10,clean,37,162.2293513609709
Gemma4-E4B,1255,10,needle_corrupt,37,4308.039765732521
Gemma4-E4B,1255,10,ordinary_control,37,85.28934173426123
Gemma4-E4B,1256,1,clean,37,68.7130725943735
Gemma4-E4B,1256,1,needle_corrupt,37,3111.802891693339
Gemma4-E4B,1256,1,ordinary_control,37,65.1879567854287
Gemma4-E4B,1256,2,clean,37,240.30502855308913
Gemma4-E4B,1256,2,needle_corrupt,37,3490.8756234761595
Gemma4-E4B,1256,2,ordinary_control,37,220.12638619514797
Gemma4-E4B,1256,3,clean,37,276.9783707164521
Gemma4-E4B,1256,3,needle_corrupt,37,3597.2504386292667
Gemma4-E4B,1256,3,ordinary_control,37,268.84301168732975
Gemma4-E4B,1256,4,clean,37,331.92358784986226
Gemma4-E4B,1256,4,needle_corrupt,37,3732.9216016425335
Gemma4-E4B,1256,4,ordinary_control,37,304.42280639457834
Gemma4-E4B,1256,5,clean,37,263.26709150823945
Gemma4-E4B,1256,5,needle_corrupt,37,3747.583063354278
Gemma4-E4B,1256,5,ordinary_control,37,281.08163214027275
Gemma4-E4B,1256,6,clean,37,172.58134928845186
Gemma4-E4B,1256,6,needle_corrupt,37,3848.0519173865187
Gemma4-E4B,1256,6,ordinary_control,37,174.3787753728208
Gemma4-E4B,1256,7,clean,37,201.25283058242923
Gemma4-E4B,1256,7,needle_corrupt,37,3769.0281009760606
Gemma4-E4B,1256,7,ordinary_control,37,264.8171805596749
Gemma4-E4B,1256,8,clean,37,201.05587783163912
Gemma4-E4B,1256,8,needle_corrupt,37,3882.4071347536565
Gemma4-E4B,1256,8,ordinary_control,37,213.24742269468135
Gemma4-E4B,1256,9,clean,37,138.35293207875273
Gemma4-E4B,1256,9,needle_corrupt,37,3954.578430580119
Gemma4-E4B,1256,9,ordinary_control,37,215.5961424157472
Gemma4-E4B,1256,10,clean,37,130.39834874930477
Gemma4-E4B,1256,10,needle_corrupt,37,3794.4939327899438
Gemma4-E4B,1256,10,ordinary_control,37,124.12014199759173
Gemma4-E4B,1257,1,clean,37,78.87365536871414
Gemma4-E4B,1257,1,needle_corrupt,37,3565.4978780436477
Gemma4-E4B,1257,1,ordinary_control,37,72.63661434942196
Gemma4-E4B,1257,2,clean,37,310.1550258542612
Gemma4-E4B,1257,2,needle_corrupt,37,4192.081602969526
Gemma4-E4B,1257,2,ordinary_control,37,329.7179910130468
Gemma4-E4B,1257,3,clean,37,442.0408772973127
Gemma4-E4B,1257,3,needle_corrupt,37,4267.343566677497
Gemma4-E4B,1257,3,ordinary_control,37,394.95087574636574
Gemma4-E4B,1257,4,clean,37,289.1722875505352
Gemma4-E4B,1257,4,needle_corrupt,37,4427.796642101351
Gemma4-E4B,1257,4,ordinary_control,37,280.62643185927806
Gemma4-E4B,1257,5,clean,37,258.2456604179297
Gemma4-E4B,1257,5,needle_corrupt,37,4436.740704788832
Gemma4-E4B,1257,5,ordinary_control,37,279.97340609121056
Gemma4-E4B,1257,6,clean,37,208.25744776336848
Gemma4-E4B,1257,6,needle_corrupt,37,4395.11426372838
Gemma4-E4B,1257,6,ordinary_control,37,220.1386674227411
Gemma4-E4B,1257,7,clean,37,155.89356560492323
Gemma4-E4B,1257,7,needle_corrupt,37,4505.39612980018
Gemma4-E4B,1257,7,ordinary_control,37,140.4577717821225
Gemma4-E4B,1257,8,clean,37,140.0362885985642
Gemma4-E4B,1257,8,needle_corrupt,37,4473.109436131803
Gemma4-E4B,1257,8,ordinary_control,37,134.5497009822535
Gemma4-E4B,1257,9,clean,37,160.4502161585782
Gemma4-E4B,1257,9,needle_corrupt,37,4420.967859070376
Gemma4-E4B,1257,9,ordinary_control,37,122.35549226727647
Gemma4-E4B,1257,10,clean,37,138.35127983631466
Gemma4-E4B,1257,10,needle_corrupt,37,4686.3167810556715
Gemma4-E4B,1257,10,ordinary_control,37,144.2374820417336
Gemma4-E4B,1258,1,clean,37,84.39103921883333
Gemma4-E4B,1258,1,needle_corrupt,37,3321.0270284034004
Gemma4-E4B,1258,1,ordinary_control,37,89.39626315252454
Gemma4-E4B,1258,2,clean,37,234.16769951660643
Gemma4-E4B,1258,2,needle_corrupt,37,4064.982576246983
Gemma4-E4B,1258,2,ordinary_control,37,253.2612623770268
Gemma4-E4B,1258,3,clean,37,184.48158376806435
Gemma4-E4B,1258,3,needle_corrupt,37,4199.880220424395
Gemma4-E4B,1258,3,ordinary_control,37,177.34232687656998
Gemma4-E4B,1258,4,clean,37,193.6549772586604
Gemma4-E4B,1258,4,needle_corrupt,37,4300.832588066212
Gemma4-E4B,1258,4,ordinary_control,37,237.2454280738002
Gemma4-E4B,1258,5,clean,37,192.8189336569494
Gemma4-E4B,1258,5,needle_corrupt,37,4181.788509589328
Gemma4-E4B,1258,5,ordinary_control,37,211.60935901404218
Gemma4-E4B,1258,6,clean,37,169.446427700559
Gemma4-E4B,1258,6,needle_corrupt,37,4327.58738869176
Gemma4-E4B,1258,6,ordinary_control,37,250.03546702131146
Gemma4-E4B,1258,7,clean,37,184.08795035544907
Gemma4-E4B,1258,7,needle_corrupt,37,4295.048665265337
Gemma4-E4B,1258,7,ordinary_control,37,178.41777826571777
Gemma4-E4B,1258,8,clean,37,167.01307232668492
Gemma4-E4B,1258,8,needle_corrupt,37,4245.989796795866
Gemma4-E4B,1258,8,ordinary_control,37,251.01373353842243
Gemma4-E4B,1258,9,clean,37,145.6169157295403
Gemma4-E4B,1258,9,needle_corrupt,37,4236.221305298388
Gemma4-E4B,1258,9,ordinary_control,37,141.85056790369734
Gemma4-E4B,1258,10,clean,37,132.71919565522217
Gemma4-E4B,1258,10,needle_corrupt,37,4315.051324376696
Gemma4-E4B,1258,10,ordinary_control,37,156.47866145810016
Gemma4-E4B,1259,1,clean,37,108.26430678379919
Gemma4-E4B,1259,1,needle_corrupt,37,3416.353372269515
Gemma4-E4B,1259,1,ordinary_control,37,127.70566342672923
Gemma4-E4B,1259,2,clean,37,260.18018783291427
Gemma4-E4B,1259,2,needle_corrupt,37,3834.521757465938
