population,model_label,seed,endpoint,needle_damage,control_damage,specificity,rows
all,Gemma4-E4B,1254,accuracy_drop,0.3,-0.0,0.3,10
all,Gemma4-E4B,1254,absolute_error_increase,8.6,0.2,8.4,10
all,Gemma4-E4B,1255,accuracy_drop,0.5,-0.0,0.5,10
all,Gemma4-E4B,1255,absolute_error_increase,9.3,0.3,9.0,10
all,Gemma4-E4B,1256,accuracy_drop,0.3,-0.0,0.3,10
all,Gemma4-E4B,1256,absolute_error_increase,9.0,-0.1,9.1,10
all,Gemma4-E4B,1257,accuracy_drop,0.3,-0.0,0.3,10
all,Gemma4-E4B,1257,absolute_error_increase,8.8,0.0,8.8,10
all,Gemma4-E4B,1258,accuracy_drop,0.3,-0.0,0.3,10
all,Gemma4-E4B,1258,absolute_error_increase,8.9,-0.1,9.0,10
all,Gemma4-E4B,1259,accuracy_drop,0.4,-0.0,0.4,10
all,Gemma4-E4B,1259,absolute_error_increase,8.8,-0.1,8.9,10
all,Gemma4-E4B,1260,accuracy_drop,0.3,-0.0,0.3,10
all,Gemma4-E4B,1260,absolute_error_increase,8.7,-0.2,8.899999999999999,10
all,Gemma4-E4B,1261,accuracy_drop,0.3,-0.0,0.3,10
all,Gemma4-E4B,1261,absolute_error_increase,8.3,0.1,8.200000000000001,10
all,Gemma4-E4B,1262,accuracy_drop,0.5,-0.0,0.5,10
all,Gemma4-E4B,1262,absolute_error_increase,9.1,0.1,9.0,10
all,Gemma4-E4B,1263,accuracy_drop,0.4,-0.0,0.4,10
all,Gemma4-E4B,1263,absolute_error_increase,8.7,0.2,8.5,10
all,Qwen3-8B,1254,accuracy_drop,0.4,-0.0,0.4,10
all,Qwen3-8B,1254,absolute_error_increase,8.6,0.1,8.5,10
all,Qwen3-8B,1255,accuracy_drop,0.6,-0.1,0.7,10
all,Qwen3-8B,1255,absolute_error_increase,9.5,-0.1,9.6,10
all,Qwen3-8B,1256,accuracy_drop,0.4,0.1,0.30000000000000004,10
all,Qwen3-8B,1256,absolute_error_increase,8.7,0.2,8.5,10
all,Qwen3-8B,1257,accuracy_drop,0.4,-0.0,0.4,10
all,Qwen3-8B,1257,absolute_error_increase,8.6,0.0,8.6,10
all,Qwen3-8B,1258,accuracy_drop,0.4,-0.0,0.4,10
all,Qwen3-8B,1258,absolute_error_increase,9.2,0.2,9.0,10
all,Qwen3-8B,1259,accuracy_drop,0.4,-0.1,0.5,10
all,Qwen3-8B,1259,absolute_error_increase,9.2,-0.2,9.399999999999999,10
all,Qwen3-8B,1260,accuracy_drop,0.5,-0.0,0.5,10
all,Qwen3-8B,1260,absolute_error_increase,9.1,-0.2,9.299999999999999,10
all,Qwen3-8B,1261,accuracy_drop,0.4,-0.0,0.4,10
all,Qwen3-8B,1261,absolute_error_increase,8.7,0.0,8.7,10
all,Qwen3-8B,1262,accuracy_drop,0.5,-0.0,0.5,10
all,Qwen3-8B,1262,absolute_error_increase,8.9,-0.2,9.1,10
all,Qwen3-8B,1263,accuracy_drop,0.4,-0.0,0.4,10
all,Qwen3-8B,1263,absolute_error_increase,8.7,0.1,8.6,10
clean_correct_only,Gemma4-E4B,1254,accuracy_drop,1.0,-0.0,1.0,3
clean_correct_only,Gemma4-E4B,1254,absolute_error_increase,10.0,0.0,10.0,3
clean_correct_only,Gemma4-E4B,1255,accuracy_drop,1.0,-0.0,1.0,5
clean_correct_only,Gemma4-E4B,1255,absolute_error_increase,10.0,0.0,10.0,5
clean_correct_only,Gemma4-E4B,1256,accuracy_drop,1.0,-0.0,1.0,3
clean_correct_only,Gemma4-E4B,1256,absolute_error_increase,10.0,0.0,10.0,3
clean_correct_only,Gemma4-E4B,1257,accuracy_drop,1.0,-0.0,1.0,3
clean_correct_only,Gemma4-E4B,1257,absolute_error_increase,10.0,0.0,10.0,3
clean_correct_only,Gemma4-E4B,1258,accuracy_drop,1.0,-0.0,1.0,3
clean_correct_only,Gemma4-E4B,1258,absolute_error_increase,10.0,0.0,10.0,3
clean_correct_only,Gemma4-E4B,1259,accuracy_drop,1.0,-0.0,1.0,4
clean_correct_only,Gemma4-E4B,1259,absolute_error_increase,10.0,0.0,10.0,4
clean_correct_only,Gemma4-E4B,1260,accuracy_drop,1.0,-0.0,1.0,3
clean_correct_only,Gemma4-E4B,1260,absolute_error_increase,10.0,0.0,10.0,3
clean_correct_only,Gemma4-E4B,1261,accuracy_drop,1.0,-0.0,1.0,3
clean_correct_only,Gemma4-E4B,1261,absolute_error_increase,10.0,0.0,10.0,3
clean_correct_only,Gemma4-E4B,1262,accuracy_drop,1.0,-0.0,1.0,5
clean_correct_only,Gemma4-E4B,1262,absolute_error_increase,10.0,0.0,10.0,5
clean_correct_only,Gemma4-E4B,1263,accuracy_drop,1.0,-0.0,1.0,4
clean_correct_only,Gemma4-E4B,1263,absolute_error_increase,10.0,0.0,10.0,4
clean_correct_only,Qwen3-8B,1254,accuracy_drop,1.0,-0.0,1.0,4
clean_correct_only,Qwen3-8B,1254,absolute_error_increase,10.0,0.0,10.0,4
clean_correct_only,Qwen3-8B,1255,accuracy_drop,1.0,-0.0,1.0,6
clean_correct_only,Qwen3-8B,1255,absolute_error_increase,10.0,0.0,10.0,6
clean_correct_only,Qwen3-8B,1256,accuracy_drop,1.0,0.25,0.75,4
clean_correct_only,Qwen3-8B,1256,absolute_error_increase,10.0,0.25,9.75,4
clean_correct_only,Qwen3-8B,1257,accuracy_drop,1.0,-0.0,1.0,4
clean_correct_only,Qwen3-8B,1257,absolute_error_increase,10.0,0.0,10.0,4
clean_correct_only,Qwen3-8B,1258,accuracy_drop,1.0,-0.0,1.0,4
clean_correct_only,Qwen3-8B,1258,absolute_error_increase,10.0,0.0,10.0,4
clean_correct_only,Qwen3-8B,1259,accuracy_drop,1.0,0.25,0.75,4
clean_correct_only,Qwen3-8B,1259,absolute_error_increase,10.0,0.25,9.75,4
clean_correct_only,Qwen3-8B,1260,accuracy_drop,1.0,-0.0,1.0,5
clean_correct_only,Qwen3-8B,1260,absolute_error_increase,10.0,0.0,10.0,5
clean_correct_only,Qwen3-8B,1261,accuracy_drop,1.0,-0.0,1.0,4
clean_correct_only,Qwen3-8B,1261,absolute_error_increase,10.0,0.0,10.0,4
clean_correct_only,Qwen3-8B,1262,accuracy_drop,1.0,-0.0,1.0,5
clean_correct_only,Qwen3-8B,1262,absolute_error_increase,10.0,0.0,10.0,5
clean_correct_only,Qwen3-8B,1263,accuracy_drop,1.0,-0.0,1.0,4
clean_correct_only,Qwen3-8B,1263,absolute_error_increase,10.0,0.0,10.0,4
all,Gemma4-E4B,1254,gold_centroid_distance_increase_L37,4029.280062349967,26.78451811690899,4002.495544233058,10
all,Gemma4-E4B,1254,gold_centroid_distance_increase_L41,978.3907360907903,6.373321135695761,972.0174149550945,10
all,Gemma4-E4B,1255,gold_centroid_distance_increase_L37,3848.037092854628,-26.490719490544784,3874.527812345173,10
all,Gemma4-E4B,1255,gold_centroid_distance_increase_L41,926.8281395854383,-26.868193697836453,953.6963332832747,10
all,Gemma4-E4B,1256,gold_centroid_distance_increase_L37,3490.416464552928,10.699296649067936,3479.71716790386,10
all,Gemma4-E4B,1256,gold_centroid_distance_increase_L41,1004.6810168763486,9.949153169343209,994.7318637070055,10
