population,model_label,endpoint,estimand,seed_count,mean,ci95_low,ci95_high,p_value,holm_p_within_population
all,Gemma4-E4B,absolute_error_increase,needle_damage,10,8.82,8.659999999999998,8.98,0.001953125,0.046875
all,Gemma4-E4B,absolute_error_increase,control_damage,10,0.04,-0.06,0.13999999999999999,0.57421875,1.0
all,Gemma4-E4B,absolute_error_increase,specificity,10,8.78,8.59,8.95,0.001953125,0.046875
all,Gemma4-E4B,accuracy_drop,needle_damage,10,0.36,0.30999999999999994,0.41000000000000003,0.001953125,0.046875
all,Gemma4-E4B,accuracy_drop,control_damage,10,0.0,0.0,0.0,1.0,1.0
all,Gemma4-E4B,accuracy_drop,specificity,10,0.36,0.30999999999999994,0.41000000000000003,0.001953125,0.046875
all,Gemma4-E4B,gold_centroid_distance_increase_L37,needle_damage,10,3851.9080117976437,3449.228296228976,4145.832709078259,0.001953125,0.046875
all,Gemma4-E4B,gold_centroid_distance_increase_L37,control_damage,10,7.286647371362139,-4.2092369203512465,18.21819952630401,0.265625,1.0
all,Gemma4-E4B,gold_centroid_distance_increase_L37,specificity,10,3844.6213644262825,3436.2836298016596,4142.4436204081885,0.001953125,0.046875
all,Gemma4-E4B,gold_centroid_distance_increase_L41,needle_damage,10,926.5004694565735,893.6913088890198,959.1715252058832,0.001953125,0.046875
all,Gemma4-E4B,gold_centroid_distance_increase_L41,control_damage,10,2.0375890353446144,-5.315584910573249,7.35153399535355,0.619140625,1.0
all,Gemma4-E4B,gold_centroid_distance_increase_L41,specificity,10,924.4628804212289,892.235809578701,955.7872816405412,0.001953125,0.046875
all,Qwen3-8B,absolute_error_increase,needle_damage,10,8.92,8.749999999999998,9.110000000000001,0.001953125,0.046875
all,Qwen3-8B,absolute_error_increase,control_damage,10,-0.01,-0.10000000000000002,0.08,1.0,1.0
all,Qwen3-8B,absolute_error_increase,specificity,10,8.929999999999998,8.7,9.179999999999998,0.001953125,0.046875
all,Qwen3-8B,accuracy_drop,needle_damage,10,0.44000000000000006,0.4,0.4800000000000001,0.001953125,0.046875
all,Qwen3-8B,accuracy_drop,control_damage,10,-0.01,-0.04,0.02,1.0,1.0
all,Qwen3-8B,accuracy_drop,specificity,10,0.45000000000000007,0.39,0.52,0.001953125,0.046875
all,Qwen3-8B,gold_centroid_distance_increase_L29,needle_damage,10,46402.40067150944,42709.65404455405,49019.02419481071,0.001953125,0.046875
all,Qwen3-8B,gold_centroid_distance_increase_L29,control_damage,10,166.60566111002737,-19.63277392325788,359.43842479578046,0.142578125,1.0
all,Qwen3-8B,gold_centroid_distance_increase_L29,specificity,10,46235.79501039941,42371.18268038882,49004.85492269439,0.001953125,0.046875
all,Qwen3-8B,gold_centroid_distance_increase_L35,needle_damage,10,221893.09509027842,197850.39377266873,239977.85801670633,0.001953125,0.046875
all,Qwen3-8B,gold_centroid_distance_increase_L35,control_damage,10,492.5082349192332,-232.66005837840592,1296.2721065748092,0.271484375,1.0
all,Qwen3-8B,gold_centroid_distance_increase_L35,specificity,10,221400.58685535914,196967.2411482649,239955.8912641108,0.001953125,0.046875
clean_correct_only,Gemma4-E4B,absolute_error_increase,needle_damage,10,10.0,10.0,10.0,0.001953125,0.046875
clean_correct_only,Gemma4-E4B,absolute_error_increase,control_damage,10,0.0,0.0,0.0,1.0,1.0
clean_correct_only,Gemma4-E4B,absolute_error_increase,specificity,10,10.0,10.0,10.0,0.001953125,0.046875
clean_correct_only,Gemma4-E4B,accuracy_drop,needle_damage,10,1.0,1.0,1.0,0.001953125,0.046875
clean_correct_only,Gemma4-E4B,accuracy_drop,control_damage,10,0.0,0.0,0.0,1.0,1.0
clean_correct_only,Gemma4-E4B,accuracy_drop,specificity,10,1.0,1.0,1.0,0.001953125,0.046875
clean_correct_only,Gemma4-E4B,gold_centroid_distance_increase_L37,needle_damage,10,3570.1176218984583,3229.05908273461,3835.701280671082,0.001953125,0.046875
clean_correct_only,Gemma4-E4B,gold_centroid_distance_increase_L37,control_damage,10,-0.8769648816483631,-10.291712993939587,10.565721162576034,0.884765625,1.0
clean_correct_only,Gemma4-E4B,gold_centroid_distance_increase_L37,specificity,10,3570.994586780106,3233.481078168769,3833.4604913587987,0.001953125,0.046875
clean_correct_only,Gemma4-E4B,gold_centroid_distance_increase_L41,needle_damage,10,871.0080438761399,837.0988893842455,901.7883473393265,0.001953125,0.046875
clean_correct_only,Gemma4-E4B,gold_centroid_distance_increase_L41,control_damage,10,-0.0738713097745495,-4.806897485648688,4.468083911189381,0.990234375,1.0
clean_correct_only,Gemma4-E4B,gold_centroid_distance_increase_L41,specificity,10,871.0819151859145,838.8775346064041,902.0097242721806,0.001953125,0.046875
clean_correct_only,Qwen3-8B,absolute_error_increase,needle_damage,10,10.0,10.0,10.0,0.001953125,0.046875
clean_correct_only,Qwen3-8B,absolute_error_increase,control_damage,10,0.05,0.0,0.125,0.5,1.0
clean_correct_only,Qwen3-8B,absolute_error_increase,specificity,10,9.95,9.875,10.0,0.001953125,0.046875
clean_correct_only,Qwen3-8B,accuracy_drop,needle_damage,10,1.0,1.0,1.0,0.001953125,0.046875
clean_correct_only,Qwen3-8B,accuracy_drop,control_damage,10,0.05,0.0,0.125,0.5,1.0
clean_correct_only,Qwen3-8B,accuracy_drop,specificity,10,0.95,0.875,1.0,0.001953125,0.046875
clean_correct_only,Qwen3-8B,gold_centroid_distance_increase_L29,needle_damage,10,44367.80901158972,41264.8931553235,46994.495399505126,0.001953125,0.046875
clean_correct_only,Qwen3-8B,gold_centroid_distance_increase_L29,control_damage,10,96.0014661501069,-154.68116502892047,377.04852169050463,0.529296875,1.0
clean_correct_only,Qwen3-8B,gold_centroid_distance_increase_L29,specificity,10,44271.80754543962,41187.7272871874,46944.46106286684,0.001953125,0.046875
clean_correct_only,Qwen3-8B,gold_centroid_distance_increase_L35,needle_damage,10,211362.2271417696,184311.4071538055,232281.9880700424,0.001953125,0.046875
clean_correct_only,Qwen3-8B,gold_centroid_distance_increase_L35,control_damage,10,719.6130021391606,-399.66910817809736,2034.5702190299303,0.330078125,1.0
clean_correct_only,Qwen3-8B,gold_centroid_distance_increase_L35,specificity,10,210642.61413963046,182874.04493577528,232406.53921880038,0.001953125,0.046875
