endpoint,model_label,mode,analysis_group,selector,token_site,layer,retained_labels,retained_class_count,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,0,1 2 3 4 5 6 7 8 9 10,10,0.11333333333333333,0.10666666666666666,0.10999999999999999,150,5,16,16,0.16,0.18,0.09065744591408688,-10.425965204531892,1.1022460460662842,12.158362007141113,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,1,1 2 3 4 5 6 7 8 9 10,10,0.13333333333333336,0.13333333333333333,0.13333333333333336,150,5,16,16,0.18,0.2,0.15330875388316204,-8.144330463549485,1.0807020664215088,7.049186944961548,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,2,1 2 3 4 5 6 7 8 9 10,10,0.17333333333333334,0.15333333333333335,0.16333333333333333,150,5,16,16,0.38,0.34,0.20715750234271196,-6.836993338257837,1.0935697555541992,5.278929042816162,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,3,1 2 3 4 5 6 7 8 9 10,10,0.19333333333333333,0.2,0.19666666666666666,150,5,16,16,0.22000000000000003,0.18,0.1978662075598872,-7.0362837013621995,1.0567423105239868,5.340691184997558,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,4,1 2 3 4 5 6 7 8 9 10,10,0.17333333333333334,0.16,0.16666666666666669,150,5,16,16,0.34,0.34,0.16207909347995872,-7.902730010173132,1.035856008529663,6.39105257987976,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,5,1 2 3 4 5 6 7 8 9 10,10,0.19333333333333336,0.16666666666666666,0.18,150,5,16,16,0.32,0.2800000000000001,0.16633649567118441,-7.790124523458315,0.9899623990058899,5.951564598083496,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,6,1 2 3 4 5 6 7 8 9 10,10,0.24,0.18,0.21,150,5,16,16,0.27999999999999997,0.27999999999999997,0.13542051030478383,-8.683155539846574,0.9438160061836243,6.969520378112793,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,7,1 2 3 4 5 6 7 8 9 10,10,0.20666666666666664,0.18666666666666668,0.19666666666666666,150,5,16,16,0.27999999999999997,0.24,0.1305035333753513,-8.84377729669426,1.0074107646942139,7.719413709640503,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,8,1 2 3 4 5 6 7 8 9 10,10,0.26,0.24000000000000005,0.25,150,5,16,16,0.26,0.3,0.11804814366344171,-9.279408379208121,1.2177175283432007,10.31543140411377,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,9,1 2 3 4 5 6 7 8 9 10,10,0.21999999999999997,0.2066666666666667,0.21333333333333332,150,5,16,16,0.24,0.24000000000000005,0.12001779705844777,-9.2075434902585,1.275773286819458,10.629867553710938,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,10,1 2 3 4 5 6 7 8 9 10,10,0.25999999999999995,0.2533333333333333,0.2566666666666666,150,5,16,16,0.26,0.22000000000000003,0.13511802318166755,-8.692867172527205,1.4228500127792358,10.530423545837403,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,11,1 2 3 4 5 6 7 8 9 10,10,0.2333333333333333,0.2066666666666667,0.22,150,5,16,16,0.32,0.4,0.16835074722349658,-7.737849516588975,1.5583550930023193,9.256597423553467,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,12,1 2 3 4 5 6 7 8 9 10,10,0.26,0.26,0.26,150,5,16,16,0.25999999999999995,0.26,0.20177031457085784,-6.9514272891380475,1.5828917026519775,7.845017766952514,50,5,5,5,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,13,1 2 3 4 5 6 7 8 9 10,10,0.23333333333333334,0.22666666666666666,0.22999999999999998,150,5,16,16,0.2,0.12,0.12076151917926001,-9.180714321923345,1.2603901624679565,10.43701810836792,50,5,5,5,16,0.1
