endpoint,model_label,mode,analysis_group,selector,token_site,layer,retained_labels,retained_class_count,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,0,1 2 3 4 5 6 7 8 9 10,10,0.265,0.24500000000000002,0.255,200,5,16,16,0.27,0.24,0.16072192137222133,-7.939248843959094,2.751216411590576,17.117866611480714,100,10,10,10,16,0.1
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,1,1 2 3 4 5 6 7 8 9 10,10,0.35000000000000003,0.35,0.35,200,5,16,16,0.36,0.4,0.22389095846405718,-6.499634444667663,3.137425661087036,14.013186073303222,100,10,10,10,16,0.1
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,2,1 2 3 4 5 6 7 8 9 10,10,0.36,0.35,0.355,200,5,16,16,0.41,0.35,0.2431328658020311,-6.141563308658096,2.5162007808685303,10.349077129364014,100,10,10,10,16,0.1
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,3,1 2 3 4 5 6 7 8 9 10,10,0.45,0.35999999999999993,0.40499999999999997,200,5,16,16,0.4000000000000001,0.34,0.22729086222758552,-6.434180238610736,2.4402499198913574,10.736242961883544,100,10,10,10,16,0.1
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,4,1 2 3 4 5 6 7 8 9 10,10,0.41500000000000004,0.375,0.395,200,5,16,16,0.41,0.30000000000000004,0.24440807871061496,-6.118844429407176,2.5585319995880127,10.468279170989991,100,10,10,10,16,0.1
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,5,1 2 3 4 5 6 7 8 9 10,10,0.425,0.37,0.39749999999999996,200,5,16,16,0.43,0.33,0.25986974515649264,-5.852442794694675,2.5560872554779053,9.836032485961914,100,10,10,10,16,0.1
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,6,1 2 3 4 5 6 7 8 9 10,10,0.45,0.395,0.4225,200,5,16,16,0.45999999999999996,0.36,0.26855613064882017,-5.70964929020886,2.5066285133361816,9.333722925186157,100,10,10,10,16,0.1
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,7,1 2 3 4 5 6 7 8 9 10,10,0.4149999999999999,0.37,0.39249999999999996,200,5,16,16,0.51,0.37,0.27248990688267977,-5.646495795023384,2.6169276237487793,9.603759837150573,100,10,10,10,16,0.1
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,8,1 2 3 4 5 6 7 8 9 10,10,0.48,0.41,0.44499999999999995,200,5,16,16,0.49000000000000005,0.41,0.2995684838316453,-5.235038786159941,2.6653354167938232,8.89724907875061,100,10,10,10,16,0.1
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,9,1 2 3 4 5 6 7 8 9 10,10,0.465,0.39,0.4275,200,5,16,16,0.43,0.43,0.30462257010928057,-5.162379220414087,2.5924103260040283,8.510237193107605,100,10,10,10,16,0.1
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,10,1 2 3 4 5 6 7 8 9 10,10,0.475,0.425,0.44999999999999996,200,5,16,16,0.49000000000000005,0.41000000000000003,0.3476020322212595,-4.589176931557675,2.8944602012634277,8.326936936378479,100,10,10,10,16,0.1
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,11,1 2 3 4 5 6 7 8 9 10,10,0.45499999999999996,0.45999999999999996,0.45749999999999996,200,5,16,16,0.53,0.43999999999999995,0.3582535555310199,-4.458094907007795,3.056211471557617,8.530861520767212,100,10,10,10,16,0.1
running_index,Qwen3-8B,non_thinking,all_traces,prompt_span_site_search,span_end,12,1 2 3 4 5 6 7 8 9 10,10,0.5349999999999999,0.5,0.5175,200,5,16,16,0.5700000000000001,0.45999999999999996,0.39591726019462226,-4.023955645678694,3.1336288452148438,7.914857876300812,100,10,10,10,16,0.1
