endpoint,model_label,mode,analysis_group,selector,token_site,layer,retained_labels,retained_class_count,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
final_count,Gemma4-E4B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,0,1 2 3 4 5 6 7 8 9 10,10,0.10500000000000001,0.10500000000000001,0.10500000000000001,200,5,16,16,0.11000000000000001,0.11000000000000001,0.0005499056371343136,-32.59711828301795,0.005027925129979849,9.143250751495362,100,10,10,10,16,0.1
final_count,Gemma4-E4B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,1,1 2 3 4 5 6 7 8 9 10,10,0.09999999999999999,0.11000000000000001,0.10500000000000001,200,5,16,16,0.09,0.09,0.0005473103874301156,-32.617663092834576,0.005024150013923645,9.179708862304688,100,10,10,10,16,0.1
final_count,Gemma4-E4B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,2,1 2 3 4 5 6 7 8 9 10,10,0.10500000000000001,0.11499999999999999,0.11,200,5,16,16,0.1,0.1,0.0003963119692984748,-34.01962811032498,0.00357687845826149,9.025411128997803,100,10,10,10,16,0.1
final_count,Gemma4-E4B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,3,1 2 3 4 5 6 7 8 9 10,10,0.1,0.1,0.1,200,5,16,16,0.1,0.1,0.000308899488559107,-35.10182810753718,0.0020810351707041264,6.736933040618896,100,10,10,10,16,0.1
final_count,Gemma4-E4B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,4,1 2 3 4 5 6 7 8 9 10,10,0.09,0.08499999999999999,0.0875,200,5,16,16,0.09,0.09,0.0004447432853372871,-33.51890600102897,0.0028766386676579714,6.468087911605835,100,10,10,10,16,0.1
final_count,Gemma4-E4B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,5,1 2 3 4 5 6 7 8 9 10,10,0.24000000000000005,0.24000000000000005,0.24000000000000005,200,5,16,16,0.12999999999999998,0.12,0.015730173470492537,-18.032664880021247,0.12301168590784073,7.820109939575195,100,10,10,10,16,0.1
final_count,Gemma4-E4B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,6,1 2 3 4 5 6 7 8 9 10,10,0.22000000000000003,0.23000000000000004,0.22500000000000003,200,5,16,16,0.22999999999999998,0.2,0.0358743910826528,-14.452154617335788,0.2636042833328247,7.347979307174683,100,10,10,10,16,0.1
final_count,Gemma4-E4B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,7,1 2 3 4 5 6 7 8 9 10,10,0.21500000000000002,0.22999999999999998,0.2225,200,5,16,16,0.21000000000000002,0.18000000000000002,0.02784493885160801,-15.552537314979922,0.19643250107765198,7.054513645172119,100,10,10,10,16,0.1
final_count,Gemma4-E4B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,8,1 2 3 4 5 6 7 8 9 10,10,0.24500000000000002,0.24500000000000002,0.24500000000000002,200,5,16,16,0.12,0.13999999999999999,0.014494036459989,-18.388106505413976,0.10523869842290878,7.260827493667603,100,10,10,10,16,0.1
final_count,Gemma4-E4B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,9,1 2 3 4 5 6 7 8 9 10,10,0.26,0.23499999999999996,0.2475,200,5,16,16,0.13999999999999999,0.13,0.01625102504668689,-17.8911924034174,0.11117551475763321,6.841138601303101,100,10,10,10,16,0.1
