endpoint,model_label,mode,analysis_group,selector,token_site,layer,retained_labels,retained_class_count,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,0,1 2 3 4 5 6 7 8 9 10,10,0.12000000000000002,0.13,0.125,200,5,16,16,0.1,0.1,0.0008739197704286707,-30.585284356258313,0.007923831231892109,9.067000770568848,100,10,10,10,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,1,1 2 3 4 5 6 7 8 9 10,10,0.135,0.13999999999999999,0.1375,200,5,16,16,0.1,0.1,0.0019097685920071905,-27.190192533296962,0.011934514157474041,6.249193859100342,100,10,10,10,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,2,1 2 3 4 5 6 7 8 9 10,10,0.16499999999999998,0.16,0.16249999999999998,200,5,16,16,0.11000000000000001,0.12000000000000002,0.009734446147673532,-20.116887531169134,0.06055017560720444,6.220197296142578,100,10,10,10,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,3,1 2 3 4 5 6 7 8 9 10,10,0.22000000000000003,0.22000000000000003,0.22000000000000003,200,5,16,16,0.13999999999999999,0.12,0.012066080196318081,-19.18433792503564,0.07097504287958145,5.882195520401001,100,10,10,10,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,4,1 2 3 4 5 6 7 8 9 10,10,0.21000000000000002,0.2,0.20500000000000002,200,5,16,16,0.12000000000000002,0.16,0.02151008453535213,-16.673578828173344,0.12786200642585754,5.944281911849975,100,10,10,10,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,5,1 2 3 4 5 6 7 8 9 10,10,0.175,0.2,0.1875,200,5,16,16,0.15,0.13,0.030849927151129573,-15.107458571704411,0.20696337521076202,6.708715200424194,100,10,10,10,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,6,1 2 3 4 5 6 7 8 9 10,10,0.215,0.23500000000000001,0.225,200,5,16,16,0.16,0.13999999999999999,0.05261601235904961,-12.788820691367427,0.3667277693748474,6.969889068603516,100,10,10,10,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,7,1 2 3 4 5 6 7 8 9 10,10,0.26,0.27999999999999997,0.27,200,5,16,16,0.20999999999999996,0.21000000000000002,0.08882792531689801,-10.514504812428909,0.6123443245887756,6.893601560592652,100,10,10,10,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,8,1 2 3 4 5 6 7 8 9 10,10,0.32999999999999996,0.36000000000000004,0.345,200,5,16,16,0.2,0.18,0.16823417820736228,-7.74085768948485,0.9900934100151062,5.885209655761718,100,10,10,10,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,9,1 2 3 4 5 6 7 8 9 10,10,0.38500000000000006,0.34500000000000003,0.36500000000000005,200,5,16,16,0.24,0.25999999999999995,0.166154907623141,-7.794868266863668,1.006225824356079,6.055950069427491,100,10,10,10,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,10,1 2 3 4 5 6 7 8 9 10,10,0.315,0.38,0.34750000000000003,200,5,16,16,0.29,0.28,0.16933762863976287,-7.712465262690801,0.9251087307929993,5.463101959228515,100,10,10,10,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,11,1 2 3 4 5 6 7 8 9 10,10,0.305,0.27999999999999997,0.2925,200,5,16,16,0.25,0.24000000000000005,0.1502740130461632,-8.231161156635396,0.8516120910644531,5.667061614990234,100,10,10,10,16,0.1
final_count,Qwen3-8B,non_thinking,all_counts,independent_layer_search,prompt_final_total_query,12,1 2 3 4 5 6 7 8 9 10,10,0.285,0.315,0.3,200,5,16,16,0.22999999999999998,0.27999999999999997,0.1776262678891016,-7.504928090769987,0.9121416211128235,5.135173034667969,100,10,10,10,16,0.1
