model_label,mode,layer,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,non_thinking,0,0.24463378945889983,0.20973321220343707,0.22718350083116845,494,5,16,16,0.3691863345875494,0.30392257744824813,0.1991301619474882,-7.00862953055203,2.4407246112823486,12.256930780410766,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,1,0.3403023563362994,0.36936508752125047,0.35483372192877494,494,5,16,16,0.42144626828130666,0.35398257255674137,0.262342084302195,-5.811320353182835,2.6730706691741943,10.189256048202514,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,2,0.3181664593604072,0.29442147253192896,0.3062939659461681,494,5,16,16,0.35051343140377667,0.27896803572954465,0.30448218925174436,-5.164381064331255,2.258810520172119,7.418530869483948,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,3,0.4339556937619456,0.352401452038424,0.39317857290018476,494,5,16,16,0.4597522903708965,0.35720771839697674,0.3418089900513675,-4.66216518916757,2.600188732147217,7.607139682769775,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,4,0.42568594088396,0.41549644918815,0.420591195036055,494,5,16,16,0.4206318892460197,0.35968801286096685,0.2996845841451183,-5.233355967036807,2.6467113494873047,8.831656646728515,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,5,0.47162022969872763,0.43941713235331525,0.45551868102602144,494,5,16,16,0.5214303962945267,0.3905095809987114,0.3268858202220608,-4.856039180029226,2.6257941722869873,8.032756423950195,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,6,0.5195352462045759,0.39981005378988,0.45967264999722796,494,5,16,16,0.49724096857249034,0.3776280181171486,0.3656922155956845,-4.3688428428821,2.719590663909912,7.436829519271851,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,7,0.4344572099560614,0.40075718848214603,0.4176071992191037,494,5,16,16,0.4153311965811966,0.41666190090103133,0.4017369712228118,-3.960581989897347,3.1563286781311035,7.856704521179199,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,8,0.4688540945721611,0.4049974201037818,0.43692575733797145,494,5,16,16,0.45395830015395233,0.41009069432982476,0.4109385132083016,-3.8622315469812762,3.0098812580108643,7.3244078159332275,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,9,0.4575847212809162,0.3896561604446354,0.42362044086277584,494,5,16,16,0.5334380116189579,0.383991834039788,0.4557525222275703,-3.4127091919194426,3.0127506256103516,6.610496878623962,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,10,0.4503343641943462,0.43473233264954025,0.44253334842194325,494,5,16,16,0.5490429682565232,0.4795906796386336,0.5208810381441461,-2.8326145208785154,3.3471603393554688,6.425959277153015,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,11,0.4438753361888287,0.446422492584482,0.4451489143866554,494,5,16,16,0.4786959976298212,0.41600521618903974,0.5569440154046071,-2.5418845836816355,3.6114659309387207,6.484432601928711,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,12,0.5331149479037226,0.42541633887933694,0.47926564339152977,494,5,16,16,0.6540056685996584,0.48084983714779117,0.5787682495732537,-2.374953016949331,3.670977830886841,6.342742252349853,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,13,0.5561499710715729,0.4734909151902061,0.5148204431308895,494,5,16,16,0.630296053761527,0.4986889167595689,0.5690296048128062,-2.4486513804715417,3.307279109954834,5.812138915061951,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,14,0.531419651456104,0.42400709580376017,0.4777133736299321,494,5,16,16,0.6299840895109438,0.5279303248612712,0.5624147478194566,-2.499432996300644,3.4288101196289062,6.096586430072785,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,15,0.5144624743411321,0.41406438346765917,0.46426342890439565,494,5,16,16,0.6342309722105118,0.552037467718414,0.5413663566841509,-2.665087370406173,3.3042800426483154,6.103593254089356,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,16,0.4913895771660677,0.447367966265899,0.4693787717159833,494,5,16,16,0.6230076952743193,0.5216568748458135,0.533159648621351,-2.731427269330111,3.3870110511779785,6.352714538574219,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,17,0.5530770263392853,0.4422823157068637,0.49767967102307453,494,5,16,16,0.537443107120217,0.49663802115048916,0.587521235961424,-2.3097643119378226,3.1797242164611816,5.412100911140442,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,18,0.5180320192474392,0.46272068754841145,0.49037635339792535,494,5,16,16,0.5525218866810939,0.5123544303451593,0.6005052596782824,-2.214831843655697,3.1499531269073486,5.245504641532898,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,19,0.4953543149483427,0.46117839898375196,0.47826635696604736,494,5,16,16,0.5947878998310585,0.5522202861077542,0.6351003571236421,-1.9715764305248042,2.895156145095825,4.5585805654525755,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,20,0.46127277662581767,0.39479254824206383,0.4280326624339408,494,5,16,16,0.4205225889129342,0.391612838000306,0.4945696397038189,-3.057725473232807,3.2754950523376465,6.62291978597641,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,21,0.5114883974176891,0.3985570245527301,0.45502271098520963,494,5,16,16,0.5370691657376441,0.339411464139725,0.45982346831506105,-3.3740886712582165,3.220271587371826,7.003278017044067,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,22,0.3600103420332123,0.34858885313893795,0.3542995975860751,494,5,16,16,0.3815628815628816,0.33231837606837605,0.3750741491455934,-4.2588286725504085,2.9090216159820557,7.755857402086258,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,23,0.33189631351371085,0.3205812867847223,0.3262388001492166,494,5,16,16,0.36182028755558165,0.2836206277382748,0.38407103854249586,-4.155884402323611,2.4231760501861572,6.30918712168932,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,24,0.3494431601222773,0.27780551417024,0.31362433714625865,494,5,16,16,0.27871007668801784,0.2409216600393071,0.40806632654233277,-3.892692415419119,2.166536331176758,5.309274964034557,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,25,0.2833453049497192,0.2715425883747066,0.2774439466622129,494,5,16,16,0.2442034885049591,0.264178305354776,0.4219119916085265,-3.747781308982754,1.9550775289535522,4.633851532638073,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,26,0.26402560188238805,0.27222727520490425,0.26812643854364615,494,5,16,16,0.3035784885049591,0.25547867165514226,0.39746944164756065,-4.006962552691263,1.7476574182510376,4.396960458159446,256,10,4,47,16,0.1
Qwen3-8B,non_thinking,27,0.29583894982476827,0.28291440025735437,0.28937667504106135,494,5,16,16,0.2987936899701606,0.3121069290186937,0.422260947463277,-3.744190821684153,1.5867431163787842,3.7577311515808107,256,10,4,47,16,0.1
