model_label,grammar_class,layer,rows,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,adjacent_rank_after_city,0,750,0.9468124988962898,0.8543883261450423,0.9006004125206661,494,5,16,16,0.9435672809713731,0.8406320563849338,1.3515385667665312,1.3082844300175283,10.900574684143066,8.065307903289796,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,1,750,0.9698531797108647,0.8977903542244899,0.9338217669676774,494,5,16,16,0.9403205277246197,0.8961178145880832,1.378167574855404,1.3930202773871103,10.97544002532959,7.963792085647583,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,2,750,0.9587785949860252,0.8778956055097072,0.9183371002478662,494,5,16,16,0.9446683538115763,0.8823949885011266,0.9423408344285947,-0.25791989203632926,9.406978607177734,9.982564973831177,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,3,750,0.9528406070988267,0.8695264466429504,0.9111835268708885,494,5,16,16,0.9448659822700745,0.881681465912604,0.6792676557008266,-1.679590644687159,7.650938510894775,11.263510704040527,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,4,750,0.933521988535726,0.8864503760828539,0.90998618230929,494,5,16,16,0.9391435796726718,0.8577159386862071,0.5389034480848337,-2.6848903763346854,6.056131839752197,11.237879180908203,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,5,750,0.9215989116126492,0.8596210412856327,0.8906099764491409,494,5,16,16,0.935648026312988,0.8430331275360048,0.44958749021058725,-3.4718578153173736,5.336335182189941,11.869403171539307,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,6,750,0.9767944840205901,0.9302099395328198,0.9535022117767049,494,5,16,16,0.9570997629821159,0.903289850068942,0.5719068161523587,-2.426747273740887,6.840304374694824,11.960522556304932,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,7,750,0.9469222220782745,0.9070598332058435,0.926991027642059,494,5,16,16,0.9263206387247308,0.8447731280791967,0.4837247124719556,-3.1540172485870266,5.624925136566162,11.628360080718995,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,8,750,0.9704612241062408,0.8720021661030902,0.9212316951046655,494,5,16,16,0.9460669552101777,0.8534802271395566,0.45058765948779056,-3.462207067305779,5.284817695617676,11.728722667694091,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,9,750,0.865858383601817,0.746529000477867,0.806193692039842,494,5,16,16,0.9174412331061947,0.7461380371546612,0.3737451692820493,-4.274244119590397,4.3784990310668945,11.715198993682861,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,10,750,0.8468573506788827,0.7288318494315698,0.7878446000552262,494,5,16,16,0.8684590496531033,0.7183579971463603,0.33909783820418954,-4.696749789007227,4.1606550216674805,12.269777488708495,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,11,750,0.8348438345502164,0.7024924842127479,0.7686681593814821,494,5,16,16,0.8447889440056962,0.7080067799137492,0.3371055522920022,-4.722340943792937,4.011773109436035,11.900643825531006,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,12,750,0.9266996161733003,0.8095758730433653,0.8681377446083328,494,5,16,16,0.9509975318798848,0.8113026146913616,0.4619044879517239,-3.3544781804529173,5.270291328430176,11.409915828704834,256,10,4,47,16,0.1
Qwen3-8B,adjacent_rank_after_city,13,750,0.8739472618330103,0.7006063700605795,0.7872768159467949,494,5,16,16,0.9064569062650903,0.7107242918703917,0.39218965790364335,-4.0650386292371525,4.503989219665527,11.484212112426757,256,10,4,47,16,0.1
