model_label,fixed_grammar,site,layer,states,trajectories,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
Qwen3-8B,adjacent_rank_before_city,city_end,0,398,57,0.12542569659442723,0.1011885073417581,0.11330710196809267,268,5,16,16,0.10357142857142856,0.11595238095238095,0.2403822313155012,-6.190976378624345,1.9021174907684326,7.912887239456177,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,1,398,57,0.07239235437764849,0.05620032200914553,0.064296338193397,268,5,16,16,0.11610757663389241,0.06954887218045111,0.241414672437906,-6.1723633835973555,1.6791330575942993,6.955389416217804,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,2,398,57,0.1405189617457419,0.08552933994110465,0.11302415084342328,268,5,16,16,0.1555729066255382,0.12780348306664097,0.27654075639379994,-5.582408536086936,2.325623035430908,8.409693622589112,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,3,398,57,0.08726514391181574,0.07680381194313082,0.08203447792747329,268,5,16,16,0.1233877964141122,0.1318504594820384,0.24811861052353817,-6.053406595707893,1.7433385848999023,7.026230645179749,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,4,398,57,0.0873119788851213,0.07129209871082935,0.07930203879797532,268,5,16,16,0.1525662714478504,0.1015018315018315,0.24877008305445902,-6.042018488428896,1.8620868921279907,7.485172128677368,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,5,398,57,0.0948229989251661,0.11103760217537309,0.1029303005502696,268,5,16,16,0.17052976993766467,0.06578425229741018,0.25330094726616836,-5.963631860811434,1.7477080821990967,6.899729752540589,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,6,398,57,0.1355826799905747,0.11676177781053942,0.12617222890055707,268,5,16,16,0.12622421438210912,0.13672723475355053,0.24550849343801642,-6.099334787367066,1.6293808221817017,6.63675948381424,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,7,398,57,0.1474854218565519,0.1373149990990548,0.14240021047780335,268,5,16,16,0.1616210397789345,0.14944026733500418,0.2523910414160102,-5.9792606437497495,1.6014341115951538,6.345051324367523,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,8,398,57,0.15956898672649447,0.14608969318721637,0.15282933995685544,268,5,16,16,0.1690486633249791,0.17609231411862988,0.26246262178474405,-5.8093253724272556,1.7397886514663696,6.628710174560547,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,9,398,57,0.1897271262306092,0.19120511339938584,0.1904661198149975,268,5,16,16,0.23776211361737679,0.1816530910609858,0.2924885794236052,-5.338910868130476,1.9101186990737915,6.530575323104858,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,10,398,57,0.20769458368142582,0.2377970598945831,0.22274582178800445,268,5,16,16,0.3537364243943191,0.2652130325814536,0.30494238660461853,-5.1578220505715064,1.896479606628418,6.2191406965255736,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,11,398,57,0.27831522622544297,0.23935431291274942,0.2588347695690962,268,5,16,16,0.43580425422530694,0.34568311805153906,0.3536179041850819,-4.514657541455779,2.296761989593506,6.495038747787476,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,12,398,57,0.3128238322994515,0.24242487030799728,0.27762435130372437,268,5,16,16,0.44029649444123126,0.3823133956686588,0.3708190176166673,-4.308380009725664,2.594505548477173,6.996689558029175,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,13,398,57,0.3644062787058143,0.3362447250605145,0.3503255018831644,268,5,16,16,0.49098001413790887,0.43755671229355436,0.5058637891104755,-2.9596640727328722,3.53840970993042,6.994787502288818,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,14,398,57,0.38444936341608166,0.3371171573667704,0.36078326039142605,268,5,16,16,0.47818327870959443,0.3897329863119337,0.49190350580288594,-3.0812008220703913,3.5870678424835205,7.292218494415283,130,8,4,19,16,0.1
Qwen3-8B,adjacent_rank_before_city,city_end,15,398,57,0.433115043138263,0.3620148244857997,0.39756493381203134,268,5,16,16,0.47939464044727204,0.45532003084634665,0.5391271617681497,-2.683087874277748,3.8367068767547607,7.116515636444092,130,8,4,19,16,0.1
