model_label,scope,target_ordinal,rank,layer,head,raw_attention_mass,n_seeds,n_events
Qwen3-8B,all,2,1,20,30,0.18874908288179562,20,169
Qwen3-8B,all,3,1,20,30,0.43312989255336304,20,151
Qwen3-8B,all,4,1,20,30,0.6441592136186906,20,135
Qwen3-8B,all,5,1,20,30,0.5710608521868333,20,116
Qwen3-8B,all,6,1,20,30,0.6984865947452501,20,97
Qwen3-8B,all,7,1,20,30,0.6123089481995834,20,78
Qwen3-8B,all,8,1,20,30,0.6297687184049999,20,59
Qwen3-8B,all,9,1,20,30,0.5159423808549999,20,38
Qwen3-8B,all,10,1,20,30,0.5663396800421051,19,19
Qwen3-8B,all,2,2,24,29,0.13842980450388892,20,169
Qwen3-8B,all,3,2,24,29,0.30943862990767856,20,151
Qwen3-8B,all,4,2,24,29,0.4402266606252381,20,135
Qwen3-8B,all,5,2,24,29,0.5218507318600001,20,116
Qwen3-8B,all,6,2,24,29,0.5052600236375,20,97
Qwen3-8B,all,7,2,24,29,0.50088980970875,20,78
Qwen3-8B,all,8,2,24,29,0.5271908190716666,20,59
Qwen3-8B,all,9,2,24,29,0.486804630185,20,38
Qwen3-8B,all,10,2,24,29,0.4573687241368422,19,19
Qwen3-8B,all,2,3,21,11,0.16236516889941469,20,169
Qwen3-8B,all,3,3,21,11,0.2545409100114286,20,151
Qwen3-8B,all,4,3,21,11,0.49085960769297615,20,135
Qwen3-8B,all,5,3,21,11,0.44835919114183326,20,116
Qwen3-8B,all,6,3,21,11,0.5253301532094998,20,97
Qwen3-8B,all,7,3,21,11,0.4710759681220834,20,78
Qwen3-8B,all,8,3,21,11,0.5880030630025,20,59
Qwen3-8B,all,9,3,21,11,0.4908515254475,20,38
Qwen3-8B,all,10,3,21,11,0.5851119181210528,19,19
Qwen3-8B,all,2,4,23,10,0.06361921611673611,20,169
Qwen3-8B,all,3,4,23,10,0.2299008448122321,20,151
Qwen3-8B,all,4,4,23,10,0.39551470584285714,20,135
Qwen3-8B,all,5,4,23,10,0.5361103742994999,20,116
Qwen3-8B,all,6,4,23,10,0.61718412377825,20,97
Qwen3-8B,all,7,4,23,10,0.58646858591875,20,78
Qwen3-8B,all,8,4,23,10,0.6496552016508333,20,59
Qwen3-8B,all,9,4,23,10,0.4424417010125,20,38
Qwen3-8B,all,10,4,23,10,0.5552364923263158,19,19
Qwen3-8B,all,2,5,23,30,0.1553547774573909,20,169
Qwen3-8B,all,3,5,23,30,0.16236491170297618,20,151
Qwen3-8B,all,4,5,23,30,0.2573291140055952,20,135
Qwen3-8B,all,5,5,23,30,0.4436505391921668,20,116
Qwen3-8B,all,6,5,23,30,0.5436488428135,20,97
Qwen3-8B,all,7,5,23,30,0.5820504585174999,20,78
Qwen3-8B,all,8,5,23,30,0.6556474997941668,20,59
Qwen3-8B,all,9,5,23,30,0.5554222668500002,20,38
Qwen3-8B,all,10,5,23,30,0.6246658475526314,19,19
Qwen3-8B,all,2,6,20,31,0.11644721306432534,20,169
Qwen3-8B,all,3,6,20,31,0.28891806265377984,20,151
Qwen3-8B,all,4,6,20,31,0.3926934005027381,20,135
Qwen3-8B,all,5,6,20,31,0.3612761570055,20,116
Qwen3-8B,all,6,6,20,31,0.4734242904975,20,97
Qwen3-8B,all,7,6,20,31,0.42291679390625003,20,78
Qwen3-8B,all,8,6,20,31,0.47597598039583333,20,59
Qwen3-8B,all,9,6,20,31,0.4288911402875,20,38
Qwen3-8B,all,10,6,20,31,0.4846763746105263,19,19
Qwen3-8B,all,2,7,21,8,0.1308292013608532,20,169
Qwen3-8B,all,3,7,21,8,0.17176568630625003,20,151
Qwen3-8B,all,4,7,21,8,0.30634542473797627,20,135
Qwen3-8B,all,5,7,21,8,0.4231615414676666,20,116
Qwen3-8B,all,6,7,21,8,0.5733754008005001,20,97
Qwen3-8B,all,7,7,21,8,0.4705429150841668,20,78
Qwen3-8B,all,8,7,21,8,0.5710924743700001,20,59
Qwen3-8B,all,9,7,21,8,0.40464695515000004,20,38
Qwen3-8B,all,10,7,21,8,0.4066748985210526,19,19
Qwen3-8B,all,2,8,21,31,0.0528495456270139,20,169
Qwen3-8B,all,3,8,21,31,0.12544458759699406,20,151
Qwen3-8B,all,4,8,21,31,0.25465393755785715,20,135
Qwen3-8B,all,5,8,21,31,0.3312368219,20,116
Qwen3-8B,all,6,8,21,31,0.46564195301975,20,97
Qwen3-8B,all,7,8,21,31,0.4150031386054166,20,78
Qwen3-8B,all,8,8,21,31,0.5219768421108333,20,59
Qwen3-8B,all,9,8,21,31,0.4152468188949999,20,38
Qwen3-8B,all,10,8,21,31,0.45954279429473677,19,19
Qwen3-8B,all,2,9,21,18,0.08241969541357141,20,169
Qwen3-8B,all,3,9,21,18,0.1509505257961905,20,151
Qwen3-8B,all,4,9,21,18,0.24195148474821426,20,135
Qwen3-8B,all,5,9,21,18,0.268459358005,20,116
Qwen3-8B,all,6,9,21,18,0.33046646199549995,20,97
Qwen3-8B,all,7,9,21,18,0.27891343879541675,20,78
Qwen3-8B,all,8,9,21,18,0.3926645609208333,20,59
Qwen3-8B,all,9,9,21,18,0.31804914922999994,20,38
Qwen3-8B,all,10,9,21,18,0.37336321744210527,19,19
Qwen3-8B,all,2,10,20,29,0.036685340576646824,20,169
Qwen3-8B,all,3,10,20,29,0.15069627884669642,20,151
Qwen3-8B,all,4,10,20,29,0.24592976586785711,20,135
Qwen3-8B,all,5,10,20,29,0.31547554377399994,20,116
Qwen3-8B,all,6,10,20,29,0.34690720283550003,20,97
Qwen3-8B,all,7,10,20,29,0.2758860419775,20,78
Qwen3-8B,all,8,10,20,29,0.31228636856833336,20,59
Qwen3-8B,all,9,10,20,29,0.19978798943999998,20,38
Qwen3-8B,all,10,10,20,29,0.1893448582578947,19,19
Qwen3-8B,all,2,11,23,28,0.030258300047896824,20,169
Qwen3-8B,all,3,11,23,28,0.04344462606619047,20,151
Qwen3-8B,all,4,11,23,28,0.09111704456690477,20,135
Qwen3-8B,all,5,11,23,28,0.2308577878045,20,116
Qwen3-8B,all,6,11,23,28,0.37011387620525005,20,97
Qwen3-8B,all,7,11,23,28,0.4658005821683333,20,78
Qwen3-8B,all,8,11,23,28,0.5534290976841667,20,59
Qwen3-8B,all,9,11,23,28,0.44686229358749985,20,38
Qwen3-8B,all,10,11,23,28,0.44543575534736835,19,19
Qwen3-8B,all,2,12,24,13,0.02127996567415675,20,169
Qwen3-8B,all,3,12,24,13,0.06583525712529761,20,151
Qwen3-8B,all,4,12,24,13,0.11664737665845237,20,135
Qwen3-8B,all,5,12,24,13,0.2592448094558334,20,116
Qwen3-8B,all,6,12,24,13,0.35398225073699996,20,97
Qwen3-8B,all,7,12,24,13,0.39613035561791665,20,78
Qwen3-8B,all,8,12,24,13,0.4506866882141668,20,59
Qwen3-8B,all,9,12,24,13,0.4213404488475,20,38
Qwen3-8B,all,10,12,24,13,0.4960599680421053,19,19
Qwen3-8B,all,2,13,22,4,0.0609740276790278,20,169
Qwen3-8B,all,3,13,22,4,0.05547556919270834,20,151
Qwen3-8B,all,4,13,22,4,0.16191046446107143,20,135
Qwen3-8B,all,5,13,22,4,0.251527405655,20,116
Qwen3-8B,all,6,13,22,4,0.35667747510175,20,97
Qwen3-8B,all,7,13,22,4,0.30732183593708334,20,78
Qwen3-8B,all,8,13,22,4,0.4320369373358333,20,59
Qwen3-8B,all,9,13,22,4,0.2112998243575,20,38
Qwen3-8B,all,10,13,22,4,0.1964033951315789,19,19
Qwen3-8B,all,2,14,20,15,0.09529645396644841,20,169
Qwen3-8B,all,3,14,20,15,0.0998617686470238,20,151
Qwen3-8B,all,4,14,20,15,0.14478877568023807,20,135
Qwen3-8B,all,5,14,20,15,0.18572619339266663,20,116
Qwen3-8B,all,6,14,20,15,0.22183413479224998,20,97
Qwen3-8B,all,7,14,20,15,0.208500264085,20,78
Qwen3-8B,all,8,14,20,15,0.24330150065999998,20,59
Qwen3-8B,all,9,14,20,15,0.21694617016750004,20,38
Qwen3-8B,all,10,14,20,15,0.17825377458947372,19,19
Qwen3-8B,all,2,15,20,28,0.050010110009325405,20,169
Qwen3-8B,all,3,15,20,28,0.10370124545877979,20,151
Qwen3-8B,all,4,15,20,28,0.14281990565976194,20,135
Qwen3-8B,all,5,15,20,28,0.17036858186116668,20,116
Qwen3-8B,all,6,15,20,28,0.21260740427400004,20,97
Qwen3-8B,all,7,15,20,28,0.19653536965375001,20,78
Qwen3-8B,all,8,15,20,28,0.21488210541583327,20,59
Qwen3-8B,all,9,15,20,28,0.20869159843750004,20,38
Qwen3-8B,all,10,15,20,28,0.17660921134736843,19,19
Qwen3-8B,all,2,16,23,13,0.06511747266699405,20,169
Qwen3-8B,all,3,16,23,13,0.03925369136952381,20,151
Qwen3-8B,all,4,16,23,13,0.06211197372345238,20,135
Qwen3-8B,all,5,16,23,13,0.11407968876916666,20,116
Qwen3-8B,all,6,16,23,13,0.2454415860055,20,97
Qwen3-8B,all,7,16,23,13,0.23651178283500002,20,78
Qwen3-8B,all,8,16,23,13,0.3139502308858333,20,59
Qwen3-8B,all,9,16,23,13,0.24887743319750003,20,38
Qwen3-8B,all,10,16,23,13,0.33776563445789465,19,19
Qwen3-8B,all,2,17,19,13,0.08395200319507937,20,169
Qwen3-8B,all,3,17,19,13,0.07011597963205356,20,151
Qwen3-8B,all,4,17,19,13,0.1162147796272619,20,135
Qwen3-8B,all,5,17,19,13,0.12188372912449999,20,116
Qwen3-8B,all,6,17,19,13,0.168333671433,20,97
Qwen3-8B,all,7,17,19,13,0.16351227487458336,20,78
Qwen3-8B,all,8,17,19,13,0.20038025038166668,20,59
Qwen3-8B,all,9,17,19,13,0.18427966167000004,20,38
Qwen3-8B,all,10,17,19,13,0.17198947629473682,19,19
