registered_bank_size,evaluation_scope,arm,grammar_class,behavior_outcome,n_trials,fraction_within_arm_grammar
1,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,correct_next_needle,85,0.9444444444444444
1,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,wrong_gold_needle,5,0.05555555555555555
1,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_before_city,correct_next_needle,3,1.0
1,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,correct_next_needle,166,0.9540229885057471
1,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,no_identifiable_city_record,1,0.005747126436781609
1,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,wrong_gold_needle,7,0.040229885057471264
1,confirmation,layer_matched_random_pooled_repeats,structural_invariant_bullet,correct_next_needle,3,1.0
1,confirmation,selected_bank,adjacent_rank_after_city,correct_next_needle,13,0.43333333333333335
1,confirmation,selected_bank,adjacent_rank_after_city,no_identifiable_city_record,13,0.43333333333333335
1,confirmation,selected_bank,adjacent_rank_after_city,wrong_gold_needle,4,0.13333333333333333
1,confirmation,selected_bank,adjacent_rank_before_city,no_identifiable_city_record,1,1.0
1,confirmation,selected_bank,same_unit_rank_before_city,correct_next_needle,36,0.6206896551724138
1,confirmation,selected_bank,same_unit_rank_before_city,no_identifiable_city_record,17,0.29310344827586204
1,confirmation,selected_bank,same_unit_rank_before_city,wrong_gold_needle,5,0.08620689655172414
1,confirmation,selected_bank,structural_invariant_bullet,correct_next_needle,1,1.0
2,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,correct_next_needle,70,0.7777777777777778
2,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,no_identifiable_city_record,13,0.14444444444444443
2,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,wrong_gold_needle,7,0.07777777777777778
2,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_before_city,correct_next_needle,3,1.0
2,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,correct_next_needle,137,0.7873563218390804
2,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,no_identifiable_city_record,23,0.13218390804597702
2,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,wrong_gold_needle,13,0.07471264367816093
2,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,wrong_non_gold_city_record,1,0.005747126436781609
2,confirmation,layer_matched_random_pooled_repeats,structural_invariant_bullet,correct_next_needle,3,1.0
2,confirmation,selected_bank,adjacent_rank_after_city,correct_next_needle,11,0.36666666666666664
2,confirmation,selected_bank,adjacent_rank_after_city,no_identifiable_city_record,16,0.5333333333333333
2,confirmation,selected_bank,adjacent_rank_after_city,wrong_gold_needle,3,0.1
2,confirmation,selected_bank,adjacent_rank_before_city,no_identifiable_city_record,1,1.0
2,confirmation,selected_bank,same_unit_rank_before_city,correct_next_needle,32,0.5517241379310345
2,confirmation,selected_bank,same_unit_rank_before_city,no_identifiable_city_record,21,0.3620689655172414
2,confirmation,selected_bank,same_unit_rank_before_city,wrong_gold_needle,5,0.08620689655172414
2,confirmation,selected_bank,structural_invariant_bullet,correct_next_needle,1,1.0
4,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,correct_next_needle,83,0.9222222222222223
4,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,no_identifiable_city_record,3,0.03333333333333333
4,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,wrong_gold_needle,4,0.044444444444444446
4,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_before_city,correct_next_needle,3,1.0
4,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,correct_next_needle,156,0.896551724137931
4,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,no_identifiable_city_record,2,0.011494252873563218
4,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,wrong_gold_needle,16,0.09195402298850575
4,confirmation,layer_matched_random_pooled_repeats,structural_invariant_bullet,correct_next_needle,3,1.0
4,confirmation,selected_bank,adjacent_rank_after_city,correct_next_needle,7,0.23333333333333334
4,confirmation,selected_bank,adjacent_rank_after_city,no_identifiable_city_record,17,0.5666666666666667
4,confirmation,selected_bank,adjacent_rank_after_city,wrong_gold_needle,5,0.16666666666666666
4,confirmation,selected_bank,adjacent_rank_after_city,wrong_non_gold_city_record,1,0.03333333333333333
4,confirmation,selected_bank,adjacent_rank_before_city,no_identifiable_city_record,1,1.0
4,confirmation,selected_bank,same_unit_rank_before_city,correct_next_needle,28,0.4827586206896552
4,confirmation,selected_bank,same_unit_rank_before_city,no_identifiable_city_record,25,0.43103448275862066
4,confirmation,selected_bank,same_unit_rank_before_city,wrong_gold_needle,5,0.08620689655172414
4,confirmation,selected_bank,structural_invariant_bullet,correct_next_needle,1,1.0
6,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,correct_next_needle,75,0.8333333333333334
6,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,no_identifiable_city_record,6,0.06666666666666667
6,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_after_city,wrong_gold_needle,9,0.1
6,confirmation,layer_matched_random_pooled_repeats,adjacent_rank_before_city,correct_next_needle,3,1.0
6,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,correct_next_needle,142,0.8160919540229885
6,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,no_identifiable_city_record,14,0.08045977011494253
6,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,wrong_gold_needle,17,0.09770114942528736
6,confirmation,layer_matched_random_pooled_repeats,same_unit_rank_before_city,wrong_non_gold_city_record,1,0.005747126436781609
6,confirmation,layer_matched_random_pooled_repeats,structural_invariant_bullet,correct_next_needle,3,1.0
6,confirmation,selected_bank,adjacent_rank_after_city,correct_next_needle,5,0.16666666666666666
6,confirmation,selected_bank,adjacent_rank_after_city,no_identifiable_city_record,23,0.7666666666666667
6,confirmation,selected_bank,adjacent_rank_after_city,wrong_gold_needle,2,0.06666666666666667
6,confirmation,selected_bank,adjacent_rank_before_city,no_identifiable_city_record,1,1.0
6,confirmation,selected_bank,same_unit_rank_before_city,correct_next_needle,22,0.3793103448275862
6,confirmation,selected_bank,same_unit_rank_before_city,no_identifiable_city_record,30,0.5172413793103449
6,confirmation,selected_bank,same_unit_rank_before_city,wrong_gold_needle,6,0.10344827586206896
