registered_bank_size,evaluation_scope,stage,gold_count,n_prompt_units,n_eligible_anchor_units,n_ineligible_prompt_units,n_seeds,n_clean_correct,n_complete_five_arm_pairs
shared_registry,full_panel,registered_prompt_panel,all,300.0,270,30.0,30,,
shared_registry,full_panel,registered_prompt_panel,1,30.0,0,30.0,30,,
shared_registry,full_panel,registered_prompt_panel,2,30.0,30,0.0,30,,
shared_registry,full_panel,registered_prompt_panel,3,30.0,30,0.0,30,,
shared_registry,full_panel,registered_prompt_panel,4,30.0,30,0.0,30,,
shared_registry,full_panel,registered_prompt_panel,5,30.0,30,0.0,30,,
shared_registry,full_panel,registered_prompt_panel,6,30.0,30,0.0,30,,
shared_registry,full_panel,registered_prompt_panel,7,30.0,30,0.0,30,,
shared_registry,full_panel,registered_prompt_panel,8,30.0,30,0.0,30,,
shared_registry,full_panel,registered_prompt_panel,9,30.0,30,0.0,30,,
shared_registry,full_panel,registered_prompt_panel,10,30.0,30,0.0,30,,
shared_registry,discovery,registered_prompt_panel,all,200.0,180,20.0,20,,
shared_registry,discovery,registered_prompt_panel,1,20.0,0,20.0,20,,
shared_registry,discovery,registered_prompt_panel,2,20.0,20,0.0,20,,
shared_registry,discovery,registered_prompt_panel,3,20.0,20,0.0,20,,
shared_registry,discovery,registered_prompt_panel,4,20.0,20,0.0,20,,
shared_registry,discovery,registered_prompt_panel,5,20.0,20,0.0,20,,
shared_registry,discovery,registered_prompt_panel,6,20.0,20,0.0,20,,
shared_registry,discovery,registered_prompt_panel,7,20.0,20,0.0,20,,
shared_registry,discovery,registered_prompt_panel,8,20.0,20,0.0,20,,
shared_registry,discovery,registered_prompt_panel,9,20.0,20,0.0,20,,
shared_registry,discovery,registered_prompt_panel,10,20.0,20,0.0,20,,
shared_registry,confirmation,registered_prompt_panel,all,100.0,90,10.0,10,,
shared_registry,confirmation,registered_prompt_panel,1,10.0,0,10.0,10,,
shared_registry,confirmation,registered_prompt_panel,2,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,3,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,4,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,5,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,6,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,7,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,8,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,9,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,10,10.0,10,0.0,10,,
1,confirmation,completed_five_arm_pairs,all,,90,,10,87.0,90.0
2,confirmation,completed_five_arm_pairs,all,,90,,10,87.0,90.0
4,confirmation,completed_five_arm_pairs,all,,90,,10,87.0,90.0
6,confirmation,completed_five_arm_pairs,all,,90,,10,87.0,90.0
8,confirmation,completed_five_arm_pairs,all,,90,,10,87.0,90.0
8,full_panel,completed_five_arm_pairs,all,,270,,30,264.0,270.0
8,discovery,completed_five_arm_pairs,all,,180,,20,177.0,180.0
