registered_bank_size,evaluation_scope,analysis_population,gold_count,estimand,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed,sign_flip_p,sign_flip_method,inferential_status,holm_family,holm_p
32,confirmation,all_examples,2,selected_failure_minus_mean_random_failure,0.25,0.0,0.5,8,8,0.25,1.0,0.5019455252918288,exact,descriptive_count_stratum,count_strata:K32:confirmation:all_examples,1.0
32,confirmation,all_examples,3,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,9,9,0.0,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:all_examples,1.0
32,confirmation,all_examples,4,selected_failure_minus_mean_random_failure,0.1,0.0,0.3,10,10,0.1,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:all_examples,1.0
32,confirmation,all_examples,5,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,10,10,0.0,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:all_examples,1.0
32,confirmation,all_examples,6,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,10,10,0.0,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:all_examples,1.0
32,confirmation,all_examples,7,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,10,10,0.0,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:all_examples,1.0
32,confirmation,all_examples,8,selected_failure_minus_mean_random_failure,0.16666666666666666,0.0,0.4,10,10,0.16666666666666666,1.0,0.5004878048780488,exact,descriptive_count_stratum,count_strata:K32:confirmation:all_examples,1.0
32,confirmation,all_examples,9,selected_failure_minus_mean_random_failure,-0.06666666666666668,-0.2,0.0,10,10,-0.06666666666666668,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:all_examples,1.0
32,confirmation,all_examples,10,selected_failure_minus_mean_random_failure,0.06666666666666667,0.0,0.2,10,10,0.06666666666666667,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:all_examples,1.0
32,confirmation,clean_correct_only,2,selected_failure_minus_mean_random_failure,0.25,0.0,0.625,8,8,0.25,1.0,0.5019455252918288,exact,descriptive_count_stratum,count_strata:K32:confirmation:clean_correct_only,1.0
32,confirmation,clean_correct_only,3,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,9,9,0.0,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:clean_correct_only,1.0
32,confirmation,clean_correct_only,4,selected_failure_minus_mean_random_failure,0.1,0.0,0.3,10,10,0.1,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:clean_correct_only,1.0
32,confirmation,clean_correct_only,5,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,10,10,0.0,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:clean_correct_only,1.0
32,confirmation,clean_correct_only,6,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,10,10,0.0,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:clean_correct_only,1.0
32,confirmation,clean_correct_only,7,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,10,10,0.0,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:clean_correct_only,1.0
32,confirmation,clean_correct_only,8,selected_failure_minus_mean_random_failure,0.16666666666666666,0.0,0.4,10,10,0.16666666666666666,1.0,0.5004878048780488,exact,descriptive_count_stratum,count_strata:K32:confirmation:clean_correct_only,1.0
32,confirmation,clean_correct_only,9,selected_failure_minus_mean_random_failure,-0.06666666666666668,-0.2,0.0,10,10,-0.06666666666666668,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:clean_correct_only,1.0
32,confirmation,clean_correct_only,10,selected_failure_minus_mean_random_failure,0.06666666666666667,0.0,0.2,10,10,0.06666666666666667,1.0,1.0,exact,descriptive_count_stratum,count_strata:K32:confirmation:clean_correct_only,1.0
