registered_bank_size,evaluation_scope,analysis_population,gold_count,arm,metric,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed
32,confirmation,all_examples,2,clean,failure_rate,0.0,0.0,0.0,8,8,0.0,1.0
32,confirmation,all_examples,2,selected_bank,failure_rate,0.25,0.0,0.625,8,8,0.25,1.0
32,confirmation,all_examples,2,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,8,8,0.0,1.0
32,confirmation,all_examples,2,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,8,8,0.0,1.0
32,confirmation,all_examples,2,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,8,8,0.0,1.0
32,confirmation,all_examples,2,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,8,8,0.0,1.0
32,confirmation,all_examples,3,clean,failure_rate,0.0,0.0,0.0,9,9,0.0,1.0
32,confirmation,all_examples,3,selected_bank,failure_rate,0.0,0.0,0.0,9,9,0.0,1.0
32,confirmation,all_examples,3,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,9,9,0.0,1.0
32,confirmation,all_examples,3,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,9,9,0.0,1.0
32,confirmation,all_examples,3,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,9,9,0.0,1.0
32,confirmation,all_examples,3,layer_matched_random_repeat_3,failure_rate,0.0,0.0,0.0,9,9,0.0,1.0
32,confirmation,all_examples,4,clean,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
32,confirmation,all_examples,4,selected_bank,failure_rate,0.1,0.0,0.3,10,10,0.1,1.0
32,confirmation,all_examples,4,layer_matched_random_mean,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
32,confirmation,all_examples,4,layer_matched_random_repeat_1,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
32,confirmation,all_examples,4,layer_matched_random_repeat_2,failure_rate,0.0,0.0,0.0,10,10,0.0,1.0
