registered_bank_size,evaluation_scope,analysis_population,grammar_class,estimand,mean,ci95_low,ci95_high,n_seeds,n_anchor_units,anchor_weighted_mean,mean_equalized_strata_per_seed,sign_flip_p,sign_flip_method,inferential_status,holm_family,holm_p
32,confirmation,all_examples,pooled,selected_failure_minus_mean_random_failure,0.05416666666666666,0.01111111111111111,0.09861111111111112,10,87,0.053639846743295014,1.0,0.12585365853658537,exact,registered_confirmation,pooled_K_grid:confirmation:all_examples,0.12585365853658537
32,confirmation,all_examples,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.09157407407407407,0.009999999999999998,0.19907407407407407,10,85,0.05490196078431372,3.0,0.12585365853658537,exact,registered_confirmation,,
32,confirmation,all_examples,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.04222222222222222,0.0,0.10222222222222221,10,45,0.037037037037037035,1.0,0.5004878048780488,exact,registered_confirmation,,
32,confirmation,all_examples,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,8,19,0.0,1.0,1.0,exact,descriptive_or_secondary,,
32,confirmation,all_examples,evidence_sequence_unranked,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
32,confirmation,all_examples,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.25,0.0625,0.5,8,15,0.2,1.0,0.2529182879377432,exact,descriptive_or_secondary,,
32,confirmation,all_examples,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
32,confirmation,all_examples,structural_unmarked,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,4,6,0.0,1.0,1.0,exact,descriptive_or_secondary,,
32,confirmation,clean_correct_only,pooled,selected_failure_minus_mean_random_failure,0.05416666666666666,0.01111111111111111,0.09861111111111112,10,87,0.053639846743295014,1.0,0.12585365853658537,exact,registered_confirmation,pooled_K_grid:confirmation:clean_correct_only,0.12585365853658537
32,confirmation,clean_correct_only,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.09157407407407407,0.0125,0.2,10,85,0.05490196078431372,3.0,0.12585365853658537,exact,registered_confirmation,,
32,confirmation,clean_correct_only,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.04222222222222222,0.0,0.10444444444444442,10,45,0.037037037037037035,1.0,0.5004878048780488,exact,registered_confirmation,,
32,confirmation,clean_correct_only,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,8,19,0.0,1.0,1.0,exact,descriptive_or_secondary,,
32,confirmation,clean_correct_only,evidence_sequence_unranked,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
32,confirmation,clean_correct_only,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.25,0.0,0.5,8,15,0.2,1.0,0.2529182879377432,exact,descriptive_or_secondary,,
32,confirmation,clean_correct_only,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
32,confirmation,clean_correct_only,structural_unmarked,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,4,6,0.0,1.0,1.0,exact,descriptive_or_secondary,,
64,confirmation,all_examples,pooled,selected_failure_minus_mean_random_failure,0.24444444444444446,0.175,0.3291666666666667,10,87,0.24521072796934865,1.0,0.002926829268292683,exact,registered_confirmation,pooled_K_grid:confirmation:all_examples,0.0175609756097561
64,confirmation,all_examples,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.3252314814814815,0.22175925925925927,0.4291666666666667,10,85,0.2392156862745098,3.0,0.002926829268292683,exact,registered_confirmation,,
64,confirmation,all_examples,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.05972222222222221,0.01111111111111111,0.11111111111111112,10,45,0.07407407407407407,1.0,0.12585365853658537,exact,registered_confirmation,,
64,confirmation,all_examples,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,0.020833333333333332,0.0,0.0625,8,19,0.05263157894736842,1.0,1.0,exact,descriptive_or_secondary,,
64,confirmation,all_examples,evidence_sequence_unranked,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,1,1,1.0,1.0,,not_run,descriptive_or_secondary,,
64,confirmation,all_examples,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.71875,0.4375,0.9375,8,15,0.6666666666666666,1.0,0.019455252918287938,exact,descriptive_or_secondary,,
64,confirmation,all_examples,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
64,confirmation,all_examples,structural_unmarked,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,4,6,1.0,1.0,0.17647058823529413,exact,descriptive_or_secondary,,
64,confirmation,clean_correct_only,pooled,selected_failure_minus_mean_random_failure,0.24444444444444446,0.1736111111111111,0.325,10,87,0.24521072796934865,1.0,0.002926829268292683,exact,registered_confirmation,pooled_K_grid:confirmation:clean_correct_only,0.0175609756097561
64,confirmation,clean_correct_only,macro_primary_grammars,selected_failure_minus_mean_random_failure,0.3252314814814815,0.21944444444444447,0.4291666666666667,10,85,0.2392156862745098,3.0,0.002926829268292683,exact,registered_confirmation,,
64,confirmation,clean_correct_only,adjacent_rank_after_city,selected_failure_minus_mean_random_failure,0.05972222222222221,0.012465277777777797,0.11111111111111112,10,45,0.07407407407407407,1.0,0.12585365853658537,exact,registered_confirmation,,
64,confirmation,clean_correct_only,adjacent_rank_before_city,selected_failure_minus_mean_random_failure,0.020833333333333332,0.0,0.0625,8,19,0.05263157894736842,1.0,1.0,exact,descriptive_or_secondary,,
64,confirmation,clean_correct_only,evidence_sequence_unranked,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,1,1,1.0,1.0,,not_run,descriptive_or_secondary,,
64,confirmation,clean_correct_only,same_unit_rank_before_city,selected_failure_minus_mean_random_failure,0.71875,0.4375,1.0,8,15,0.6666666666666666,1.0,0.019455252918287938,exact,descriptive_or_secondary,,
64,confirmation,clean_correct_only,structural_invariant_bullet,selected_failure_minus_mean_random_failure,0.0,0.0,0.0,1,1,0.0,1.0,,not_run,descriptive_or_secondary,,
64,confirmation,clean_correct_only,structural_unmarked,selected_failure_minus_mean_random_failure,1.0,1.0,1.0,4,6,1.0,1.0,0.17647058823529413,exact,descriptive_or_secondary,,
80,confirmation,all_examples,pooled,selected_failure_minus_mean_random_failure,0.3527777777777778,0.2555555555555556,0.4444444444444445,10,87,0.3524904214559387,1.0,0.002926829268292683,exact,registered_confirmation,pooled_K_grid:confirmation:all_examples,0.0175609756097561
