registered_bank_size,evaluation_scope,stage,gold_count,n_prompt_units,n_eligible_anchor_units,n_ineligible_prompt_units,n_seeds,n_clean_correct,n_complete_five_arm_pairs
shared_registry,full_panel,registered_prompt_panel,all,300.0,256,44.0,30,,
shared_registry,full_panel,registered_prompt_panel,1,30.0,0,30.0,30,,
shared_registry,full_panel,registered_prompt_panel,2,30.0,25,5.0,30,,
shared_registry,full_panel,registered_prompt_panel,3,30.0,25,5.0,30,,
shared_registry,full_panel,registered_prompt_panel,4,30.0,29,1.0,30,,
shared_registry,full_panel,registered_prompt_panel,5,30.0,29,1.0,30,,
shared_registry,full_panel,registered_prompt_panel,6,30.0,30,0.0,30,,
shared_registry,full_panel,registered_prompt_panel,7,30.0,29,1.0,30,,
shared_registry,full_panel,registered_prompt_panel,8,30.0,29,1.0,30,,
shared_registry,full_panel,registered_prompt_panel,9,30.0,30,0.0,30,,
shared_registry,full_panel,registered_prompt_panel,10,30.0,30,0.0,30,,
shared_registry,discovery,registered_prompt_panel,all,200.0,169,31.0,20,,
shared_registry,discovery,registered_prompt_panel,1,20.0,0,20.0,20,,
shared_registry,discovery,registered_prompt_panel,2,20.0,17,3.0,20,,
shared_registry,discovery,registered_prompt_panel,3,20.0,16,4.0,20,,
shared_registry,discovery,registered_prompt_panel,4,20.0,19,1.0,20,,
shared_registry,discovery,registered_prompt_panel,5,20.0,19,1.0,20,,
shared_registry,discovery,registered_prompt_panel,6,20.0,20,0.0,20,,
shared_registry,discovery,registered_prompt_panel,7,20.0,19,1.0,20,,
shared_registry,discovery,registered_prompt_panel,8,20.0,19,1.0,20,,
shared_registry,discovery,registered_prompt_panel,9,20.0,20,0.0,20,,
shared_registry,discovery,registered_prompt_panel,10,20.0,20,0.0,20,,
shared_registry,confirmation,registered_prompt_panel,all,100.0,87,13.0,10,,
shared_registry,confirmation,registered_prompt_panel,1,10.0,0,10.0,10,,
shared_registry,confirmation,registered_prompt_panel,2,10.0,8,2.0,10,,
shared_registry,confirmation,registered_prompt_panel,3,10.0,9,1.0,10,,
shared_registry,confirmation,registered_prompt_panel,4,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,5,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,6,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,7,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,8,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,9,10.0,10,0.0,10,,
shared_registry,confirmation,registered_prompt_panel,10,10.0,10,0.0,10,,
32,confirmation,completed_five_arm_pairs,all,,87,,10,87.0,87.0
64,confirmation,completed_five_arm_pairs,all,,87,,10,87.0,87.0
80,confirmation,completed_five_arm_pairs,all,,87,,10,87.0,87.0
96,confirmation,completed_five_arm_pairs,all,,87,,10,87.0,87.0
112,confirmation,completed_five_arm_pairs,all,,87,,10,87.0,87.0
125,confirmation,completed_five_arm_pairs,all,,87,,10,87.0,87.0
125,full_panel,completed_five_arm_pairs,all,,256,,30,254.0,256.0
125,discovery,completed_five_arm_pairs,all,,169,,20,167.0,169.0
