model_label,mode,layer,n_confirmation,n_confirmation_seed_clusters,min_confirmation_per_class,max_confirmation_per_class,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,ncc_balanced_accuracy,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Gemma4-E4B,non_thinking,0,100,10,10,10,64,0.14,0.14,0.13,0.13,0.69,-127608234.30785465,1.05667245388031,0.23852962255477905,5.62882258656986,20.12338694763028,6.140450186482995e-05,9.698027405224874,3.916631372645497e-05,1,0.1756811643750598,39.16631372645497
Gemma4-E4B,native_thinking,0,67,10,3,10,64,0.2835820895522388,0.2980952380952381,0.13432835820895522,0.10714285714285714,0.8656716417910447,-141111417.72560915,0.6740328669548035,0.28852614760398865,8.352048100822607,776.0546641661174,1.8084315688880068e-14,31.643731368824675,3.3479505024850365e-05,1,-4.114544625242886e-06,33.47950502485037
Gemma4-E4B,non_thinking,1,100,10,10,10,64,0.12,0.12,0.14,0.14,0.63,-1408369270.1005497,0.9323697686195374,0.2033938318490982,6.051604839919738,28.664291802895892,1.1709651668092768e-05,11.35509712733058,3.578761975094676e-05,1,0.1207243391869523,35.78761975094676
Gemma4-E4B,native_thinking,1,67,10,3,10,64,0.34328358208955223,0.35523809523809524,0.16417910447761194,0.14857142857142858,0.5373134328358209,128672882.0288924,0.5318436622619629,0.28018972277641296,8.783518716514308,10105.292119326612,5.294651532047607e-22,48.99017487973714,2.9455868031829593e-05,1,-1.1394723380903018e-06,29.455868031829596
Gemma4-E4B,non_thinking,2,100,10,10,10,64,0.12,0.12000000000000002,0.09,0.09,0.77,124262975.07106915,0.7318827509880066,0.11573261767625809,5.788153345888157,22.27222110246195,3.6307556603930186e-05,10.223484667450858,3.150433676317334e-05,1,0.1485462363319441,31.50433676317334
Gemma4-E4B,native_thinking,2,67,10,3,10,64,0.417910447761194,0.41809523809523813,0.14925373134328357,0.12571428571428572,0.6865671641791045,-1635495008.8144183,0.6762033104896545,0.27739253640174866,8.673689479340222,9457.431455786114,2.1917089937581726e-20,45.26702025793031,2.857974731735885e-05,1,-1.4084165219329831e-06,28.57974731735885
Gemma4-E4B,non_thinking,3,100,10,10,10,64,0.17,0.17,0.11,0.11000000000000001,0.7,38376932.74463607,0.7621062994003296,0.2225625216960907,5.71788551334223,20.437090695637494,5.439029869128761e-05,9.819324752886319,2.9635844249278305e-05,1,0.11545736219413637,29.635844249278307
Gemma4-E4B,native_thinking,3,67,10,3,10,64,0.40298507462686567,0.3804761904761905,0.14925373134328357,0.12571428571428572,0.7014925373134329,663467837.1816561,0.624393105506897,0.2610338628292084,8.84394399264137,22611.691271706703,3.991779199742808e-23,51.575220092629195,2.6495578792877493e-05,1,-1.8578895917207957e-06,26.495578792877495
Gemma4-E4B,non_thinking,4,100,10,10,10,64,0.18,0.18000000000000002,0.12,0.12,0.77,150908238.1162811,0.8295076489448547,0.25846031308174133,6.029526822354397,27.12376249436578,1.519963288770617e-05,11.094239282528305,2.7958144303411243e-05,1,0.10239462885701237,27.958144303411245
Gemma4-E4B,native_thinking,4,67,10,3,10,64,0.4925373134328358,0.490952380952381,0.1791044776119403,0.1542857142857143,0.7164179104477612,173489160.43934292,0.7665254473686218,0.3035815358161926,8.785124384359136,85996.01779203104,5.653857547267469e-26,58.13487435392701,2.536929313559085e-05,1,-1.9145919302151417e-06,25.36929313559085
Gemma4-E4B,non_thinking,5,100,10,10,10,64,0.31,0.31,0.31,0.31,0.58,-6371510.488473731,1.6556212902069092,0.9294962882995605,5.832765451145237,580.3281837138501,1.0167363827405347e-07,16.10149777817073,1.90044610761106e-05,1,0.04067729423844208,19.0044610761106
Gemma4-E4B,native_thinking,5,67,10,3,10,64,0.373134328358209,0.3576190476190476,0.208955223880597,0.18428571428571427,0.7761194029850746,-835899607.9287645,0.7012054920196533,0.26442259550094604,8.84970005188543,60933.66897741181,1.2347308717017483e-24,55.05118920317506,2.5029680871404705e-05,1,-1.926445510100431e-06,25.029680871404707
Gemma4-E4B,non_thinking,6,100,10,10,10,64,0.32,0.31999999999999995,0.32,0.31999999999999995,0.53,-1190449528.3545449,1.6225961446762085,0.9454671144485474,5.959609524416263,1271.130484143101,3.464820728973396e-08,17.178019850318954,1.8798329818993807e-05,1,0.03520601604321059,18.798329818993807
Gemma4-E4B,native_thinking,6,67,10,3,10,64,0.43283582089552236,0.4204761904761905,0.2537313432835821,0.22714285714285715,0.7313432835820896,1462039731.8480868,0.8624123930931091,0.3302633464336395,8.653152894008482,53089.43132047934,5.208646925059858e-24,53.611722117103774,2.4958471469581126e-05,1,-9.104869561455654e-07,24.958471469581127
Gemma4-E4B,non_thinking,7,100,10,10,10,64,0.34,0.33999999999999997,0.25,0.25,0.55,-5690553187.10688,1.5235060453414917,0.9493176937103271,5.990322803478416,574.5939365399798,1.1976802661530586e-07,15.937709076575052,2.025924142822623e-05,1,0.07020949864554318,20.259241428226233
Gemma4-E4B,native_thinking,7,67,10,3,10,64,0.4925373134328358,0.47190476190476194,0.16417910447761194,0.1457142857142857,0.7761194029850746,-1057369256.8665352,1.0843746662139893,0.43940916657447815,8.726374347836465,75254.34355937141,2.6425123646162985e-25,56.592897206964054,2.4985491927713156e-05,1,-9.118308161155373e-07,24.985491927713156
Gemma4-E4B,non_thinking,8,100,10,10,10,64,0.26,0.26,0.26,0.26,0.6,-1087103376.1828804,1.5058741569519043,0.969782292842865,5.783260172280297,497.65471417843935,1.8527196639184774e-07,15.50144100278589,2.0846236780285835e-05,1,0.09826568807896119,20.846236780285835
Gemma4-E4B,native_thinking,8,67,10,3,10,64,0.40298507462686567,0.3919047619047619,0.23880597014925373,0.20714285714285713,0.7164179104477612,157292140.93993893,1.240614414215088,0.4744393825531006,8.837292517892172,98022.90576824159,1.760028438770366e-26,59.30188245053342,2.3046764593571422e-05,1,-2.2174131968086036e-06,23.046764593571424
Gemma4-E4B,non_thinking,9,100,10,10,10,64,0.33,0.33,0.3,0.3,0.56,-174144002.31402278,1.5600817203521729,0.9725175499916077,5.909948594854445,1239.4028973704237,5.201406581008345e-08,16.771751658594766,2.111643767170608e-05,1,0.07215731692101326,21.11643767170608
Gemma4-E4B,native_thinking,9,67,10,3,10,64,0.3880597014925373,0.35285714285714287,0.23880597014925373,0.21714285714285714,0.7611940298507462,-839045533.6721251,1.0456013679504395,0.39533287286758423,8.725505905939764,123136.7151068012,2.230813653473554e-27,61.367431124886494,2.3096200853586195e-05,1,-1.6326281970776195e-06,23.096200853586197
Gemma4-E4B,non_thinking,10,100,10,10,10,64,0.32,0.31999999999999995,0.3,0.3,0.57,-366092095.4341239,1.5682175159454346,0.9936650395393372,6.124567440671701,1487.0771974574936,2.6932504063194165e-08,17.429931950294375,2.0125905256718397e-05,1,0.05916416425432521,20.125905256718397
Gemma4-E4B,native_thinking,10,67,10,3,10,64,0.746268656716418,0.7509523809523809,0.4925373134328358,0.49190476190476196,0.40298507462686567,-87671062.64631101,0.8482637405395508,0.3186340034008026,8.942427401330768,754253.4572063839,2.4489826278508506e-35,79.69480557041518,2.0519411917775867e-05,1,-1.2421100688995941e-06,20.51941191777587
Gemma4-E4B,non_thinking,11,100,10,10,10,64,0.41,0.41,0.32,0.32,0.6,148800343.810514,1.6897119283676147,0.861231803894043,5.9794101545529355,1223.877043766513,1.5966541885854908e-08,17.952770436310345,1.8236453257501125e-05,1,0.029598240280566374,18.236453257501125
Gemma4-E4B,native_thinking,11,67,10,3,10,64,0.5671641791044776,0.5547619047619047,0.23880597014925373,0.21285714285714286,0.6716417910447762,-202845328.60602385,1.1476973295211792,0.4371950924396515,8.791400313342336,321057.2259050055,1.3639994378254196e-31,71.06971673554568,2.146163654886186e-05,1,-7.661418712084343e-07,21.46163654886186
Gemma4-E4B,non_thinking,12,100,10,10,10,64,0.43,0.43,0.38,0.38,0.55,-1097510695.8255858,1.6780441999435425,0.8299930691719055,6.227138611281182,919.7260178162195,1.3797558303406648e-08,18.098774194973764,1.8576507590711114e-05,1,0.03775985421194909,18.576507590711117
Gemma4-E4B,native_thinking,12,67,10,3,10,64,0.43283582089552236,0.409047619047619,0.26865671641791045,0.24714285714285716,0.6865671641791045,280382666.89885914,1.2335190773010254,0.4201202094554901,8.81801369191691,324294.0306545579,3.910329543430902e-31,70.0165162301623,2.045718146674335e-05,1,-2.6907710815049144e-06,20.45718146674335
Gemma4-E4B,non_thinking,13,100,10,10,10,64,0.38,0.38,0.37,0.37000000000000005,0.61,-83581972.52284971,1.7402628660202026,0.8430231809616089,6.177322211609583,979.7423198731492,1.552929891723296e-08,17.980537344576046,1.873910564556718e-05,1,0.04903061199133292,18.73910564556718
Gemma4-E4B,native_thinking,13,67,10,3,10,64,0.43283582089552236,0.4147619047619047,0.3582089552238806,0.3476190476190476,0.6417910447761194,-212136494.67451358,1.2162858247756958,0.41853123903274536,8.796418779809983,399385.16415356746,7.988294750666403e-32,71.60474566175458,1.9661173244938252e-05,1,-8.064864301666556e-07,19.661173244938254
Gemma4-E4B,non_thinking,14,100,10,10,10,64,0.43,0.43,0.4,0.4,0.56,-215506322.6977067,1.7323328256607056,0.8341631889343262,6.230994865580488,625.3169445828428,1.7699113172582088e-08,17.849751301865787,1.8599832508713008e-05,1,0.06595017437177918,18.599832508713007
Gemma4-E4B,native_thinking,14,67,10,3,10,64,0.5373134328358209,0.5452380952380953,0.43283582089552236,0.43047619047619035,0.5671641791044776,-174021651.11337766,1.2276378870010376,0.36127015948295593,8.900313939047926,368645.32820167835,8.531147036462314e-33,73.84158424547721,1.970456202700734e-05,1,-2.3474907263305385e-06,19.70456202700734
Gemma4-E4B,non_thinking,15,100,10,10,10,64,0.43,0.43,0.41,0.41000000000000003,0.45,170377687.60927063,1.6822303533554077,0.822034478187561,6.2530697790304774,727.2325215611091,1.0558446041373888e-08,18.366339724669608,1.76274574752897e-05,1,0.08096325885926675,17.627457475289702
Gemma4-E4B,native_thinking,15,67,10,3,10,64,0.4925373134328358,0.46428571428571425,0.47761194029850745,0.4766666666666667,0.5373134328358209,-49553529.80846844,1.1351900100708008,0.3547433614730835,8.90050912531129,394752.56810216024,8.005642119729353e-32,71.60257641774592,1.874275239370763e-05,1,-6.2420748949272365e-06,18.742752393707633
Gemma4-E4B,non_thinking,16,100,10,10,10,64,0.35,0.35,0.37,0.37,0.56,84802248855.09082,1.6943618059158325,0.8160087466239929,6.528533247272608,461.18419368087905,1.4722616773145996e-08,18.03388096953007,1.6892461873590945e-05,1,0.11861528479960193,16.892461873590946
Gemma4-E4B,native_thinking,16,67,10,3,10,64,0.6119402985074627,0.5919047619047618,0.5522388059701493,0.5638095238095238,0.40298507462686567,-79393534.91774878,1.066359043121338,0.30526742339134216,8.775008937801509,867256.5652076433,6.658617430802254e-35,78.69456638476234,1.8129468262195585e-05,1,-5.636755627236937e-07,18.129468262195587
Gemma4-E4B,non_thinking,17,100,10,10,10,64,0.39,0.39,0.3,0.29999999999999993,0.57,-122689528.18608241,1.7234106063842773,0.80736243724823,6.170668577626505,487.5784343393973,2.226993591349779e-08,17.620028233386808,1.7103049390017987e-05,1,0.06973856945312602,17.103049390017986
Gemma4-E4B,native_thinking,17,67,10,3,10,64,0.40298507462686567,0.3614285714285714,0.43283582089552236,0.40142857142857136,0.44776119402985076,-773536345.7682955,1.1609399318695068,0.35716211795806885,8.88596188126765,868468.1879173282,1.172093565907724e-35,80.43168673243112,1.8215325914323328e-05,1,-3.397115582520767e-06,18.21532591432333
