model_label,mode,layer,occurrence,n_confirmation_class,metric,value,quality_direction,quality_value
Gemma4-E4B,non_thinking,0,1,10,logistic_precision,0.375,higher,0.375
Gemma4-E4B,non_thinking,0,1,10,logistic_recall,0.3,higher,0.3
Gemma4-E4B,non_thinking,0,1,10,logistic_f1,0.3333333333333333,higher,0.3333333333333333
Gemma4-E4B,non_thinking,0,1,10,ncc_recall,0.5,higher,0.5
Gemma4-E4B,non_thinking,0,1,10,silhouette_cosine,-0.09075124561786652,higher,-0.09075124561786652
Gemma4-E4B,non_thinking,0,1,10,within_trace,3465.6328125,lower,-3465.6328125
Gemma4-E4B,non_thinking,0,1,10,class_nc1_ratio,15.581255882208357,lower,-15.581255882208357
Gemma4-E4B,non_thinking,0,1,10,centroid_nearest_squared,287.9381408691406,higher,287.9381408691406
Gemma4-E4B,non_thinking,0,1,10,fisher_nearest,0.08308385695985807,higher,0.08308385695985807
Gemma4-E4B,non_thinking,0,1,10,min_bhattacharyya,3.0050772428512573,higher,3.0050772428512573
Gemma4-E4B,non_thinking,0,1,10,mean_bhattacharyya,4.144508706198798,higher,4.144508706198798
Gemma4-E4B,non_thinking,0,1,10,nc2_class_cosine_deviation,0.2618207319835086,lower,-0.2618207319835086
Gemma4-E4B,non_thinking,0,2,10,logistic_precision,0.16666666666666666,higher,0.16666666666666666
Gemma4-E4B,non_thinking,0,2,10,logistic_recall,0.1,higher,0.1
Gemma4-E4B,non_thinking,0,2,10,logistic_f1,0.125,higher,0.125
Gemma4-E4B,non_thinking,0,2,10,ncc_recall,0.0,higher,0.0
Gemma4-E4B,non_thinking,0,2,10,silhouette_cosine,-0.041058070957660675,higher,-0.041058070957660675
Gemma4-E4B,non_thinking,0,2,10,within_trace,3543.938720703125,lower,-3543.938720703125
Gemma4-E4B,non_thinking,0,2,10,class_nc1_ratio,8.083728330523714,lower,-8.083728330523714
Gemma4-E4B,non_thinking,0,2,10,centroid_nearest_squared,291.86212158203125,higher,291.86212158203125
Gemma4-E4B,non_thinking,0,2,10,fisher_nearest,0.08235529578347935,higher,0.08235529578347935
Gemma4-E4B,non_thinking,0,2,10,min_bhattacharyya,2.9413044452667236,higher,2.9413044452667236
Gemma4-E4B,non_thinking,0,2,10,mean_bhattacharyya,4.178110712104374,higher,4.178110712104374
Gemma4-E4B,non_thinking,0,2,10,nc2_class_cosine_deviation,0.44756446042914455,lower,-0.44756446042914455
Gemma4-E4B,non_thinking,0,3,10,logistic_precision,0.14285714285714285,higher,0.14285714285714285
Gemma4-E4B,non_thinking,0,3,10,logistic_recall,0.3,higher,0.3
Gemma4-E4B,non_thinking,0,3,10,logistic_f1,0.1935483870967742,higher,0.1935483870967742
