model_label,mode,layer,metric,quality_direction,quality_slope_per_index,quality_spearman,late_8_10_minus_early_1_3
Gemma4-E4B,non_thinking,0,centroid_nearest_squared,higher,13.060748475970675,0.23242568374889835,187.2401631673177
Gemma4-E4B,non_thinking,0,class_nc1_ratio,lower,0.5330133607207538,0.7212121212121211,2.8811205313501898
Gemma4-E4B,non_thinking,0,fisher_nearest,higher,0.04789093337520567,0.6848484848484848,0.3729681505710012
Gemma4-E4B,non_thinking,0,logistic_f1,higher,0.016969696969696954,0.31408282131950266,0.08253968253968255
Gemma4-E4B,non_thinking,0,logistic_precision,higher,0.024458874458874447,0.31408282131950266,0.14682539682539678
Gemma4-E4B,non_thinking,0,logistic_recall,higher,0.008080808080808069,0.1421338109037403,0.0
Gemma4-E4B,non_thinking,0,mean_bhattacharyya,higher,0.22997492218659799,0.6848484848484848,1.5253713528315211
Gemma4-E4B,non_thinking,0,min_bhattacharyya,higher,0.4537943681081136,0.6116465361813115,3.27741010983785
Gemma4-E4B,non_thinking,0,nc2_class_cosine_deviation,lower,0.0008498974680326244,0.0303030303030303,0.0383735001647707
Gemma4-E4B,non_thinking,0,ncc_recall,higher,-1.2730996043315927e-17,0.0,0.0
Gemma4-E4B,non_thinking,0,silhouette_cosine,higher,0.003424342834588256,0.09090909090909088,0.007300853729248047
Gemma4-E4B,non_thinking,0,within_trace,lower,354.6915490352745,0.6969696969696969,2311.5068766276045
Gemma4-E4B,native_thinking,0,centroid_nearest_squared,higher,3.067984841086637,0.15952121097636068,8.99127197265625
Gemma4-E4B,native_thinking,0,class_nc1_ratio,lower,0.2148299110042631,0.3939393939393939,1.138350362977496
Gemma4-E4B,native_thinking,0,fisher_nearest,higher,0.0023311079345685578,0.23636363636363633,0.008920723131072561
Gemma4-E4B,native_thinking,0,logistic_f1,higher,-0.013405483405483386,-0.06968868015165987,-0.06587301587301592
Gemma4-E4B,native_thinking,0,logistic_precision,higher,0.029715335169880622,0.19639537133649598,0.24949494949494938
Gemma4-E4B,native_thinking,0,logistic_recall,higher,-0.018181818181818143,-0.07784989441615231,-0.11111111111111105
Gemma4-E4B,native_thinking,0,mean_bhattacharyya,higher,-0.010348758553013577,-0.09090909090909088,-0.08602177213739459
Gemma4-E4B,native_thinking,0,min_bhattacharyya,higher,-0.011842488520073122,-0.27524094128159016,-0.06803572177886963
Gemma4-E4B,native_thinking,0,nc2_class_cosine_deviation,lower,-0.0029955469195902047,-0.11515151515151514,-0.023650854783814873
Gemma4-E4B,native_thinking,0,ncc_recall,higher,-0.006060606060606039,-0.11396057645963793,0.0
Gemma4-E4B,native_thinking,0,silhouette_cosine,higher,0.003173391385511924,0.2121212121212121,0.017842312653859493
Gemma4-E4B,native_thinking,0,within_trace,lower,-0.6332734079072148,0.006060606060606061,5.04443359375
Gemma4-E4B,non_thinking,1,centroid_nearest_squared,higher,2.8515752618963375,-0.024465861447252456,96.4735209147135
Gemma4-E4B,non_thinking,1,class_nc1_ratio,lower,0.5372464097363809,0.6121212121212121,3.1556479087507396
Gemma4-E4B,non_thinking,1,fisher_nearest,higher,0.04586657772210819,0.6848484848484848,0.3448719101236658
Gemma4-E4B,non_thinking,1,logistic_f1,higher,0.018008658008658005,0.42503004848884746,0.08253968253968255
Gemma4-E4B,non_thinking,1,logistic_precision,higher,0.016666666666666666,0.42503004848884746,0.07539682539682539
Gemma4-E4B,non_thinking,1,logistic_recall,higher,0.022222222222222216,0.41785544701867244,0.1111111111111111
Gemma4-E4B,non_thinking,1,mean_bhattacharyya,higher,0.1821443474252617,0.5030303030303029,1.3116354103441603
Gemma4-E4B,non_thinking,1,min_bhattacharyya,higher,0.4722855018846917,0.7095099819703212,3.4219923814137774
Gemma4-E4B,non_thinking,1,nc2_class_cosine_deviation,lower,-0.0013822687796069088,-0.1515151515151515,0.02011305811228581
Gemma4-E4B,non_thinking,1,ncc_recall,higher,-1.2730996043315927e-17,0.0,0.0
Gemma4-E4B,non_thinking,1,silhouette_cosine,higher,-0.0025597442731712826,-0.17575757575757575,-0.0342271973689397
Gemma4-E4B,non_thinking,1,within_trace,lower,310.1589222301137,0.6848484848484848,2006.0003051757812
Gemma4-E4B,native_thinking,1,centroid_nearest_squared,higher,-0.8963523171164614,-0.214076287663459,-6.842809041341184
Gemma4-E4B,native_thinking,1,class_nc1_ratio,lower,0.10729600612134198,0.24848484848484845,0.5766161459974608
Gemma4-E4B,native_thinking,1,fisher_nearest,higher,0.0022315656900907727,-0.1515151515151515,0.01516320427614501
Gemma4-E4B,native_thinking,1,logistic_f1,higher,0.018730158730158736,0.43834677372450964,0.1206349206349206
Gemma4-E4B,native_thinking,1,logistic_precision,higher,0.053198653198653204,0.6923170027119142,0.4444444444444444
Gemma4-E4B,native_thinking,1,logistic_recall,higher,0.006060606060606076,0.11396057645963793,0.0
Gemma4-E4B,native_thinking,1,mean_bhattacharyya,higher,-0.009501441319783461,-0.006060606060606061,-0.09617778990003778
Gemma4-E4B,native_thinking,1,min_bhattacharyya,higher,0.021469279491540153,0.20122325299530439,0.14211769898732474
Gemma4-E4B,native_thinking,1,nc2_class_cosine_deviation,lower,0.0004141306508091408,-0.06666666666666665,0.006210802345241545
Gemma4-E4B,native_thinking,1,ncc_recall,higher,3.39493227821758e-17,0.0,0.0
Gemma4-E4B,native_thinking,1,silhouette_cosine,higher,0.002030839251749449,-0.11515151515151514,0.011937166253725706
Gemma4-E4B,native_thinking,1,within_trace,lower,12.494780569365513,0.3939393939393939,95.7998046875
Gemma4-E4B,non_thinking,2,centroid_nearest_squared,higher,-34.879892245205966,-0.8134898931211442,-219.49254353841144
Gemma4-E4B,non_thinking,2,class_nc1_ratio,lower,0.2991097692305261,0.6,2.276819439680765
Gemma4-E4B,non_thinking,2,fisher_nearest,higher,0.015034930598526354,0.406060606060606,0.10932294785974583
Gemma4-E4B,non_thinking,2,logistic_f1,higher,0.013160173160173178,0.24967511357294367,0.13333333333333333
Gemma4-E4B,non_thinking,2,logistic_precision,higher,0.019696969696969713,0.24967511357294367,0.16666666666666669
Gemma4-E4B,non_thinking,2,logistic_recall,higher,0.008080808080808096,0.1421338109037403,0.1111111111111111
Gemma4-E4B,non_thinking,2,mean_bhattacharyya,higher,0.09068891239487378,0.18787878787878787,0.6975855165057707
Gemma4-E4B,non_thinking,2,min_bhattacharyya,higher,0.2699140924395938,0.7622092916488802,1.9331866900126138
