model_label,mode,layer,occurrence,n_confirmation_class,metric,value,quality_direction,quality_value
Qwen3-8B,non_thinking,0,1,10,logistic_precision,0.75,higher,0.75
Qwen3-8B,non_thinking,0,1,10,logistic_recall,0.9,higher,0.9
Qwen3-8B,non_thinking,0,1,10,logistic_f1,0.8181818181818182,higher,0.8181818181818182
Qwen3-8B,non_thinking,0,1,10,ncc_recall,1.0,higher,1.0
Qwen3-8B,non_thinking,0,1,10,silhouette_cosine,0.19814732670783997,higher,0.19814732670783997
Qwen3-8B,non_thinking,0,1,10,within_trace,3207.710205078125,lower,-3207.710205078125
Qwen3-8B,non_thinking,0,1,10,class_nc1_ratio,1.2570069987097339,lower,-1.2570069987097339
Qwen3-8B,non_thinking,0,1,10,centroid_nearest_squared,741.2882690429688,higher,741.2882690429688
Qwen3-8B,non_thinking,0,1,10,fisher_nearest,0.231095772887911,higher,0.231095772887911
Qwen3-8B,non_thinking,0,1,10,min_bhattacharyya,0.9337714612483978,higher,0.9337714612483978
Qwen3-8B,non_thinking,0,1,10,mean_bhattacharyya,4.41453496283955,higher,4.41453496283955
Qwen3-8B,non_thinking,0,1,10,nc2_class_cosine_deviation,0.6122143892226395,lower,-0.6122143892226395
Qwen3-8B,non_thinking,0,2,10,logistic_precision,0.42857142857142855,higher,0.42857142857142855
Qwen3-8B,non_thinking,0,2,10,logistic_recall,0.3,higher,0.3
Qwen3-8B,non_thinking,0,2,10,logistic_f1,0.35294117647058826,higher,0.35294117647058826
Qwen3-8B,non_thinking,0,2,10,ncc_recall,0.3,higher,0.3
Qwen3-8B,non_thinking,0,2,10,silhouette_cosine,-0.12620589137077332,higher,-0.12620589137077332
Qwen3-8B,non_thinking,0,2,10,within_trace,4082.1611328125,lower,-4082.1611328125
Qwen3-8B,non_thinking,0,2,10,class_nc1_ratio,2.8318717819395482,lower,-2.8318717819395482
Qwen3-8B,non_thinking,0,2,10,centroid_nearest_squared,730.5064086914062,higher,730.5064086914062
Qwen3-8B,non_thinking,0,2,10,fisher_nearest,0.1789509000072486,higher,0.1789509000072486
Qwen3-8B,non_thinking,0,2,10,min_bhattacharyya,0.9027124643325806,higher,0.9027124643325806
Qwen3-8B,non_thinking,0,2,10,mean_bhattacharyya,2.4665505588054657,higher,2.4665505588054657
Qwen3-8B,non_thinking,0,2,10,nc2_class_cosine_deviation,0.6475760198577686,lower,-0.6475760198577686
Qwen3-8B,non_thinking,0,3,10,logistic_precision,0.25,higher,0.25
Qwen3-8B,non_thinking,0,3,10,logistic_recall,0.3,higher,0.3
Qwen3-8B,non_thinking,0,3,10,logistic_f1,0.2727272727272727,higher,0.2727272727272727
Qwen3-8B,non_thinking,0,3,10,ncc_recall,0.2,higher,0.2
Qwen3-8B,non_thinking,0,3,10,silhouette_cosine,-0.13121965527534485,higher,-0.13121965527534485
Qwen3-8B,non_thinking,0,3,10,within_trace,3404.7412109375,lower,-3404.7412109375
Qwen3-8B,non_thinking,0,3,10,class_nc1_ratio,8.007042293209361,lower,-8.007042293209361
Qwen3-8B,non_thinking,0,3,10,centroid_nearest_squared,524.0820922851562,higher,524.0820922851562
Qwen3-8B,non_thinking,0,3,10,fisher_nearest,0.15392714447770012,higher,0.15392714447770012
Qwen3-8B,non_thinking,0,3,10,min_bhattacharyya,0.9027124643325806,higher,0.9027124643325806
Qwen3-8B,non_thinking,0,3,10,mean_bhattacharyya,1.814747366640303,higher,1.814747366640303
Qwen3-8B,non_thinking,0,3,10,nc2_class_cosine_deviation,0.5357379473193927,lower,-0.5357379473193927
Qwen3-8B,non_thinking,0,4,10,logistic_precision,0.3,higher,0.3
Qwen3-8B,non_thinking,0,4,10,logistic_recall,0.3,higher,0.3
Qwen3-8B,non_thinking,0,4,10,logistic_f1,0.3,higher,0.3
Qwen3-8B,non_thinking,0,4,10,ncc_recall,0.2,higher,0.2
Qwen3-8B,non_thinking,0,4,10,silhouette_cosine,-0.2011919915676117,higher,-0.2011919915676117
Qwen3-8B,non_thinking,0,4,10,within_trace,3489.717529296875,lower,-3489.717529296875
Qwen3-8B,non_thinking,0,4,10,class_nc1_ratio,29.850209296531155,lower,-29.850209296531155
Qwen3-8B,non_thinking,0,4,10,centroid_nearest_squared,138.16664123535156,higher,138.16664123535156
Qwen3-8B,non_thinking,0,4,10,fisher_nearest,0.0395924999875821,higher,0.0395924999875821
Qwen3-8B,non_thinking,0,4,10,min_bhattacharyya,0.5706138461828232,higher,0.5706138461828232
Qwen3-8B,non_thinking,0,4,10,mean_bhattacharyya,1.3787203811936908,higher,1.3787203811936908
Qwen3-8B,non_thinking,0,4,10,nc2_class_cosine_deviation,0.12912518356317357,lower,-0.12912518356317357
Qwen3-8B,non_thinking,0,5,10,logistic_precision,0.375,higher,0.375
Qwen3-8B,non_thinking,0,5,10,logistic_recall,0.3,higher,0.3
Qwen3-8B,non_thinking,0,5,10,logistic_f1,0.3333333333333333,higher,0.3333333333333333
Qwen3-8B,non_thinking,0,5,10,ncc_recall,0.2,higher,0.2
Qwen3-8B,non_thinking,0,5,10,silhouette_cosine,-0.1873675286769867,higher,-0.1873675286769867
Qwen3-8B,non_thinking,0,5,10,within_trace,3558.919677734375,lower,-3558.919677734375
Qwen3-8B,non_thinking,0,5,10,class_nc1_ratio,16.507194439854764,lower,-16.507194439854764
Qwen3-8B,non_thinking,0,5,10,centroid_nearest_squared,138.16664123535156,higher,138.16664123535156
Qwen3-8B,non_thinking,0,5,10,fisher_nearest,0.03882263544742574,higher,0.03882263544742574
Qwen3-8B,non_thinking,0,5,10,min_bhattacharyya,0.5706138461828232,higher,0.5706138461828232
Qwen3-8B,non_thinking,0,5,10,mean_bhattacharyya,1.5493754314051733,higher,1.5493754314051733
Qwen3-8B,non_thinking,0,5,10,nc2_class_cosine_deviation,0.4155994419146467,lower,-0.4155994419146467
Qwen3-8B,non_thinking,0,6,10,logistic_precision,0.0,higher,0.0
Qwen3-8B,non_thinking,0,6,10,logistic_recall,0.0,higher,0.0
Qwen3-8B,non_thinking,0,6,10,logistic_f1,0.0,higher,0.0
Qwen3-8B,non_thinking,0,6,10,ncc_recall,0.1,higher,0.1
Qwen3-8B,non_thinking,0,6,10,silhouette_cosine,-0.1775943785905838,higher,-0.1775943785905838
Qwen3-8B,non_thinking,0,6,10,within_trace,1888.1690673828125,lower,-1888.1690673828125
Qwen3-8B,non_thinking,0,6,10,class_nc1_ratio,7.260039858542442,lower,-7.260039858542442
Qwen3-8B,non_thinking,0,6,10,centroid_nearest_squared,147.97328186035156,higher,147.97328186035156
Qwen3-8B,non_thinking,0,6,10,fisher_nearest,0.07836866116309014,higher,0.07836866116309014
Qwen3-8B,non_thinking,0,6,10,min_bhattacharyya,0.5054949373006821,higher,0.5054949373006821
Qwen3-8B,non_thinking,0,6,10,mean_bhattacharyya,1.584967378113005,higher,1.584967378113005
Qwen3-8B,non_thinking,0,6,10,nc2_class_cosine_deviation,0.6989279767429388,lower,-0.6989279767429388
Qwen3-8B,non_thinking,0,7,10,logistic_precision,0.1,higher,0.1
Qwen3-8B,non_thinking,0,7,10,logistic_recall,0.1,higher,0.1
Qwen3-8B,non_thinking,0,7,10,logistic_f1,0.1,higher,0.1
Qwen3-8B,non_thinking,0,7,10,ncc_recall,0.1,higher,0.1
Qwen3-8B,non_thinking,0,7,10,silhouette_cosine,-0.19826026260852814,higher,-0.19826026260852814
Qwen3-8B,non_thinking,0,7,10,within_trace,1935.623779296875,lower,-1935.623779296875
Qwen3-8B,non_thinking,0,7,10,class_nc1_ratio,5.435970733078086,lower,-5.435970733078086
Qwen3-8B,non_thinking,0,7,10,centroid_nearest_squared,147.97328186035156,higher,147.97328186035156
Qwen3-8B,non_thinking,0,7,10,fisher_nearest,0.07644733622465807,higher,0.07644733622465807
Qwen3-8B,non_thinking,0,7,10,min_bhattacharyya,0.5054949373006821,higher,0.5054949373006821
Qwen3-8B,non_thinking,0,7,10,mean_bhattacharyya,1.6238805039061441,higher,1.6238805039061441
Qwen3-8B,non_thinking,0,7,10,nc2_class_cosine_deviation,0.6246294568718215,lower,-0.6246294568718215
Qwen3-8B,non_thinking,0,8,10,logistic_precision,0.16666666666666666,higher,0.16666666666666666
Qwen3-8B,non_thinking,0,8,10,logistic_recall,0.2,higher,0.2
Qwen3-8B,non_thinking,0,8,10,logistic_f1,0.18181818181818182,higher,0.18181818181818182
Qwen3-8B,non_thinking,0,8,10,ncc_recall,0.3,higher,0.3
Qwen3-8B,non_thinking,0,8,10,silhouette_cosine,-0.04340602830052376,higher,-0.04340602830052376
Qwen3-8B,non_thinking,0,8,10,within_trace,1668.0994873046875,lower,-1668.0994873046875
Qwen3-8B,non_thinking,0,8,10,class_nc1_ratio,3.2002694437435153,lower,-3.2002694437435153
Qwen3-8B,non_thinking,0,8,10,centroid_nearest_squared,262.0130615234375,higher,262.0130615234375
Qwen3-8B,non_thinking,0,8,10,fisher_nearest,0.15707280262210127,higher,0.15707280262210127
Qwen3-8B,non_thinking,0,8,10,min_bhattacharyya,0.5493250489234924,higher,0.5493250489234924
Qwen3-8B,non_thinking,0,8,10,mean_bhattacharyya,2.015855688187811,higher,2.015855688187811
Qwen3-8B,non_thinking,0,8,10,nc2_class_cosine_deviation,0.5645210593019002,lower,-0.5645210593019002
Qwen3-8B,non_thinking,0,9,10,logistic_precision,0.2222222222222222,higher,0.2222222222222222
Qwen3-8B,non_thinking,0,9,10,logistic_recall,0.2,higher,0.2
Qwen3-8B,non_thinking,0,9,10,logistic_f1,0.21052631578947367,higher,0.21052631578947367
Qwen3-8B,non_thinking,0,9,10,ncc_recall,0.2,higher,0.2
Qwen3-8B,non_thinking,0,9,10,silhouette_cosine,-0.0904817059636116,higher,-0.0904817059636116
Qwen3-8B,non_thinking,0,9,10,within_trace,1439.559814453125,lower,-1439.559814453125
Qwen3-8B,non_thinking,0,9,10,class_nc1_ratio,2.5243512941078294,lower,-2.5243512941078294
Qwen3-8B,non_thinking,0,9,10,centroid_nearest_squared,193.335693359375,higher,193.335693359375
Qwen3-8B,non_thinking,0,9,10,fisher_nearest,0.13430195217891755,higher,0.13430195217891755
Qwen3-8B,non_thinking,0,9,10,min_bhattacharyya,0.6164584308862686,higher,0.6164584308862686
Qwen3-8B,non_thinking,0,9,10,mean_bhattacharyya,2.079908534884453,higher,2.079908534884453
Qwen3-8B,non_thinking,0,9,10,nc2_class_cosine_deviation,0.6157381939299312,lower,-0.6157381939299312
Qwen3-8B,non_thinking,0,10,10,logistic_precision,0.35714285714285715,higher,0.35714285714285715
Qwen3-8B,non_thinking,0,10,10,logistic_recall,0.5,higher,0.5
Qwen3-8B,non_thinking,0,10,10,logistic_f1,0.4166666666666667,higher,0.4166666666666667
Qwen3-8B,non_thinking,0,10,10,ncc_recall,0.6,higher,0.6
Qwen3-8B,non_thinking,0,10,10,silhouette_cosine,-0.07724728435277939,higher,-0.07724728435277939
Qwen3-8B,non_thinking,0,10,10,within_trace,2314.996826171875,lower,-2314.996826171875
Qwen3-8B,non_thinking,0,10,10,class_nc1_ratio,3.7410162032207688,lower,-3.7410162032207688
Qwen3-8B,non_thinking,0,10,10,centroid_nearest_squared,157.5056915283203,higher,157.5056915283203
Qwen3-8B,non_thinking,0,10,10,fisher_nearest,0.06803710905676483,higher,0.06803710905676483
Qwen3-8B,non_thinking,0,10,10,min_bhattacharyya,0.6164584308862686,higher,0.6164584308862686
Qwen3-8B,non_thinking,0,10,10,mean_bhattacharyya,2.009505248732037,higher,2.009505248732037
Qwen3-8B,non_thinking,0,10,10,nc2_class_cosine_deviation,0.7109760947433519,lower,-0.7109760947433519
Qwen3-8B,native_thinking,0,1,10,logistic_precision,0.18181818181818182,higher,0.18181818181818182
Qwen3-8B,native_thinking,0,1,10,logistic_recall,0.2,higher,0.2
Qwen3-8B,native_thinking,0,1,10,logistic_f1,0.19047619047619047,higher,0.19047619047619047
Qwen3-8B,native_thinking,0,1,10,ncc_recall,0.5,higher,0.5
Qwen3-8B,native_thinking,0,1,10,silhouette_cosine,-0.24184784293174744,higher,-0.24184784293174744
Qwen3-8B,native_thinking,0,1,10,within_trace,1229.802001953125,lower,-1229.802001953125
Qwen3-8B,native_thinking,0,1,10,class_nc1_ratio,32.657129574739116,lower,-32.657129574739116
Qwen3-8B,native_thinking,0,1,10,centroid_nearest_squared,31.28139305114746,higher,31.28139305114746
Qwen3-8B,native_thinking,0,1,10,fisher_nearest,0.02543612142561773,higher,0.02543612142561773
