model_label,mode,layer,n_confirmation,n_confirmation_seed_clusters,min_confirmation_per_class,max_confirmation_per_class,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,ncc_balanced_accuracy,class_balanced_snr,class_balanced_snr_db,class_balanced_signal_power,class_balanced_noise_power,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Qwen3-8B,non_thinking,0,100,10,10,10,32,0.25,0.25,0.32,0.32,0.2369259834406524,-6.25387308014696,737.9710693359375,3114.7747436523437,0.61,765944929.60224,1.7090181112289429,0.47445932030677795,2.963221303819476,21.002155819039192,0.004513978282716881,5.4005764116934305,9.733671784400939e-05,1,3.3434004599304927,97.3367178440094
Qwen3-8B,native_thinking,0,92,10,9,10,32,0.09782608695652174,0.09666666666666668,0.13043478260869565,0.13111111111111112,0.07802199733167166,-11.077829361182994,162.63124084472656,2084.4280639648437,0.7717391304347826,121330629.35324581,0.7769311666488647,0.2305348515510559,2.8819839199942434,4.565516216675985,0.02780808968611477,3.5824283047132326,6.467367175221442e-05,1,0.08590166935037148,64.67367175221443
Qwen3-8B,non_thinking,1,100,10,10,10,32,0.38,0.3799999999999999,0.31,0.31000000000000005,0.7351465495516646,-1.3362607681050818,1616.0513916015625,2198.2710693359377,0.56,292086443.4149216,1.971914529800415,0.8241944909095764,3.843322296913331,72.7855158943658,0.0001578229135073603,8.75403695409032,6.869596841931343e-05,1,1.2998967465052818,68.69596841931343
Qwen3-8B,native_thinking,1,92,10,9,10,32,0.08695652173913043,0.08666666666666667,0.11956521739130435,0.12111111111111113,0.07619794684658962,-11.180567305660372,183.79342651367188,2412.052215576172,0.6521739130434783,-630541637.1878896,0.5859492421150208,0.1794097125530243,2.9475100689620515,4.6621437131408925,0.02571074014991189,3.660846469712965,7.52728465795517e-05,1,0.1926097379943487,75.2728465795517
Qwen3-8B,non_thinking,2,100,10,10,10,32,0.37,0.37000000000000005,0.38,0.37999999999999995,0.650788403067815,-1.8656019471570937,1338.9996337890625,2057.5038330078123,0.62,-71734124.38080901,1.9328668117523193,0.880581796169281,3.648774739026053,124.44009975139035,7.013064230244072e-05,9.565150736717332,6.429699698090553e-05,1,1.224257408330821,64.29699698090553
Qwen3-8B,native_thinking,2,92,10,9,10,32,0.14130434782608695,0.13444444444444442,0.13043478260869565,0.1288888888888889,0.07449980767141266,-11.278448484242174,169.69088745117188,2277.7359130859377,0.7065217391304348,-38980281.58218636,0.6016313433647156,0.2114109992980957,3.09850197600797,5.672432526621211,0.016997279175101323,4.074701996258504,7.10889810025692e-05,1,0.3271844116778931,71.0889810025692
Qwen3-8B,non_thinking,3,100,10,10,10,32,0.47,0.4700000000000001,0.41,0.41,0.846490414797025,-0.7237795524474298,1666.469482421875,1968.6808654785157,0.52,-69231675.68574664,2.1218183040618896,0.8587242960929871,3.6363774985761386,265.39819241268185,1.8364891817858368e-05,10.90506976937929,6.152127462625503e-05,1,0.8370891337670638,61.521274626255035
Qwen3-8B,native_thinking,3,92,10,9,10,32,0.22826086956521738,0.22111111111111112,0.17391304347826086,0.17111111111111113,0.07120256520743844,-11.475043597989972,137.68345642089844,1933.6867431640626,0.7391304347826086,-79691024.01766357,0.5240487456321716,0.2514386475086212,3.2667213237511525,6.79627740169253,0.011565272897559802,4.459748386728039,6.056522566080093e-05,1,0.08914934035023563,60.565225660800934
Qwen3-8B,non_thinking,4,100,10,10,10,32,0.44,0.44000000000000006,0.43,0.43,0.8228500885093746,-0.8467927981015789,1573.625244140625,1912.408184814453,0.6,-431944852.5228189,2.051974058151245,0.7967244982719421,3.6608816866514684,224.74871529147399,2.206956844202517e-05,10.72131089194095,5.976275676488876e-05,1,0.9385701494582993,59.76275676488876
Qwen3-8B,native_thinking,4,92,10,9,10,32,0.25,0.24222222222222226,0.20652173913043478,0.2011111111111111,0.07001537020574454,-11.54806610517216,119.51900482177734,1707.039532470703,0.6956521739130435,-358181935.1361287,0.5365098714828491,0.30755099654197693,3.331718189625396,8.068238136281355,0.00850303867403105,4.7673316883080945,5.348731926083565e-05,1,0.07925751153153282,53.48731926083565
Qwen3-8B,non_thinking,5,100,10,10,10,32,0.47,0.47000000000000003,0.42,0.42000000000000004,1.0234794543138583,0.10079128906020184,1697.773193359375,1658.8248901367188,0.46,229182671.43262634,2.0734283924102783,0.8212303519248962,3.862618046628791,226.37506241899985,1.5005961404204399e-05,11.107063008868275,5.183827897906303e-05,1,0.9268572913079377,51.838278979063034
Qwen3-8B,native_thinking,5,92,10,9,10,32,0.29347826086956524,0.28666666666666674,0.2391304347826087,0.23333333333333334,0.06890944278649307,-11.617212618503633,111.33302307128906,1615.64248046875,0.5652173913043478,-3462714198.53368,0.5903999209403992,0.34923455119132996,3.3257207784781513,9.319778038822093,0.007182357799881603,4.936127565443731,5.0636083930730815e-05,1,0.2364526525643242,50.63608393073082
Qwen3-8B,non_thinking,6,100,10,10,10,32,0.5,0.5,0.43,0.43,1.1127236342490323,0.4638731256065852,1727.9547119140625,1552.9055541992188,0.51,-196786472.72359926,2.074547290802002,0.8133556246757507,3.9213577478496466,265.4203222251278,7.537495839091277e-06,11.795620547938814,4.852830335497856e-05,1,1.1549893113436243,48.52830335497856
Qwen3-8B,native_thinking,6,92,10,9,10,32,0.21739130434782608,0.21111111111111108,0.25,0.24333333333333335,0.0674245078549674,-11.711822148662021,109.45896911621094,1623.4300048828125,0.6630434782608695,507553731.9166161,0.6075249910354614,0.33859696984291077,3.166655391576899,12.364195397654262,0.006412058083108501,5.049574985774845,5.083239665627479e-05,1,0.28597406157265487,50.832396656274796
Qwen3-8B,non_thinking,7,100,10,10,10,32,0.56,0.5599999999999999,0.43,0.43,1.2006679206085178,0.7942290732832367,1678.2672119140625,1397.7780059814454,0.44,118212593.39316551,1.9813530445098877,0.7803658843040466,4.081840656777448,375.0850438049612,5.135160037891374e-06,12.179399548975661,4.368056270480156e-05,1,1.2637561014148329,43.68056270480156
Qwen3-8B,native_thinking,7,92,10,9,10,32,0.33695652173913043,0.32666666666666677,0.2826086956521739,0.27444444444444444,0.06999537391300456,-11.54930662134957,115.33741760253906,1647.7862915039063,0.5760869565217391,-57973199.96455145,0.7877639532089233,0.4235014319419861,3.665159752490369,22.27805775151328,0.0015733295705662993,6.454561159644859,5.155629110336303e-05,1,0.17916165521992422,51.55629110336304
Qwen3-8B,non_thinking,8,100,10,10,10,32,0.57,0.5700000000000001,0.47,0.47000000000000003,1.479320513045384,1.70062279450929,1841.337158203125,1244.718194580078,0.37,-674785387.5249847,2.0185511112213135,0.7960405945777893,4.080247537520282,371.97340250686796,4.9026878650295996e-06,12.225726959359301,3.889744779467583e-05,1,1.3991433100264878,38.89744779467583
Qwen3-8B,native_thinking,8,92,10,9,10,32,0.31521739130434784,0.30666666666666664,0.2826086956521739,0.27555555555555555,0.07047266501061918,-11.519793048114927,124.7517318725586,1770.2144775390625,0.5760869565217391,-370272584.2729119,0.8166179656982422,0.39754244685173035,3.489152200107073,26.91398096209921,0.0016460260668224238,6.409391340387026,5.542519190907478e-05,1,0.3726756176929448,55.42519190907478
Qwen3-8B,non_thinking,9,100,10,10,10,32,0.48,0.48,0.36,0.36,1.2896905166557873,1.104855063969517,1611.708251953125,1249.686053466797,0.44,-376928106.10505784,1.9400486946105957,0.7434642910957336,4.364731343888533,260.0047118522583,4.010432440454403e-06,12.426611481947846,3.905269089341163e-05,1,0.8914750747876184,39.052690893411636
Qwen3-8B,native_thinking,9,92,10,9,10,32,0.44565217391304346,0.4377777777777778,0.358695652173913,0.3511111111111111,0.09408962323174999,-10.264582705332936,167.55018615722656,1780.7509521484376,0.532608695652174,-349941345.1076144,1.0910478830337524,0.46941226720809937,3.8169870669722483,44.231275629491385,0.00037818187326377233,7.880135331857948,5.5773879915475846e-05,1,0.47044145420488653,55.773879915475845
Qwen3-8B,non_thinking,10,100,10,10,10,32,0.55,0.55,0.42,0.41999999999999993,1.4497372548692435,1.6128929940729273,1705.9732666015625,1176.746517944336,0.54,-622754496.4432989,1.9332237243652344,0.7336820363998413,4.4517501292718045,250.2897352680315,2.0096477687602225e-06,13.117551090672286,3.677333161234856e-05,1,0.7165083387845849,36.77333161234856
Qwen3-8B,native_thinking,10,92,10,9,10,32,0.44565217391304346,0.43555555555555553,0.41304347826086957,0.4033333333333333,0.10240195995528326,-9.896917309615713,200.82015991210938,1961.0968383789063,0.45652173913043476,170226878.1799068,1.2268434762954712,0.49110111594200134,4.000523623614139,57.611981087853515,0.00014909795531072308,8.810907049830718,6.137314438819885e-05,1,0.45856271783379293,61.37314438819885
Qwen3-8B,non_thinking,11,100,10,10,10,32,0.62,0.6199999999999999,0.43,0.43,1.4598622429497916,1.6431187636704325,1720.9049072265625,1178.813217163086,0.5,4554811790.459715,1.8981841802597046,0.717768669128418,4.456236871318197,537.661423518094,7.171148980655525e-07,14.148029760837135,3.6837911814451214e-05,1,0.668065158815062,36.83791181445122
Qwen3-8B,native_thinking,11,92,10,9,10,32,0.5,0.4922222222222222,0.391304347826087,0.38111111111111107,0.13157562190245012,-8.80824568579056,263.1628723144531,2000.08837890625,0.42391304347826086,-641654819.8747655,1.2816652059555054,0.44551733136177063,4.425084895672378,55.87922629622001,4.9934122181050955e-05,9.904805977655675,6.253560003638268e-05,1,0.6022484274164465,62.535600036382675
Qwen3-8B,non_thinking,12,100,10,10,10,32,0.54,0.54,0.47,0.47000000000000003,1.533919826427949,1.8580266088423776,1723.7222900390625,1123.7368865966796,0.41,1704093121.5352798,1.9039623737335205,0.714868426322937,4.304355989973554,416.11803383692893,1.0006033770646727e-06,13.814907362858353,3.511677952110767e-05,1,1.0570791982179,35.116779521107674
Qwen3-8B,native_thinking,12,92,10,9,10,32,0.4782608695652174,0.47111111111111115,0.41304347826086957,0.4033333333333333,0.1308356000735699,-8.832740693766162,271.794189453125,2077.371826171875,0.5108695652173914,521362539.8209813,1.2018868923187256,0.4192578196525574,4.449383727921488,62.09456877213427,4.296684187316027e-05,10.055081858964906,6.491172264516353e-05,1,0.40882420764426364,64.91172264516354
Qwen3-8B,non_thinking,13,100,10,10,10,32,0.59,0.5900000000000001,0.44,0.44000000000000006,1.4898726570203458,1.7314914981039262,1664.2158203125,1117.0188354492188,0.5,-152677132.93687397,1.8809516429901123,0.7098609805107117,4.273874422214643,466.42381638406584,4.255524807535671e-07,14.669877557517305,3.4906838983297346e-05,1,0.7632243532864649,34.90683898329735
Qwen3-8B,native_thinking,13,92,10,9,10,32,0.4782608695652174,0.47000000000000003,0.4891304347826087,0.4811111111111111,0.2057521643407032,-6.86655587676905,402.1048278808594,1954.3163940429688,0.42391304347826086,220458896.07706863,1.416016697883606,0.4601113200187683,4.503920650109446,123.61143176295771,9.942191173796136e-06,11.51872312156939,6.120443779230117e-05,1,0.4632702009353718,61.20443779230118
Qwen3-8B,non_thinking,14,100,10,10,10,32,0.56,0.5599999999999999,0.45,0.45,1.3900059998265923,1.430166748483093,1612.6566162109375,1160.1796081542968,0.49,-259765131.94595727,1.8794777393341064,0.7165675759315491,4.184327822422068,388.8033305858611,7.784378000162401e-07,14.065976746081729,3.6255613073706626e-05,1,0.7534459936517565,36.25561307370663
Qwen3-8B,native_thinking,14,92,10,9,10,32,0.5108695652173914,0.5044444444444445,0.5652173913043478,0.5555555555555556,0.23290760955014717,-6.328163219777661,438.5990295410156,1883.1459838867188,0.43478260869565216,148595924.95546907,1.4604449272155762,0.44958633184432983,4.492256431006231,131.64953684965477,5.121310505063438e-06,12.18210019364432,5.898565322160721e-05,1,0.2835065169429685,58.98565322160721
Qwen3-8B,non_thinking,15,100,10,10,10,32,0.58,0.58,0.5,0.5,1.3956629672292011,1.4478055500313711,1567.289794921875,1122.9715423583984,0.4,-16192893.065294255,1.8467079401016235,0.7255257964134216,4.231864229189965,381.26936400479855,6.86747687192003e-07,14.191298879734976,3.5092860430479045e-05,1,0.8862880109488942,35.09286043047905
Qwen3-8B,native_thinking,15,92,10,9,10,32,0.6413043478260869,0.6344444444444445,0.7065217391304348,0.7011111111111111,0.2732790803540377,-5.633936124878644,509.684326171875,1865.0689453125,0.31521739130434784,459330056.8909296,1.3547617197036743,0.43940332531929016,5.18569352598448,128.2562938203317,1.5354563577041107e-06,13.386682919674525,5.846006071567535e-05,1,0.30358185278536104,58.460060715675354
Qwen3-8B,non_thinking,16,100,10,10,10,32,0.58,0.58,0.46,0.45999999999999996,1.2505913864206455,0.9711543310615162,1526.0550537109375,1220.2667236328125,0.41,-143248505.09014478,1.8640508651733398,0.7485795617103577,4.222026759813762,316.4116574509887,1.5485537771213432e-06,13.378189109610929,3.813333161175251e-05,1,1.159136962180123,38.13333161175251
Qwen3-8B,native_thinking,16,92,10,9,10,32,0.6956521739130435,0.6900000000000001,0.7065217391304348,0.7,0.317753445154466,-4.979097320297757,574.427001953125,1807.7758422851562,0.33695652173913043,-275828874.27102995,1.4640480279922485,0.4463191330432892,5.26405680812978,124.29720245181001,1.379826026506806e-06,13.493553134491059,5.672014497220516e-05,1,0.4155935810859055,56.72014497220516
Qwen3-8B,non_thinking,17,100,10,10,10,32,0.52,0.52,0.48,0.48,1.2079943639938828,0.8206490804995854,1435.8572998046875,1188.6291381835938,0.35,2230565398.013662,1.8448429107666016,0.7284951210021973,4.192809916160745,320.0546709166715,1.4845333051969952e-06,13.420410107698208,3.714466294646263e-05,1,0.8958057060566672,37.14466294646263
Qwen3-8B,native_thinking,17,92,10,9,10,32,0.5978260869565217,0.5900000000000001,0.6847826086956522,0.6777777777777778,0.373118498215013,-4.281532192691202,685.4852294921875,1837.1783569335937,0.32608695652173914,930241888.5171772,1.493897795677185,0.41611528396606445,5.333208495949577,117.90225388199214,1.087322703719911e-06,13.731792118336731,5.758024589717388e-05,1,0.3439074851236839,57.58024589717388
Qwen3-8B,non_thinking,18,100,10,10,10,32,0.52,0.52,0.49,0.48999999999999994,1.1906387261950373,0.7578000411804436,1431.3697509765625,1202.186456298828,0.44,277314804.39550924,1.8245347738265991,0.7239376902580261,4.355935503300536,263.6351742621993,1.4685522629886107e-06,13.431233497571863,3.756832662224769e-05,1,1.2465507759151573,37.568326622247696
Qwen3-8B,native_thinking,18,92,10,9,10,32,0.6739130434782609,0.6677777777777778,0.7065217391304348,0.7011111111111111,0.42078464232819074,-3.7594011931495297,741.9720458984375,1763.305908203125,0.32608695652173914,402661326.1468323,1.4342855215072632,0.4206583499908447,5.530082403187761,133.04288580597336,5.579970560993916e-07,14.39891215038656,5.536931644380092e-05,1,0.42712789959323544,55.369316443800926
Qwen3-8B,non_thinking,19,100,10,10,10,32,0.51,0.51,0.52,0.52,1.3462516181602537,1.29126238317289,1443.6807861328125,1072.3706970214844,0.4,78868477.83134706,1.8187215328216553,0.7341064810752869,4.516946586648503,492.6841498583161,5.134170633935682e-07,14.482177333000967,3.351158559322357e-05,1,0.9455767719948299,33.51158559322357
Qwen3-8B,native_thinking,19,92,10,9,10,32,0.6847826086956522,0.678888888888889,0.6956521739130435,0.6922222222222223,0.4427888455109279,-3.538033281593261,745.2426147460938,1683.0654663085938,0.2826086956521739,146453681.9108251,1.4363529682159424,0.4341129660606384,5.737707164823886,230.7388603313249,8.430605740561013e-08,16.288812119174757,5.280713698267937e-05,1,0.3042214108317865,52.80713698267937
Qwen3-8B,non_thinking,20,100,10,10,10,32,0.45,0.45,0.4,0.4,0.987575182781839,-0.05429832183123494,1305.1929931640625,1321.613803100586,0.42,334856361.5640772,1.6582359075546265,0.7251185774803162,4.358423063707772,249.31614818637158,2.679121033153653e-06,12.83002178994018,4.130043223500252e-05,1,1.1122879338911482,41.30043223500252
Qwen3-8B,native_thinking,20,92,10,9,10,32,0.6304347826086957,0.6255555555555554,0.6195652173913043,0.6144444444444443,0.4964229819154442,-3.0414812103305,805.4317626953125,1622.4707397460938,0.3804347826086957,118019186.72083268,1.4996858835220337,0.4699088931083679,5.386724630151477,208.9909569565469,2.32371922007084e-07,15.274926636793136,5.097432582080364e-05,1,0.32830983209294623,50.97432582080364
Qwen3-8B,non_thinking,21,100,10,10,10,32,0.47,0.47000000000000003,0.38,0.38,0.9445081231783745,-0.2479430260570187,1249.6563720703125,1323.0763626098633,0.55,578012742.4220928,1.6364333629608154,0.712001383304596,4.508082811204281,226.6543413044435,2.6957405107601054e-06,12.823837619264577,4.134613825380802e-05,1,1.1540104785096377,41.34613825380802
