model_label,mode,layer,n_confirmation,n_confirmation_seed_clusters,min_confirmation_per_class,max_confirmation_per_class,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,ncc_balanced_accuracy,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Qwen3-8B,non_thinking,0,100,10,10,10,64,0.29,0.29,0.3,0.3,0.61,823203637.5426185,1.6145148277282715,0.4557848870754242,6.011701788413539,69.37766147249724,2.8225083162445394e-06,12.777884594516115,5.436571557074785e-05,1,0.23258347868822635,54.36571557074785
Qwen3-8B,native_thinking,0,92,10,9,10,64,0.10869565217391304,0.10555555555555556,0.09782608695652174,0.09555555555555556,0.717391304347826,384039687.5617874,0.6378202438354492,0.16882246732711792,6.081703013293366,25.88155439758158,1.7444515053058045e-05,10.956485282332846,4.24297327324748e-05,1,0.00027665525835256975,42.429732732474804
Qwen3-8B,non_thinking,1,100,10,10,10,64,0.4,0.39999999999999997,0.34,0.34,0.56,369137404.88950205,1.9261691570281982,0.8143856525421143,6.403075130901533,270.89112701698275,7.189022838279737e-08,16.44812548711888,3.7006612010300156e-05,1,0.123260947840331,37.00661201030016
Qwen3-8B,native_thinking,1,92,10,9,10,64,0.11956521739130435,0.11777777777777779,0.11956521739130435,0.11777777777777779,0.6956521739130435,-273395696.41447014,0.5151962637901306,0.15234972536563873,6.299407792363638,30.169936896083996,6.722474664414385e-06,11.91005421758485,4.4537117950618264e-05,1,0.0006487011854326039,44.53711795061827
Qwen3-8B,non_thinking,2,100,10,10,10,64,0.34,0.33999999999999997,0.36,0.36,0.61,-1523998459.6167953,1.8680849075317383,0.8625263571739197,6.019115052016472,538.9595188589795,3.746497811567996e-08,17.09985925725736,3.644251407310367e-05,1,0.10401308374863329,36.442514073103666
Qwen3-8B,native_thinking,2,92,10,9,10,64,0.18478260869565216,0.1788888888888889,0.16304347826086957,0.16111111111111112,0.6739130434782609,140302002.81495064,0.4783935546875,0.16305497288703918,6.317628730476038,36.49244475942008,4.770928026864728e-06,12.252969717089108,4.2577744882553814e-05,1,0.001988976922715847,42.577744882553816
Qwen3-8B,non_thinking,3,100,10,10,10,64,0.42,0.41999999999999993,0.4,0.39999999999999997,0.45,-569403183.4270885,2.0674970149993896,0.8441614508628845,6.028800159842103,873.9851322869062,1.1548184542622047e-08,18.27673759479003,3.4403379790484905e-05,1,0.047004752413860526,34.403379790484905
Qwen3-8B,native_thinking,3,92,10,9,10,64,0.2608695652173913,0.2555555555555556,0.20652173913043478,0.20222222222222222,0.782608695652174,538613536.1205908,0.41970711946487427,0.1848679631948471,6.27604476312157,109.71218592696745,8.990132437875275e-07,13.921968070895284,3.7685287751257415e-05,1,0.0025607291466553037,37.68528775125742
Qwen3-8B,non_thinking,4,100,10,10,10,64,0.45,0.45,0.42,0.41999999999999993,0.52,-62606565.11689589,2.014116048812866,0.7860989570617676,6.232437653209702,908.7528986925369,4.090834594237152e-09,19.314516830437856,3.330262872949243e-05,1,0.04025035273216074,33.302628729492426
Qwen3-8B,native_thinking,4,92,10,9,10,64,0.31521739130434784,0.3044444444444444,0.1956521739130435,0.19,0.7065217391304348,-1594793151.2628052,0.4165777266025543,0.21020492911338806,6.491441372708759,97.29196120748728,5.307436698349891e-07,14.448986663264149,3.533758451789617e-05,1,0.00256461455684647,35.337584517896175
Qwen3-8B,non_thinking,5,100,10,10,10,64,0.45,0.45,0.42,0.42000000000000004,0.48,-1749421334.9808955,2.030862808227539,0.8098974823951721,6.389833947281706,762.0976301368477,3.0596793140341805e-09,19.60495572580919,2.933172997832298e-05,1,0.04934375900582923,29.331729978322983
Qwen3-8B,native_thinking,5,92,10,9,10,64,0.33695652173913043,0.33333333333333337,0.2717391304347826,0.2655555555555556,0.6195652173913043,20415138218.280296,0.4196462631225586,0.244984969496727,6.340111552599833,76.20701922858586,1.3412819386169442e-06,13.521884730709477,3.536523126065731e-05,1,0.00486114295987639,35.36523126065731
Qwen3-8B,non_thinking,6,100,10,10,10,64,0.47,0.47000000000000003,0.45,0.45,0.51,-189574863.1500865,2.0366272926330566,0.8020455241203308,6.672539468895359,1300.594451363715,4.832115699017145e-10,21.450566525261586,2.7456087224185464e-05,1,0.05275306909892808,27.456087224185467
Qwen3-8B,native_thinking,6,92,10,9,10,64,0.2717391304347826,0.2655555555555556,0.2717391304347826,0.26555555555555554,0.5652173913043478,-34017701.06832978,0.4577897787094116,0.25687360763549805,6.457547997318119,98.93151000032586,5.365506998098824e-07,14.438104778297017,3.450269845128059e-05,1,0.007163794153414548,34.502698451280594
Qwen3-8B,non_thinking,7,100,10,10,10,64,0.5,0.5,0.42,0.42000000000000004,0.44,63951743.49203026,1.925763487815857,0.7667428851127625,6.576947768932922,2003.6633172222153,7.595376318348691e-10,20.998311246950514,2.5312417525798082e-05,1,0.11485690875484206,25.312417525798082
Qwen3-8B,native_thinking,7,92,10,9,10,64,0.33695652173913043,0.3288888888888889,0.31521739130434784,0.3088888888888889,0.5543478260869565,-202196242.1180894,0.5722716450691223,0.31980323791503906,6.521631369450623,105.87728809717885,3.880144444312824e-07,14.762223270100403,3.410427105426788e-05,1,0.008867417483743733,34.10427105426788
Qwen3-8B,non_thinking,8,100,10,10,10,64,0.55,0.55,0.47,0.47000000000000003,0.35,455124445.520909,1.9665244817733765,0.7830162644386292,6.223424640513644,1796.480259494553,3.2968345837508586e-09,19.530303045862244,2.252555228024721e-05,1,0.11404530983163788,22.52555228024721
Qwen3-8B,native_thinking,8,92,10,9,10,64,0.34782608695652173,0.33999999999999997,0.29347826086956524,0.2866666666666667,0.5434782608695652,-1794587750.2053475,0.6553067564964294,0.33085310459136963,6.132144731820045,100.07332983982415,8.03499654406011e-07,14.034289081879688,3.505778422951698e-05,1,0.015142236526444456,35.05778422951698
Qwen3-8B,non_thinking,9,100,10,10,10,64,0.55,0.55,0.38,0.38,0.42,-305749364.56645787,1.8885798454284668,0.7304103970527649,6.511787376742889,1411.3203588908273,7.978075993627504e-10,20.949153651104325,2.3126751877367494e-05,1,0.09068298581300896,23.126751877367496
Qwen3-8B,native_thinking,9,92,10,9,10,64,0.391304347826087,0.3844444444444445,0.34782608695652173,0.33777777777777784,0.4782608695652174,3835086007.018632,0.9038745760917664,0.4095279574394226,6.624166027159686,263.73137762892594,2.3691048159599257e-08,17.558168574942364,3.347118740528822e-05,1,0.012808472397814004,33.47118740528822
Qwen3-8B,non_thinking,10,100,10,10,10,64,0.52,0.5199999999999999,0.43,0.43,0.44,220056625.45435953,1.886904239654541,0.7228787541389465,6.568062697965731,1741.4601868337018,4.668539047143357e-10,21.485004745074427,2.1746818758547304e-05,1,0.07726529754523195,21.746818758547306
Qwen3-8B,native_thinking,10,92,10,9,10,64,0.4673913043478261,0.45888888888888885,0.3804347826086957,0.37,0.5108695652173914,-565393613.4546853,1.0328766107559204,0.43399184942245483,6.753366424480917,354.92483400853826,8.054843011165657e-09,18.6369923101206,3.594255200773477e-05,1,0.02514384916068317,35.942552007734776
Qwen3-8B,non_thinking,11,100,10,10,10,64,0.54,0.5399999999999999,0.43,0.43,0.52,-1105973951.1305153,1.8557350635528564,0.707755982875824,6.657522819597757,1917.9168401957847,2.2920256902294756e-10,22.196414922499176,2.1821804724633694e-05,1,0.07537616613967237,21.821804724633694
Qwen3-8B,native_thinking,11,92,10,9,10,64,0.4782608695652174,0.4688888888888889,0.43478260869565216,0.42444444444444446,0.40217391304347827,288484782.3250231,1.0812392234802246,0.3965429663658142,6.811233119287458,281.44197055496295,7.729884466587571e-09,18.678171920566463,3.60067008882761e-05,1,0.03830580893509811,36.0067008882761
Qwen3-8B,non_thinking,12,100,10,10,10,64,0.57,0.5700000000000001,0.45,0.45,0.46,825040620.1601471,1.8607910871505737,0.705603301525116,6.297862368253343,1541.6231035959074,4.670877343012608e-10,21.484504008021826,2.0728182330727575e-05,1,0.1072667201346442,20.728182330727577
Qwen3-8B,native_thinking,12,92,10,9,10,64,0.41304347826086957,0.4011111111111111,0.4891304347826087,0.48,0.358695652173913,2371717725.3569975,1.0676932334899902,0.38500499725341797,6.811820525331912,268.29578436263154,4.828767743367364e-09,19.14867452742882,3.677893424034118e-05,1,0.04054277425104227,36.77893424034119
Qwen3-8B,non_thinking,13,100,10,10,10,64,0.59,0.5900000000000001,0.46,0.45999999999999996,0.43,243662382.02052802,1.8423963785171509,0.7013806700706482,6.432684554527107,1669.181797362097,1.196266000717623e-10,22.846645890514374,2.075324534997344e-05,1,0.038365288977707544,20.75324534997344
Qwen3-8B,native_thinking,13,92,10,9,10,64,0.5217391304347826,0.5144444444444445,0.4891304347826087,0.48,0.42391304347826086,-30590565.84143111,1.2756026983261108,0.4321407973766327,6.865004820654427,480.2835592441504,2.5212505974062585e-09,19.798510789711713,3.430744399130344e-05,1,0.04291219919575512,34.307443991303444
Qwen3-8B,non_thinking,14,100,10,10,10,64,0.56,0.5599999999999999,0.45,0.45,0.39,-5310215310.409159,1.835280179977417,0.7063367366790771,6.282496025484519,1506.0890073737912,2.698896651299709e-10,22.03300788811616,2.1291861627250908e-05,1,0.11607604978000098,21.29186162725091
Qwen3-8B,native_thinking,14,92,10,9,10,64,0.5217391304347826,0.5133333333333333,0.5978260869565217,0.5888888888888889,0.31521739130434784,-140749305.43243313,1.31594979763031,0.4219425320625305,7.277455709325729,388.2180499834948,3.595861728556658e-10,21.746067265528463,3.273681306093931e-05,1,0.04502114049142718,32.73681306093931
Qwen3-8B,non_thinking,15,100,10,10,10,64,0.53,0.53,0.48,0.4800000000000001,0.34,117946444.87224908,1.807257056236267,0.7163364887237549,6.189608840683731,1209.4432206411248,6.814114783197203e-10,21.106854765642915,2.0310420934110878e-05,1,0.1005536514139629,20.31042093411088
Qwen3-8B,native_thinking,15,92,10,9,10,64,0.6739130434782609,0.6688888888888889,0.7717391304347826,0.7666666666666668,0.31521739130434784,-205874641.07467934,1.2074146270751953,0.40289241075515747,7.679203008463912,498.9869022946716,3.377966978838973e-11,24.111161979955178,3.25261260792613e-05,1,0.041982802035534734,32.5261260792613
Qwen3-8B,non_thinking,16,100,10,10,10,64,0.54,0.5399999999999999,0.45,0.45,0.4,833796636.9971803,1.8148691654205322,0.7373896241188049,6.173017008357439,1294.811058217031,4.798946152321104e-10,21.457454587731362,2.190327288582921e-05,1,0.09372637185195293,21.90327288582921
Qwen3-8B,native_thinking,16,92,10,9,10,64,0.6304347826086957,0.6233333333333333,0.717391304347826,0.711111111111111,0.3695652173913043,484619615.54830056,1.334662914276123,0.4188254773616791,7.476341831882877,712.7594338053525,1.0904081237620129e-11,25.241883971303437,3.161867843195796e-05,1,0.03812923258395483,31.61867843195796
Qwen3-8B,non_thinking,17,100,10,10,10,64,0.53,0.53,0.5,0.5,0.35,-390237897.7845993,1.790590763092041,0.7150148749351501,6.462530682154222,1577.1751063801958,3.53711781221654e-10,21.762538711757117,2.1486426163464785e-05,1,0.09696160351029377,21.486426163464785
Qwen3-8B,native_thinking,17,92,10,9,10,64,0.6304347826086957,0.6233333333333333,0.7282608695652174,0.7222222222222223,0.358695652173913,145724099.80791172,1.4156806468963623,0.4014800488948822,7.403735926406738,631.3889657435216,5.203419592909633e-11,23.679119999459388,3.169319795817136e-05,1,0.030854099122387117,31.693197958171368
