model_label,mode,layer,metric,quality_direction,quality_slope_per_index,quality_spearman,late_8_10_minus_early_1_3
Qwen3-8B,non_thinking,0,centroid_nearest_squared,higher,-46.85296575372869,-0.3792208524324131,-351.9552307128907
Qwen3-8B,non_thinking,0,class_nc1_ratio,lower,0.40491494317043775,0.10303030303030303,1.18069279245602
Qwen3-8B,non_thinking,0,fisher_nearest,higher,-0.0009987107944040138,-0.10303030303030303,-0.004125627631620776
Qwen3-8B,non_thinking,0,logistic_f1,higher,-0.030275443510737597,-0.16413449679361747,-0.23093681917211326
Qwen3-8B,non_thinking,0,logistic_precision,higher,-0.034083694083694056,-0.16413449679361747,-0.26296296296296295
Qwen3-8B,non_thinking,0,logistic_recall,higher,-0.0242424242424242,-0.16310640493546552,-0.18518518518518517
Qwen3-8B,non_thinking,0,mean_bhattacharyya,higher,-0.3734304348627723,-0.1515151515151515,-2.3392783447548195
Qwen3-8B,non_thinking,0,min_bhattacharyya,higher,-0.16990817893635152,-0.717845449393623,-1.2670356829961142
Qwen3-8B,non_thinking,0,nc2_class_cosine_deviation,lower,-0.008859568064195487,-0.22424242424242422,0.0002600298806403334
Qwen3-8B,non_thinking,0,ncc_recall,higher,-0.034343434343434294,-0.25301215685249495,-0.18518518518518517
Qwen3-8B,non_thinking,0,silhouette_cosine,higher,-0.006934918237454942,0.09090909090909088,-0.023399035135904946
Qwen3-8B,non_thinking,0,within_trace,lower,285.3201157078597,0.709090909090909,2059.5511881510415
Qwen3-8B,native_thinking,0,centroid_nearest_squared,higher,6.695991839784566,-0.18293022999573125,18.73247273763019
Qwen3-8B,native_thinking,0,class_nc1_ratio,lower,-0.36967671872810276,-0.43030303030303024,-3.068196580044777
Qwen3-8B,native_thinking,0,fisher_nearest,higher,-0.0010829458434828579,-0.09090909090909088,-0.006313643650150219
Qwen3-8B,native_thinking,0,logistic_f1,higher,-0.02652396985730318,-0.7841654083435842,-0.17319223985890653
Qwen3-8B,native_thinking,0,logistic_precision,higher,-0.04518518518518515,-0.7967120548770816,-0.28703703703703703
Qwen3-8B,native_thinking,0,logistic_recall,higher,-0.02154882154882154,-0.7395739969534467,-0.14814814814814817
Qwen3-8B,native_thinking,0,mean_bhattacharyya,higher,-0.0015851065767330987,-0.0303030303030303,0.01435828981576126
Qwen3-8B,native_thinking,0,min_bhattacharyya,higher,-0.04030094833085029,-0.054879068998719374,-0.278148015340169
Qwen3-8B,native_thinking,0,nc2_class_cosine_deviation,lower,0.006217333652132071,0.19999999999999998,0.018295126396074196
Qwen3-8B,native_thinking,0,ncc_recall,higher,-0.01616161616161616,-0.41286141192238524,-0.14814814814814814
Qwen3-8B,native_thinking,0,silhouette_cosine,higher,-0.003058755939657036,-0.11515151515151514,-0.01782718300819397
Qwen3-8B,native_thinking,0,within_trace,lower,-56.72267104640163,-0.18787878787878787,-191.37455240885447
Qwen3-8B,non_thinking,1,centroid_nearest_squared,higher,-405.2725900361028,-0.725623245649734,-2601.6418558756513
Qwen3-8B,non_thinking,1,class_nc1_ratio,lower,0.15363944771746227,0.19999999999999998,0.9510610287789865
Qwen3-8B,non_thinking,1,fisher_nearest,higher,-0.13673844127270046,-0.309090909090909,-0.8444032966173691
Qwen3-8B,non_thinking,1,logistic_f1,higher,-0.04229478384558595,-0.5531940447488588,-0.3447811447811448
Qwen3-8B,non_thinking,1,logistic_precision,higher,-0.04013225831407648,-0.5531940447488588,-0.328930328930329
Qwen3-8B,non_thinking,1,logistic_recall,higher,-0.04579124579124572,-0.5292934112111307,-0.3703703703703703
Qwen3-8B,non_thinking,1,mean_bhattacharyya,higher,-1.9978768568649004,0.35757575757575755,-11.480936929031655
Qwen3-8B,non_thinking,1,min_bhattacharyya,higher,-0.7101765155792229,-0.7217429126939475,-4.564622799555461
Qwen3-8B,non_thinking,1,nc2_class_cosine_deviation,lower,-0.019216340556469015,-0.4424242424242424,-0.14630974327221724
Qwen3-8B,non_thinking,1,ncc_recall,higher,-0.04040404040404036,-0.27524094128159016,-0.22222222222222227
Qwen3-8B,non_thinking,1,silhouette_cosine,higher,-0.036788744456840224,0.18787878787878787,-0.20879818499088287
Qwen3-8B,non_thinking,1,within_trace,lower,283.1115204782198,0.6969696969696969,2087.240885416667
Qwen3-8B,native_thinking,1,centroid_nearest_squared,higher,-0.011383056640605432,-0.16463720699615814,-34.41052754720056
Qwen3-8B,native_thinking,1,class_nc1_ratio,lower,-0.29514878535130296,-0.33333333333333326,-2.566558241377024
Qwen3-8B,native_thinking,1,fisher_nearest,higher,-0.0023646164189502017,-0.05454545454545454,-0.022109845398888592
Qwen3-8B,native_thinking,1,logistic_f1,higher,-0.013347493267279346,-0.251552678847338,-0.08362829980477043
Qwen3-8B,native_thinking,1,logistic_precision,higher,-0.01114444035496666,-0.22701095408174404,-0.06761936893515838
Qwen3-8B,native_thinking,1,logistic_recall,higher,-0.016161616161616144,-0.29875161129695227,-0.1111111111111111
Qwen3-8B,native_thinking,1,mean_bhattacharyya,higher,0.08247622990046276,0.406060606060606,0.7166286640697059
Qwen3-8B,native_thinking,1,min_bhattacharyya,higher,-0.01564508062420456,-0.03048837166595521,-0.0760015745957694
Qwen3-8B,native_thinking,1,nc2_class_cosine_deviation,lower,-0.001023864738846643,0.06666666666666665,-0.035033901271874016
Qwen3-8B,native_thinking,1,ncc_recall,higher,-0.003367003367003354,-0.1850661272593496,0.0
Qwen3-8B,native_thinking,1,silhouette_cosine,higher,-0.0029366163593350036,-0.32121212121212117,-0.02160070091485977
Qwen3-8B,native_thinking,1,within_trace,lower,-61.14909372040733,-0.17575757575757575,-369.342041015625
Qwen3-8B,non_thinking,2,centroid_nearest_squared,higher,-404.15161715420766,-0.9207488243118473,-2548.021062215169
Qwen3-8B,non_thinking,2,class_nc1_ratio,lower,0.4197904356157044,0.2121212121212121,2.79631380010654
Qwen3-8B,non_thinking,2,fisher_nearest,higher,-0.2888963213507151,-0.709090909090909,-1.77411684233893
Qwen3-8B,non_thinking,2,logistic_f1,higher,-0.06254754533392301,-0.49696992650327754,-0.43571838091961934
Qwen3-8B,non_thinking,2,logistic_precision,higher,-0.07194214876033055,-0.6504589317376691,-0.5137205387205387
Qwen3-8B,non_thinking,2,logistic_recall,higher,-0.05387205387205384,-0.37012607273817183,-0.3703703703703704
Qwen3-8B,non_thinking,2,mean_bhattacharyya,higher,-3.1764747837978518,0.33333333333333326,-18.171854787402687
Qwen3-8B,non_thinking,2,min_bhattacharyya,higher,-1.7896079601663515,-0.6238794669049376,-11.069549679756165
Qwen3-8B,non_thinking,2,nc2_class_cosine_deviation,lower,-0.031896683766049864,-0.7454545454545454,-0.23941622633073079
Qwen3-8B,non_thinking,2,ncc_recall,higher,-0.06464646464646458,-0.4862113893683642,-0.44444444444444436
Qwen3-8B,non_thinking,2,silhouette_cosine,higher,-0.04351162183465372,0.24848484848484845,-0.2392786716421445
Qwen3-8B,non_thinking,2,within_trace,lower,220.87000621448874,0.5272727272727272,1726.2961018880208
Qwen3-8B,native_thinking,2,centroid_nearest_squared,higher,-6.766279000946963,-0.2621999963272148,-80.38421630859375
Qwen3-8B,native_thinking,2,class_nc1_ratio,lower,-0.29847070280051824,-0.5030303030303029,-2.7517842894715177
Qwen3-8B,native_thinking,2,fisher_nearest,higher,-0.0033215321465300046,-0.2121212121212121,-0.027892584786926813
Qwen3-8B,native_thinking,2,logistic_f1,higher,-0.03315864773665282,-0.38158362203593144,-0.23723934018051668
Qwen3-8B,native_thinking,2,logistic_precision,higher,-0.033535353535353495,-0.29541957835039856,-0.232936507936508
Qwen3-8B,native_thinking,2,logistic_recall,higher,-0.034343434343434315,-0.4654862107754571,-0.25925925925925924
Qwen3-8B,native_thinking,2,mean_bhattacharyya,higher,0.023573345327216964,0.1515151515151515,0.25966114468044665
Qwen3-8B,native_thinking,2,min_bhattacharyya,higher,-0.07873948451244463,-0.4893172289450492,-0.5891662438710528
Qwen3-8B,native_thinking,2,nc2_class_cosine_deviation,lower,-0.000482408809965124,-0.07878787878787878,-0.028391835226106263
Qwen3-8B,native_thinking,2,ncc_recall,higher,-0.028282828282828257,-0.5021569636693453,-0.22222222222222215
Qwen3-8B,native_thinking,2,silhouette_cosine,higher,-0.004213803284095997,-0.4666666666666666,-0.030161333580811814
Qwen3-8B,native_thinking,2,within_trace,lower,-26.58096960819141,-0.10303030303030303,-47.1280517578125
Qwen3-8B,non_thinking,3,centroid_nearest_squared,higher,-412.21065969756114,-0.9573348703109935,-2607.276496887207
Qwen3-8B,non_thinking,3,class_nc1_ratio,lower,0.3859760280963217,0.16363636363636364,2.518403660747758
Qwen3-8B,non_thinking,3,fisher_nearest,higher,-0.313204080224685,-0.7818181818181817,-1.9367991324272944
Qwen3-8B,non_thinking,3,logistic_f1,higher,-0.06141098036250932,-0.4787878787878787,-0.3935596567175515
Qwen3-8B,non_thinking,3,logistic_precision,higher,-0.0738573409161644,-0.5045616012544536,-0.5555555555555555
Qwen3-8B,non_thinking,3,logistic_recall,higher,-0.06060606060606056,-0.483200763583236,-0.3703703703703704
Qwen3-8B,non_thinking,3,mean_bhattacharyya,higher,-3.8138215195048875,0.28484848484848485,-22.483365032407978
Qwen3-8B,non_thinking,3,min_bhattacharyya,higher,-2.084554094256774,-0.725623245649734,-12.972247739632923
Qwen3-8B,non_thinking,3,nc2_class_cosine_deviation,lower,-0.030897816455948475,-0.7333333333333332,-0.2175197796627818
Qwen3-8B,non_thinking,3,ncc_recall,higher,-0.06801346801346796,-0.4923659639173309,-0.44444444444444436
Qwen3-8B,non_thinking,3,silhouette_cosine,higher,-0.043488113762754306,0.18787878787878787,-0.23753723253806433
Qwen3-8B,non_thinking,3,within_trace,lower,134.49865796638264,0.35757575757575755,1088.7661132812502
Qwen3-8B,native_thinking,3,centroid_nearest_squared,higher,-15.376875258937009,-0.3231767396591252,-114.317148844401
Qwen3-8B,native_thinking,3,class_nc1_ratio,lower,-0.41989567847246795,-0.5030303030303029,-3.9011472583684093
Qwen3-8B,native_thinking,3,fisher_nearest,higher,-0.005845442466537991,-0.3696969696969697,-0.0433370668370706
Qwen3-8B,native_thinking,3,logistic_f1,higher,-0.040761535568373614,-0.6890371996505876,-0.27957273777707214
Qwen3-8B,native_thinking,3,logistic_precision,higher,-0.05047307812013692,-0.6768418509842056,-0.33861655773420485
Qwen3-8B,native_thinking,3,logistic_recall,higher,-0.04040404040404036,-0.6335334559241806,-0.2962962962962963
Qwen3-8B,native_thinking,3,mean_bhattacharyya,higher,-0.049985287486503126,-0.19999999999999998,-0.33474439713690085
Qwen3-8B,native_thinking,3,min_bhattacharyya,higher,-0.10401344263192365,-0.5061069696548565,-0.6910506387551627
Qwen3-8B,native_thinking,3,nc2_class_cosine_deviation,lower,0.00014182686317242368,0.1515151515151515,-0.015302533547440919
Qwen3-8B,native_thinking,3,ncc_recall,higher,-0.015488215488215494,-0.27692680108476564,-0.11111111111111108
Qwen3-8B,native_thinking,3,silhouette_cosine,higher,-0.00577354212150429,-0.5757575757575757,-0.04384743298093477
Qwen3-8B,native_thinking,3,within_trace,lower,-6.18014766808724,-0.13939393939393938,-36.3804931640625
Qwen3-8B,non_thinking,4,centroid_nearest_squared,higher,-332.1794036865231,-0.8719674296463189,-2117.384750366211
Qwen3-8B,non_thinking,4,class_nc1_ratio,lower,0.32320677420131483,0.16363636363636364,1.4057070957568893
Qwen3-8B,non_thinking,4,fisher_nearest,higher,-0.3033146463174237,-0.8060606060606059,-1.8836858300397212
Qwen3-8B,non_thinking,4,logistic_f1,higher,-0.03757225553735541,-0.16363636363636364,-0.25159334989056353
Qwen3-8B,non_thinking,4,logistic_precision,higher,-0.01654291836110013,-0.11515151515151514,-0.10357142857142854
Qwen3-8B,non_thinking,4,logistic_recall,higher,-0.04713804713804709,-0.1621872800336506,-0.3333333333333333
Qwen3-8B,non_thinking,4,mean_bhattacharyya,higher,-2.9880211248943658,0.18787878787878787,-17.812747805206865
Qwen3-8B,non_thinking,4,min_bhattacharyya,higher,-1.7789943214618777,-0.9573348703109935,-11.078325947125752
Qwen3-8B,non_thinking,4,nc2_class_cosine_deviation,lower,-0.027443790330986748,-0.7454545454545454,-0.1789536927462605
Qwen3-8B,non_thinking,4,ncc_recall,higher,-0.07205387205387201,-0.5662208585049305,-0.48148148148148157
Qwen3-8B,non_thinking,4,silhouette_cosine,higher,-0.04675621656757406,0.01818181818181818,-0.2777758066852888
Qwen3-8B,non_thinking,4,within_trace,lower,71.86532167376907,0.33333333333333326,586.8522949218752
Qwen3-8B,native_thinking,4,centroid_nearest_squared,higher,-16.977250070282885,-0.3475674369918894,-121.86612447102866
Qwen3-8B,native_thinking,4,class_nc1_ratio,lower,-0.4249788219724204,-0.43030303030303024,-4.42441513141244
Qwen3-8B,native_thinking,4,fisher_nearest,higher,-0.006754844973491568,-0.5151515151515151,-0.04476697562335742
Qwen3-8B,native_thinking,4,logistic_f1,higher,-0.06781847870364613,-0.709090909090909,-0.47615566694514067
Qwen3-8B,native_thinking,4,logistic_precision,higher,-0.06916860916860913,-0.7051704306688749,-0.4798941798941799
Qwen3-8B,native_thinking,4,logistic_recall,higher,-0.0673400673400673,-0.7693218186208295,-0.4814814814814815
Qwen3-8B,native_thinking,4,mean_bhattacharyya,higher,-0.04955657632262617,-0.10303030303030303,-0.3246945087556483
Qwen3-8B,native_thinking,4,min_bhattacharyya,higher,-0.11471655224308812,-0.5015501596686753,-0.793934722741445
Qwen3-8B,native_thinking,4,nc2_class_cosine_deviation,lower,7.049681662710862e-05,0.07878787878787878,-0.012107799419895607
Qwen3-8B,native_thinking,4,ncc_recall,higher,-0.0377104377104377,-0.4074772826171498,-0.2962962962962963
Qwen3-8B,native_thinking,4,silhouette_cosine,higher,-0.005703111331571228,-0.4787878787878787,-0.04089011624455452
Qwen3-8B,native_thinking,4,within_trace,lower,-10.523931699810651,-0.04242424242424241,-0.4058837890625
Qwen3-8B,non_thinking,5,centroid_nearest_squared,higher,-384.3806185635648,-0.8685380813774621,-2443.5500691731772
Qwen3-8B,non_thinking,5,class_nc1_ratio,lower,0.3064307297669572,0.16363636363636364,1.4852830198457176
Qwen3-8B,non_thinking,5,fisher_nearest,higher,-0.31377003468921255,-0.5272727272727272,-1.9531165256174117
Qwen3-8B,non_thinking,5,logistic_f1,higher,-0.06575462010756129,-0.7963562622208846,-0.417012617012617
Qwen3-8B,non_thinking,5,logistic_precision,higher,-0.05875420875420873,-0.5908391567007971,-0.3425925925925926
Qwen3-8B,non_thinking,5,logistic_recall,higher,-0.06734006734006732,-0.7822749024406355,-0.4444444444444445
Qwen3-8B,non_thinking,5,mean_bhattacharyya,higher,-3.502213162203824,0.17575757575757575,-20.73417909719326
