model_label,mode_native,layer,occurrence,n_confirmation_class_native,metric,value_native,quality_direction_native,quality_value_native,mode_nonthinking,n_confirmation_class_nonthinking,value_nonthinking,quality_direction_nonthinking,quality_value_nonthinking,native_minus_nonthinking_quality
Qwen3-8B,native_thinking,0,1,9,logistic_precision,0.0,higher,0.0,non_thinking,9,0.6666666666666666,higher,0.6666666666666666,-0.6666666666666666
Qwen3-8B,native_thinking,0,1,9,logistic_recall,0.0,higher,0.0,non_thinking,9,0.6666666666666666,higher,0.6666666666666666,-0.6666666666666666
Qwen3-8B,native_thinking,0,1,9,logistic_f1,0.0,higher,0.0,non_thinking,9,0.6666666666666666,higher,0.6666666666666666,-0.6666666666666666
Qwen3-8B,native_thinking,0,1,9,ncc_recall,0.0,higher,0.0,non_thinking,9,1.0,higher,1.0,-1.0
Qwen3-8B,native_thinking,0,1,9,silhouette_cosine,-0.2048085480928421,higher,-0.2048085480928421,non_thinking,9,0.1612120270729065,higher,0.1612120270729065,-0.3660205751657486
Qwen3-8B,native_thinking,0,1,9,within_trace,1933.867919921875,lower,-1933.867919921875,non_thinking,9,3646.78759765625,lower,-3646.78759765625,1712.919677734375
Qwen3-8B,native_thinking,0,1,9,class_nc1_ratio,13.592081182655921,lower,-13.592081182655921,non_thinking,9,1.4800417546472515,lower,-1.4800417546472515,-12.11203942800867
Qwen3-8B,native_thinking,0,1,9,centroid_nearest_squared,198.89207458496094,higher,198.89207458496094,non_thinking,9,717.622314453125,higher,717.622314453125,-518.7302398681641
Qwen3-8B,native_thinking,0,1,9,fisher_nearest,0.1028467727997659,higher,0.1028467727997659,non_thinking,9,0.19678204316432713,higher,0.19678204316432713,-0.09393527036456123
Qwen3-8B,native_thinking,0,1,9,min_bhattacharyya,1.9218751937150955,higher,1.9218751937150955,non_thinking,9,1.9818871021270752,higher,1.9818871021270752,-0.060011908411979675
Qwen3-8B,native_thinking,0,1,9,mean_bhattacharyya,2.620014778441853,higher,2.620014778441853,non_thinking,9,7.2376188437143965,higher,7.2376188437143965,-4.617604065272543
Qwen3-8B,native_thinking,0,1,9,nc2_class_cosine_deviation,0.2231746155446694,lower,-0.2231746155446694,non_thinking,9,0.5948789281609618,lower,-0.5948789281609618,0.37170431261629233
Qwen3-8B,native_thinking,0,2,9,logistic_precision,0.0,higher,0.0,non_thinking,9,0.21428571428571427,higher,0.21428571428571427,-0.21428571428571427
Qwen3-8B,native_thinking,0,2,9,logistic_recall,0.0,higher,0.0,non_thinking,9,0.3333333333333333,higher,0.3333333333333333,-0.3333333333333333
Qwen3-8B,native_thinking,0,2,9,logistic_f1,0.0,higher,0.0,non_thinking,9,0.2608695652173913,higher,0.2608695652173913,-0.2608695652173913
Qwen3-8B,native_thinking,0,2,9,ncc_recall,0.0,higher,0.0,non_thinking,9,0.3333333333333333,higher,0.3333333333333333,-0.3333333333333333
Qwen3-8B,native_thinking,0,2,9,silhouette_cosine,-0.04975306615233421,higher,-0.04975306615233421,non_thinking,9,-0.1555878221988678,higher,-0.1555878221988678,0.10583475604653358
Qwen3-8B,native_thinking,0,2,9,within_trace,935.6029663085938,lower,-935.6029663085938,non_thinking,9,4915.1318359375,lower,-4915.1318359375,3979.5288696289062
Qwen3-8B,native_thinking,0,2,9,class_nc1_ratio,5.4342029838644565,lower,-5.4342029838644565,non_thinking,9,3.4430631750699128,lower,-3.4430631750699128,-1.9911398087945438
Qwen3-8B,native_thinking,0,2,9,centroid_nearest_squared,188.93582153320312,higher,188.93582153320312,non_thinking,9,717.622314453125,higher,717.622314453125,-528.6864929199219
Qwen3-8B,native_thinking,0,2,9,fisher_nearest,0.20194016942747234,higher,0.20194016942747234,non_thinking,9,0.14600265840402377,higher,0.14600265840402377,0.05593751102344857
Qwen3-8B,native_thinking,0,2,9,min_bhattacharyya,2.0401867032051086,higher,2.0401867032051086,non_thinking,9,1.9818871021270752,higher,1.9818871021270752,0.05829960107803345
Qwen3-8B,native_thinking,0,2,9,mean_bhattacharyya,3.9347253210014768,higher,3.9347253210014768,non_thinking,9,4.309867653581831,higher,4.309867653581831,-0.37514233258035423
Qwen3-8B,native_thinking,0,2,9,nc2_class_cosine_deviation,0.21979392991389757,lower,-0.21979392991389757,non_thinking,9,0.6024551321694881,lower,-0.6024551321694881,0.3826612022555905
Qwen3-8B,native_thinking,0,3,9,logistic_precision,0.15789473684210525,higher,0.15789473684210525,non_thinking,9,0.25,higher,0.25,-0.09210526315789475
Qwen3-8B,native_thinking,0,3,9,logistic_recall,0.3333333333333333,higher,0.3333333333333333,non_thinking,9,0.2222222222222222,higher,0.2222222222222222,0.1111111111111111
Qwen3-8B,native_thinking,0,3,9,logistic_f1,0.21428571428571427,higher,0.21428571428571427,non_thinking,9,0.23529411764705882,higher,0.23529411764705882,-0.021008403361344546
Qwen3-8B,native_thinking,0,3,9,ncc_recall,0.3333333333333333,higher,0.3333333333333333,non_thinking,9,0.3333333333333333,higher,0.3333333333333333,0.0
Qwen3-8B,native_thinking,0,3,9,silhouette_cosine,-0.20336011052131653,higher,-0.20336011052131653,non_thinking,9,-0.135339617729187,higher,-0.135339617729187,-0.06802049279212952
Qwen3-8B,native_thinking,0,3,9,within_trace,3118.154541015625,lower,-3118.154541015625,non_thinking,9,3790.586669921875,lower,-3790.586669921875,672.43212890625
Qwen3-8B,native_thinking,0,3,9,class_nc1_ratio,9.630618905034497,lower,-9.630618905034497,non_thinking,9,9.509572437945994,lower,-9.509572437945994,-0.12104646708850275
Qwen3-8B,native_thinking,0,3,9,centroid_nearest_squared,301.34326171875,higher,301.34326171875,non_thinking,9,546.0020751953125,higher,546.0020751953125,-244.6588134765625
Qwen3-8B,native_thinking,0,3,9,fisher_nearest,0.09664154157689646,higher,0.09664154157689646,non_thinking,9,0.144041575286436,higher,0.144041575286436,-0.04740003370953953
Qwen3-8B,native_thinking,0,3,9,min_bhattacharyya,1.668170005083084,higher,1.668170005083084,non_thinking,9,2.0877031683921814,higher,2.0877031683921814,-0.4195331633090973
Qwen3-8B,native_thinking,0,3,9,mean_bhattacharyya,3.199092290467686,higher,3.199092290467686,non_thinking,9,3.2186045050621033,higher,3.2186045050621033,-0.0195122145944171
Qwen3-8B,native_thinking,0,3,9,nc2_class_cosine_deviation,0.2573687039591648,lower,-0.2573687039591648,non_thinking,9,0.48980278472407474,lower,-0.48980278472407474,0.23243408076490996
Qwen3-8B,native_thinking,0,4,9,logistic_precision,0.08333333333333333,higher,0.08333333333333333,non_thinking,9,0.0,higher,0.0,0.08333333333333333
Qwen3-8B,native_thinking,0,4,9,logistic_recall,0.1111111111111111,higher,0.1111111111111111,non_thinking,9,0.0,higher,0.0,0.1111111111111111
Qwen3-8B,native_thinking,0,4,9,logistic_f1,0.09523809523809523,higher,0.09523809523809523,non_thinking,9,0.0,higher,0.0,0.09523809523809523
Qwen3-8B,native_thinking,0,4,9,ncc_recall,0.0,higher,0.0,non_thinking,9,0.2222222222222222,higher,0.2222222222222222,-0.2222222222222222
Qwen3-8B,native_thinking,0,4,9,silhouette_cosine,-0.2494640052318573,higher,-0.2494640052318573,non_thinking,9,-0.18181198835372925,higher,-0.18181198835372925,-0.06765201687812805
Qwen3-8B,native_thinking,0,4,9,within_trace,2742.69384765625,lower,-2742.69384765625,non_thinking,9,3799.874267578125,lower,-3799.874267578125,1057.180419921875
Qwen3-8B,native_thinking,0,4,9,class_nc1_ratio,21.0912719797042,lower,-21.0912719797042,non_thinking,9,25.844452628186474,lower,-25.844452628186474,4.7531806484822745
