model_label,layer,metric,estimand,native_minus_nonthinking,jackknife_se,ci_low_normal,ci_high_normal,jackknife_seed_count
Qwen3-8B,0,centroid_nearest_squared,quality_slope_per_index,48.7338451963482,37.2989881622215,-24.37217160160594,121.83986199430234,9
Qwen3-8B,0,centroid_nearest_squared,quality_spearman,0.17799759943710872,0.6810034619868107,-1.1567691860570402,1.5127643849312578,9
Qwen3-8B,0,centroid_nearest_squared,late_8_10_minus_early_1_3,345.29409281412757,275.96983804095703,-195.60678974614825,886.1949753744034,9
Qwen3-8B,0,class_nc1_ratio,quality_slope_per_index,-0.7355859137994809,0.4432443678620936,-1.6043448748091844,0.1331730472102225,9
Qwen3-8B,0,class_nc1_ratio,quality_spearman,-0.2424242424242424,0.3128756061033072,-0.8556604303867246,0.3708119455382397,9
Qwen3-8B,0,class_nc1_ratio,late_8_10_minus_early_1_3,-3.7371889401664995,4.083891631589967,-11.741616538082836,4.267238657749838,9
Qwen3-8B,0,fisher_nearest,quality_slope_per_index,-0.0013930581520666774,0.03069806685469151,-0.061561269187262034,0.058775152883128685,9
Qwen3-8B,0,fisher_nearest,quality_spearman,0.08484848484848484,0.807883253068046,-1.4986026911648853,1.6682996608618548,9
Qwen3-8B,0,fisher_nearest,late_8_10_minus_early_1_3,-0.015726081611116174,0.24357122248743474,-0.49312567768648824,0.4616735144642559,9
Qwen3-8B,0,logistic_f1,quality_slope_per_index,0.02871714621888995,0.011948044482916264,0.0052989790323740744,0.05213531340540582,9
Qwen3-8B,0,logistic_f1,quality_spearman,0.45908935710793486,0.370999825186875,-0.2680703002583402,1.18624901447421,9
Qwen3-8B,0,logistic_f1,late_8_10_minus_early_1_3,0.24210747100772675,0.0938869227655063,0.05808910238733442,0.4261258396281191,9
Qwen3-8B,0,logistic_precision,quality_slope_per_index,0.028948244737718388,0.011762518361565572,0.005893708749049868,0.05200278072638691,9
Qwen3-8B,0,logistic_precision,quality_spearman,0.24983382244306915,0.3699995712585373,-0.4753653372236639,0.9750329821098023,9
Qwen3-8B,0,logistic_precision,late_8_10_minus_early_1_3,0.2502784739626845,0.09369579876024293,0.06663470839260835,0.43392223953276066,9
Qwen3-8B,0,logistic_recall,quality_slope_per_index,0.02760942760942759,0.014109311003203333,-4.4821956850942674e-05,0.05526367717570613,9
Qwen3-8B,0,logistic_recall,quality_spearman,0.3281928924996296,0.3055221569593224,-0.2706305351406423,0.9270163201399014,9
Qwen3-8B,0,logistic_recall,late_8_10_minus_early_1_3,0.22222222222222227,0.1111111111111111,0.004444444444444501,0.44000000000000006,9
Qwen3-8B,0,mean_bhattacharyya,quality_slope_per_index,0.16997096259585934,0.15792024353700468,-0.13955271473666983,0.4794946399283885,9
Qwen3-8B,0,mean_bhattacharyya,quality_spearman,-0.08484848484848484,0.515907545842824,-1.0960272747004196,0.92633030500345,9
Qwen3-8B,0,mean_bhattacharyya,late_8_10_minus_early_1_3,0.8543841033070172,1.0262389160523884,-1.157044172155664,2.8658123787696983,9
Qwen3-8B,0,min_bhattacharyya,quality_slope_per_index,0.08520917621525846,0.14399827583767003,-0.19702744442657477,0.3674457968570917,9
Qwen3-8B,0,min_bhattacharyya,quality_spearman,0.5457119911019287,0.5164516746680802,-0.46653329124750853,1.557957273451366,9
Qwen3-8B,0,min_bhattacharyya,late_8_10_minus_early_1_3,0.6596587995688121,1.1025480800906438,-1.5013354374088494,2.8206530365464735,9
Qwen3-8B,0,nc2_class_cosine_deviation,quality_slope_per_index,0.01850197270559271,0.020012058547096357,-0.02072166204671615,0.057725607457901576,9
Qwen3-8B,0,nc2_class_cosine_deviation,quality_spearman,0.4484848484848485,0.7984885221517979,-1.1165526549326754,2.013522351902372,9
Qwen3-8B,0,nc2_class_cosine_deviation,late_8_10_minus_early_1_3,0.03745571371726508,0.1533639011222306,-0.2631375324823069,0.3380489599168371,9
Qwen3-8B,0,ncc_recall,quality_slope_per_index,0.03636363636363628,0.01571348402636773,0.0055652076719555285,0.06716206505531702,9
Qwen3-8B,0,ncc_recall,quality_spearman,0.3828002268067034,0.2945269831532811,-0.1944726601737275,0.9600731137871343,9
Qwen3-8B,0,ncc_recall,late_8_10_minus_early_1_3,0.22222222222222215,0.09622504486493763,0.03362113428694441,0.4108233101574999,9
Qwen3-8B,0,silhouette_cosine,quality_slope_per_index,0.002457104171767352,0.013809042324571535,-0.024608618784392855,0.02952282712792756,9
Qwen3-8B,0,silhouette_cosine,quality_spearman,-0.1333333333333333,0.499443624738988,-1.11224283782175,0.8455761711550832,9
Qwen3-8B,0,silhouette_cosine,late_8_10_minus_early_1_3,-0.011879627903302499,0.11875086273442838,-0.2446313188627821,0.22087206305617713,9
Qwen3-8B,0,within_trace,quality_slope_per_index,-311.61637184836644,289.2251738156641,-878.4977125270682,255.26496883033525,9
Qwen3-8B,0,within_trace,quality_spearman,-0.9575757575757575,0.6647907491297982,-2.2605656258701616,0.3454141107186468,9
Qwen3-8B,0,within_trace,late_8_10_minus_early_1_3,-2026.9452921549475,1843.2577161183756,-5639.730415746963,1585.8398314370686,9
Qwen3-8B,1,centroid_nearest_squared,quality_slope_per_index,400.28577816125085,89.40925151013046,225.04364520139515,575.5279111211065,9
Qwen3-8B,1,centroid_nearest_squared,quality_spearman,0.7683069659820712,0.43336399646780704,-0.08108646709483058,1.617700399058973,9
Qwen3-8B,1,centroid_nearest_squared,late_8_10_minus_early_1_3,2541.0609334309893,568.2039309307542,1427.381228806711,3654.7406380552675,9
Qwen3-8B,1,class_nc1_ratio,quality_slope_per_index,-0.5154266291465164,0.43324276621475755,-1.3645824509274411,0.33372919263440837,9
Qwen3-8B,1,class_nc1_ratio,quality_spearman,-0.5939393939393939,0.28658717475060763,-1.1556502564505848,-0.03222853142820292,9
Qwen3-8B,1,class_nc1_ratio,late_8_10_minus_early_1_3,-4.085763537721666,3.5198227510618016,-10.984616129802799,2.813089054359465,9
Qwen3-8B,1,fisher_nearest,quality_slope_per_index,0.14543017463687852,0.10665439231762885,-0.06361243430567404,0.35447278357943107,9
Qwen3-8B,1,fisher_nearest,quality_spearman,-0.19393939393939397,0.9004210603432158,-1.958764672212097,1.570885884333309,9
Qwen3-8B,1,fisher_nearest,late_8_10_minus_early_1_3,0.8871974099715978,0.6870856277313867,-0.4594904203819201,2.2338852403251157,9
Qwen3-8B,1,logistic_f1,quality_slope_per_index,0.046406040441699166,0.015687420858696607,0.015658695558653814,0.07715338532474451,9
Qwen3-8B,1,logistic_f1,quality_spearman,0.6278882098906724,0.31636394353019054,0.007814880571498928,1.2479615392098458,9
Qwen3-8B,1,logistic_f1,late_8_10_minus_early_1_3,0.37134737953152275,0.11638484285568687,0.1432330875343765,0.599461671528669,9
Qwen3-8B,1,logistic_precision,quality_slope_per_index,0.03714045214045211,0.020370446560392545,-0.002785623117917274,0.0770665273988215,9
Qwen3-8B,1,logistic_precision,quality_spearman,0.7430399545757682,0.3113297170395079,0.1328337091783327,1.3532461999732037,9
Qwen3-8B,1,logistic_precision,late_8_10_minus_early_1_3,0.32738095238095244,0.14579587787184708,0.041621031752132165,0.6131408730097727,9
Qwen3-8B,1,logistic_recall,quality_slope_per_index,0.05723905723905718,0.017643868695722435,0.02265707459544121,0.09182103988267315,9
Qwen3-8B,1,logistic_recall,quality_spearman,0.6097984140047288,0.298531923585775,0.024675843776609807,1.1949209842328479,9
Qwen3-8B,1,logistic_recall,late_8_10_minus_early_1_3,0.4444444444444445,0.13608276348795428,0.1777222280080541,0.7111666608808349,9
Qwen3-8B,1,mean_bhattacharyya,quality_slope_per_index,1.1521122195704605,0.5384561967939181,0.09673807385438105,2.20748636528654,9
Qwen3-8B,1,mean_bhattacharyya,quality_spearman,-0.3636363636363636,0.5928863673405027,-1.525693643623749,0.7984209163510219,9
Qwen3-8B,1,mean_bhattacharyya,late_8_10_minus_early_1_3,6.707671529716913,3.450583196214183,-0.05547153486288536,13.470814594296712,9
Qwen3-8B,1,min_bhattacharyya,quality_slope_per_index,0.38228169200998313,0.16444017643013412,0.05997894620692029,0.7045844378130459,9
Qwen3-8B,1,min_bhattacharyya,quality_spearman,0.7343892460472592,0.3508872449914908,0.04665024586393718,1.422128246230581,9
Qwen3-8B,1,min_bhattacharyya,late_8_10_minus_early_1_3,2.5283092508713407,1.0345298817457422,0.5006306826496858,4.555987819092996,9
Qwen3-8B,1,nc2_class_cosine_deviation,quality_slope_per_index,0.018577828723763082,0.010423546879256096,-0.0018523231595788635,0.03900798060710503,9
Qwen3-8B,1,nc2_class_cosine_deviation,quality_spearman,0.3515151515151515,0.3178451178451178,-0.27146127946127946,0.9744915824915825,9
Qwen3-8B,1,nc2_class_cosine_deviation,late_8_10_minus_early_1_3,0.11226536996601308,0.09385305002070107,-0.07168660807456101,0.29621734800658717,9
Qwen3-8B,1,ncc_recall,quality_slope_per_index,0.0545454545454545,0.02301168838362528,0.009442545313548954,0.09964836377736006,9
Qwen3-8B,1,ncc_recall,quality_spearman,0.4039654963432627,0.23594557013436837,-0.058487821120099315,0.8664188138066247,9
Qwen3-8B,1,ncc_recall,late_8_10_minus_early_1_3,0.37037037037037035,0.17073230476468298,0.03573505303159169,0.7050056877091491,9
Qwen3-8B,1,silhouette_cosine,quality_slope_per_index,0.03525118371753975,0.012105759931348924,0.011523894252095858,0.05897847318298364,9
Qwen3-8B,1,silhouette_cosine,quality_spearman,-0.4363636363636363,0.6959718942909051,-1.8004685491738104,0.9277412764465378,9
Qwen3-8B,1,silhouette_cosine,late_8_10_minus_early_1_3,0.1967205579082171,0.12864628207204806,-0.0554261549529971,0.44886727076943134,9
Qwen3-8B,1,within_trace,quality_slope_per_index,-326.13725585937516,180.74619622166162,-680.3998004538319,28.125288735081597,9
Qwen3-8B,1,within_trace,quality_spearman,-0.8606060606060605,0.363187152391826,-1.5724528792940395,-0.14875924191808154,9
Qwen3-8B,1,within_trace,late_8_10_minus_early_1_3,-2364.709269205729,1066.6518065901912,-4455.346810122504,-274.0717282889541,9
Qwen3-8B,2,centroid_nearest_squared,quality_slope_per_index,390.4916947335904,51.1008124903009,290.33410225260064,490.64928721458017,9
Qwen3-8B,2,centroid_nearest_squared,quality_spearman,0.8325513113958327,0.32876815519185815,0.18816572721979075,1.4769368955718747,9
Qwen3-8B,2,centroid_nearest_squared,late_8_10_minus_early_1_3,2428.4508463541665,353.44955590150937,1735.689716787208,3121.211975921125,9
Qwen3-8B,2,class_nc1_ratio,quality_slope_per_index,-0.7638689260323187,0.35128771269799175,-1.4523928429203825,-0.0753450091442549,9
Qwen3-8B,2,class_nc1_ratio,quality_spearman,-0.7030303030303029,0.4010484055581897,-1.4890851779243546,0.0830245718637489,9
Qwen3-8B,2,class_nc1_ratio,late_8_10_minus_early_1_3,-6.214239523038691,3.6215257406040218,-13.312429974622574,0.8839509285451923,9
Qwen3-8B,2,fisher_nearest,quality_slope_per_index,0.36094736198679933,0.40138402819587826,-0.42576533327712207,1.1476600572507207,9
Qwen3-8B,2,fisher_nearest,quality_spearman,0.16969696969696968,1.0578145080858872,-1.9036194661513692,2.243013405545309,9
Qwen3-8B,2,fisher_nearest,late_8_10_minus_early_1_3,2.20376407890949,2.4658619006882057,-2.629325246439393,7.036853404258373,9
Qwen3-8B,2,logistic_f1,quality_slope_per_index,0.00916521329834024,0.01387827549490782,-0.018036206671679086,0.036366633268359566,9
Qwen3-8B,2,logistic_f1,quality_spearman,0.12206169032242842,0.37097226732485167,-0.6050439536342809,0.8491673342791377,9
Qwen3-8B,2,logistic_f1,late_8_10_minus_early_1_3,0.09904165894877964,0.11353911338155409,-0.12349500327906637,0.32157832117662566,9
Qwen3-8B,2,logistic_precision,quality_slope_per_index,0.014597824437396628,0.0216572080785288,-0.027850303396519817,0.05704595227131307,9
Qwen3-8B,2,logistic_precision,quality_spearman,0.03942109307372332,0.2680534003847782,-0.4859635716804419,0.5648057578278886,9
Qwen3-8B,2,logistic_precision,late_8_10_minus_early_1_3,0.22491441020852787,0.1324851524739463,-0.03475648864040687,0.4845853090574626,9
Qwen3-8B,2,logistic_recall,quality_slope_per_index,-0.0020202020202020055,0.012036742714962613,-0.025612217741528727,0.021571813701124716,9
Qwen3-8B,2,logistic_recall,quality_spearman,-0.12466080895401932,0.23291105492715147,-0.5811664766112362,0.3318448587031976,9
