model_label,mode,layer,metric,quality_direction,quality_slope_per_index,quality_spearman,late_8_10_minus_early_1_3
Qwen3-8B,non_thinking,0,centroid_nearest_squared,higher,-47.28454793294265,-0.3792208524324131,-359.8390502929687
Qwen3-8B,non_thinking,0,class_nc1_ratio,lower,0.43231713055464327,0.10303030303030303,1.1991443415355936
Qwen3-8B,non_thinking,0,fisher_nearest,higher,-0.0026625400616366065,-0.18787878787878787,-0.01662650015182826
Qwen3-8B,non_thinking,0,logistic_f1,higher,-0.034126215264322635,-0.609302880347697,-0.27649900539926114
Qwen3-8B,non_thinking,0,logistic_precision,higher,-0.03234728234728232,-0.4000473456828313,-0.26587301587301587
Qwen3-8B,non_thinking,0,logistic_recall,higher,-0.03703703703703702,-0.5223846475008079,-0.29629629629629634
Qwen3-8B,non_thinking,0,mean_bhattacharyya,higher,-0.21751952532565946,-0.1515151515151515,-1.3476341234313116
Qwen3-8B,non_thinking,0,min_bhattacharyya,higher,-0.08962555726369215,-0.4356156145892926,-0.6934949556986492
Qwen3-8B,non_thinking,0,nc2_class_cosine_deviation,lower,-0.009859483289607984,-0.17575757575757575,-0.003729465225694284
Qwen3-8B,non_thinking,0,ncc_recall,higher,-0.04511784511784505,-0.3965088288259145,-0.2962962962962962
Qwen3-8B,non_thinking,0,silhouette_cosine,higher,-0.007690977711569154,0.04242424242424241,-0.02578368907173475
Qwen3-8B,non_thinking,0,within_trace,lower,266.2855202414773,0.6969696969696969,1911.890950520833
Qwen3-8B,native_thinking,0,centroid_nearest_squared,higher,1.4492972634055463,-0.20122325299530439,-14.544957478841127
Qwen3-8B,native_thinking,0,class_nc1_ratio,lower,-0.3032687832448376,-0.13939393939393938,-2.538044598630906
Qwen3-8B,native_thinking,0,fisher_nearest,higher,-0.004055598213703284,-0.10303030303030303,-0.032352581762944435
Qwen3-8B,native_thinking,0,logistic_f1,higher,-0.005409069045432685,-0.15021352323976214,-0.03439153439153439
Qwen3-8B,native_thinking,0,logistic_precision,higher,-0.00339903760956393,-0.15021352323976214,-0.015594541910331383
Qwen3-8B,native_thinking,0,logistic_recall,higher,-0.009427609427609432,-0.19419175500117838,-0.07407407407407407
Qwen3-8B,native_thinking,0,mean_bhattacharyya,higher,-0.04754856272980013,-0.23636363636363633,-0.4932500201242944
Qwen3-8B,native_thinking,0,min_bhattacharyya,higher,-0.00441638104843369,0.11009637651263605,-0.033836156129837036
Qwen3-8B,native_thinking,0,nc2_class_cosine_deviation,lower,0.008642489415984727,0.2727272727272727,0.0337262484915708
Qwen3-8B,native_thinking,0,ncc_recall,higher,-0.00875420875420877,-0.013708602019211083,-0.07407407407407407
Qwen3-8B,native_thinking,0,silhouette_cosine,higher,-0.005233873539801802,-0.09090909090909088,-0.03766331697503725
Qwen3-8B,native_thinking,0,within_trace,lower,-45.33085160688915,-0.2606060606060606,-115.05434163411451
Qwen3-8B,non_thinking,1,centroid_nearest_squared,higher,-404.79419028542225,-0.8719674296463189,-2601.7570597330728
Qwen3-8B,non_thinking,1,class_nc1_ratio,lower,0.16315670148630695,0.19999999999999998,0.9729672521217192
Qwen3-8B,non_thinking,1,fisher_nearest,higher,-0.1496229861331305,-0.406060606060606,-0.9267507407263462
Qwen3-8B,non_thinking,1,logistic_f1,higher,-0.04186372285590332,-0.38181818181818183,-0.3340802987861811
Qwen3-8B,non_thinking,1,logistic_precision,higher,-0.032883597883597855,-0.49696992650327754,-0.29166666666666674
Qwen3-8B,non_thinking,1,logistic_recall,higher,-0.05252525252525247,-0.4000473456828313,-0.40740740740740744
Qwen3-8B,non_thinking,1,mean_bhattacharyya,higher,-1.1540178712369604,0.35757575757575755,-6.625865014614881
Qwen3-8B,non_thinking,1,min_bhattacharyya,higher,-0.40733365037224456,-0.8685380813774621,-2.644397507111232
Qwen3-8B,non_thinking,1,nc2_class_cosine_deviation,lower,-0.020091648333769734,-0.41818181818181815,-0.15315958334002733
Qwen3-8B,non_thinking,1,ncc_recall,higher,-0.04848484848484845,-0.3965088288259145,-0.2962962962962963
Qwen3-8B,non_thinking,1,silhouette_cosine,higher,-0.0379841021967656,0.10303030303030303,-0.21733857442935306
Qwen3-8B,non_thinking,1,within_trace,lower,273.06094341856067,0.709090909090909,2002.4962565104165
Qwen3-8B,native_thinking,1,centroid_nearest_squared,higher,-4.5084121241714,-0.10366046366424772,-60.69612630208334
Qwen3-8B,native_thinking,1,class_nc1_ratio,lower,-0.3522699276602094,-0.3939393939393939,-3.1127962855999467
Qwen3-8B,native_thinking,1,fisher_nearest,higher,-0.004192811496251987,-0.6,-0.039553330754748386
Qwen3-8B,native_thinking,1,logistic_f1,higher,0.004542317585795844,0.24607002807249062,0.03726708074534161
Qwen3-8B,native_thinking,1,logistic_precision,higher,0.004256854256854254,0.24607002807249062,0.03571428571428571
Qwen3-8B,native_thinking,1,logistic_recall,higher,0.004713804713804709,0.20975106832189752,0.037037037037037035
Qwen3-8B,native_thinking,1,mean_bhattacharyya,higher,-0.0019056516664999492,-0.006060606060606061,0.08180651510203285
Qwen3-8B,native_thinking,1,min_bhattacharyya,higher,-0.025051958362261414,-0.13414883533020291,-0.11608825623989127
Qwen3-8B,native_thinking,1,nc2_class_cosine_deviation,lower,-0.001513819610006651,-0.06666666666666665,-0.04089421337401425
Qwen3-8B,native_thinking,1,ncc_recall,higher,0.006060606060606053,0.007456667517348202,0.0740740740740741
Qwen3-8B,native_thinking,1,silhouette_cosine,higher,-0.0027329184792258526,-0.33333333333333326,-0.020618016521135957
Qwen3-8B,native_thinking,1,within_trace,lower,-53.07631244081452,-0.1515151515151515,-362.2130126953125
Qwen3-8B,non_thinking,2,centroid_nearest_squared,higher,-397.8686148441195,-0.9240164263936983,-2507.0439046223955
Qwen3-8B,non_thinking,2,class_nc1_ratio,lower,0.43618938227969123,0.22424242424242422,2.7816985476084217
Qwen3-8B,non_thinking,2,fisher_nearest,higher,-0.3653784061342517,-0.709090909090909,-2.24377022301061
Qwen3-8B,non_thinking,2,logistic_f1,higher,-0.056801735702664474,-0.8206724839680872,-0.3987757226147319
Qwen3-8B,non_thinking,2,logistic_precision,higher,-0.06725379591689748,-0.7294866524160775,-0.5427015250544662
