model_label,mode,layer,n_confirmation,n_confirmation_seed_clusters,min_confirmation_per_class,max_confirmation_per_class,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,ncc_balanced_accuracy,class_balanced_snr,class_balanced_snr_db,class_balanced_signal_power,class_balanced_noise_power,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Gemma4-E4B,non_thinking,0,30,3,3,3,32,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.2760688067181082,-5.589826619428359,650.4730224609375,2356.1989135742188,0.6666666666666666,157414144.1067591,1.3415721654891968,0.14384588599205017,9.017219906243874,864252.192555715,2.2904059572290888e-43,98.18242992298981,7.363121193647384e-05,1,-8.471218035525087e-06,73.63121193647385
Gemma4-E4B,native_thinking,0,30,3,3,3,32,0.6333333333333333,0.6333333333333333,0.4,0.4,70.0763023079586,18.455711774976777,610.1939086914062,8.707564306259155,0.6333333333333333,4523766.625873951,2.258965015411377,1.1313912868499756,10.74493135635456,969336518.472284,6.796705009231584e-42,94.79213596846971,2.7211137720041735e-07,1,-1.0667213562957066e-07,0.27211137720041734
Gemma4-E4B,non_thinking,1,30,3,3,3,32,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.2614196781219136,-5.826617244138395,508.4949645996094,1945.1288757324219,0.4666666666666667,-591133795.3452053,1.4418997764587402,0.14313386380672455,9.011076320272636,633528.7891522982,4.8576519733959137e-42,95.12801871763,6.078527665138244e-05,1,-9.456074744042572e-06,60.785276651382446
Gemma4-E4B,native_thinking,1,30,3,3,3,32,0.9,0.9,0.7333333333333333,0.7333333333333333,32.548500425473826,15.125309845495549,768.05029296875,23.5971022605896,0.2,3448588.6337572546,1.8856194019317627,1.0141956806182861,9.298261645554412,216157956.53410783,2.4506519914945343e-49,111.93031544857762,7.374094475526363e-07,1,-2.379594103329405e-07,0.7374094475526363
Gemma4-E4B,non_thinking,2,30,3,3,3,32,0.1,0.1,0.06666666666666667,0.06666666666666667,0.2579762463126639,-5.884202807431964,388.3074645996094,1505.2062744140626,0.5666666666666667,-88209679.13661179,1.161352515220642,0.13087673485279083,9.010111347845477,880569.4442706639,1.704839452287445e-42,96.1751029623293,4.703769746422767e-05,1,-3.933636004257427e-06,47.037697464227676
Gemma4-E4B,native_thinking,2,30,3,3,3,32,0.9666666666666667,0.9666666666666666,0.4666666666666667,0.4666666666666666,1.0464679804727446,0.19725944459949013,826.4134521484375,789.7169025421142,0.5333333333333333,-42175067.96529944,1.991532802581787,0.9160624742507935,8.979486501287944,4646432.236238381,3.8000269975127786e-35,79.25547008347587,2.467865276217344e-05,1,-4.252685030271565e-06,24.678652762173442
Gemma4-E4B,non_thinking,3,30,3,3,3,32,0.13333333333333333,0.13333333333333333,0.1,0.1,0.26496655982011885,-5.768089328631549,378.8985595703125,1429.9863342285157,0.6,-121094349.63018253,1.1505300998687744,0.1622471809387207,9.006284999917398,721138.6214897006,2.1713122184804874e-41,93.63065711898912,4.468707491457462e-05,1,-2.5248191869335644e-06,44.68707491457462
Gemma4-E4B,native_thinking,3,30,3,3,3,32,1.0,1.0,0.5333333333333333,0.5333333333333333,1.3468369444209005,1.2931502079748423,812.0066528320312,602.8990043640136,0.4666666666666667,-48114404.539721884,1.8656740188598633,0.7796928286552429,9.019599841064771,5986871.064466239,8.79979665619245e-39,87.62609001280146,1.8840595032321287e-05,1,-2.857825469110631e-06,18.84059503232129
Gemma4-E4B,non_thinking,4,30,3,3,3,32,0.13333333333333333,0.13333333333333333,0.1,0.1,0.2592496299439544,-5.862818548556554,376.1087646484375,1450.7591186523437,0.7333333333333333,-10625874.201186527,1.260860800743103,0.1274271309375763,9.00291318297391,707273.875575077,5.939531112230761e-41,92.62435861983192,4.5336221136152746e-05,1,-4.971591091101418e-06,45.336221136152744
Gemma4-E4B,native_thinking,4,30,3,3,3,32,1.0,1.0,0.5,0.5,2.1129071047015087,3.248804034402029,1020.890625,483.16872177124026,0.5,26063329.355282854,1.7752668857574463,0.8178526759147644,9.08260317194675,16226311.811592339,2.842503032825104e-42,95.663888892151,1.5099022916576359e-05,1,-3.197030669942039e-06,15.09902291657636
Gemma4-E4B,non_thinking,5,30,3,3,3,32,0.23333333333333334,0.2333333333333333,0.23333333333333334,0.2333333333333333,0.6369467083343371,-1.9589690242840527,666.2637939453125,1046.0275329589845,0.5333333333333333,-36180818.86618936,1.365661382675171,0.7444125413894653,9.00662044179006,5311572.731271024,8.931095191977644e-42,94.51903487650262,3.2688359711319206e-05,1,-4.131289684031114e-06,32.68835971131921
Gemma4-E4B,native_thinking,5,30,3,3,3,32,1.0,1.0,0.4666666666666667,0.4666666666666666,0.883302209627421,-0.5389068315100783,810.2340087890625,917.2783674240112,0.5333333333333333,-5347530.947191672,1.8999826908111572,0.7360221743583679,8.984814401086973,5681477.141096259,3.007096097244821e-36,81.79208848644326,2.866494859801605e-05,1,-1.7096566696047224e-06,28.664948598016053
Gemma4-E4B,non_thinking,6,30,3,3,3,32,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.6031420453183882,-2.195803955991969,669.5502319335938,1110.103726196289,0.5333333333333333,1456891688.7227607,1.3342008590698242,0.7299954295158386,9.005908386148484,6973461.290146981,4.911555590957515e-42,95.11698319315171,3.4690739937126634e-05,1,-7.806295284641075e-06,34.69073993712664
Gemma4-E4B,native_thinking,6,30,3,3,3,32,0.9,0.9,0.5666666666666667,0.5666666666666667,0.9700982372658279,-0.13184284556221681,774.9664916992188,798.8536231994628,0.4,103825051.30623052,1.7358983755111694,0.7050889730453491,9.00482645651521,6679609.192233088,4.307004347369392e-38,86.0379909183293,2.49641772871837e-05,1,-8.675287149989436e-06,24.964177287183702
Gemma4-E4B,non_thinking,7,30,3,3,3,32,0.3333333333333333,0.33333333333333337,0.2,0.2,0.45738192723218996,-3.3972099989192768,616.0567626953125,1346.919775390625,0.4,72180999.20280668,1.2506085634231567,0.7070521712303162,9.014032013888457,8676493.614123233,3.774411048183931e-42,95.38032954894645,4.209124191477895e-05,1,-1.881996606980107e-05,42.09124191477895
Gemma4-E4B,native_thinking,7,30,3,3,3,32,0.8666666666666667,0.8666666666666666,0.43333333333333335,0.4333333333333333,0.997024976819935,-0.012939618897460588,769.1906127929688,771.4858009338379,0.6,103360531.97061479,1.7962843179702759,0.7793294787406921,9.01221330882704,14346975.696779544,2.1329209976070358e-39,89.04332622612341,2.4108929846901445e-05,1,-7.728898076128907e-06,24.108929846901447
Gemma4-E4B,non_thinking,8,30,3,3,3,32,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.2333333333333333,0.5050869891017523,-2.9663381864680978,696.5911865234375,1379.1509216308593,0.4,-924361192.6745008,1.2294529676437378,0.7358580231666565,9.009629007763676,4834910.239966957,3.1457839236703564e-42,95.56251078634916,4.309846785664558e-05,1,-4.019132450572948e-06,43.098467856645584
Gemma4-E4B,native_thinking,8,30,3,3,3,32,0.8666666666666667,0.8666666666666668,0.5666666666666667,0.5666666666666667,1.1697582118049716,0.680961026601722,755.0905151367188,645.5099075317382,0.3,-22785542.748043917,1.8545629978179932,0.7473500370979309,9.004273519985666,6189600.08811166,1.1934883432548167e-37,85.01876804088877,2.0172185518313198e-05,1,-9.376577569479997e-07,20.1721855183132
Gemma4-E4B,non_thinking,9,30,3,3,3,32,0.2,0.19999999999999998,0.2,0.19999999999999998,0.5708730182515552,-2.43460483007291,781.3403930664062,1368.6763397216796,0.4666666666666667,-190493972.87239227,1.2876089811325073,0.7294597625732422,9.001591870599865,5205119.689666716,2.6595497796150744e-42,95.7304170530655,4.2771134212613104e-05,1,-5.054465853951271e-06,42.771134212613106
Gemma4-E4B,native_thinking,9,30,3,3,3,32,0.8333333333333334,0.8333333333333333,0.5333333333333333,0.5333333333333333,1.4421618757154673,1.5901401058058005,897.7722778320312,622.5183822631836,0.5,30728008.323927592,1.9699499607086182,0.8198977112770081,8.987619502460031,9777043.88483023,1.1450519805380321e-37,85.06019840695413,1.945369963138364e-05,1,-2.9610742358814607e-06,19.453699631383643
Gemma4-E4B,non_thinking,10,30,3,3,3,32,0.23333333333333334,0.2333333333333333,0.16666666666666666,0.16666666666666666,0.6937269039853711,-1.5881146244753905,853.4098510742188,1230.1812805175782,0.5666666666666667,-7913123.910412644,1.253421425819397,0.774323582649231,9.0132952634525,9254803.152470384,7.246615886605974e-44,99.33320950610569,3.8443166621029377e-05,1,-3.4157093349076555e-06,38.44316662102938
Gemma4-E4B,native_thinking,10,30,3,3,3,32,0.6333333333333333,0.6333333333333333,0.5333333333333333,0.5333333333333333,2.3528495589964877,3.7159415931099264,932.2398681640625,396.2173716545105,0.3333333333333333,-12399966.031054148,1.873112440109253,0.8339928984642029,9.08701966343789,18706839.581234366,8.078397995942367e-44,99.22455050669159,1.2381792975123972e-05,1,-5.8710735315687515e-06,12.381792975123972
Gemma4-E4B,non_thinking,11,30,3,3,3,32,0.26666666666666666,0.26666666666666666,0.2,0.19999999999999998,0.6254191054470396,-2.0382885596246996,712.2222900390625,1138.792025756836,0.5666666666666667,-61444361.00004412,1.7163152694702148,0.6600847840309143,9.006350804769399,3818989.776960924,3.2941902090829233e-41,93.21382843856223,3.558725384622812e-05,1,-2.9338936946503665e-06,35.58725384622812
Gemma4-E4B,native_thinking,11,30,3,3,3,32,0.5,0.5,0.36666666666666664,0.36666666666666664,1.786027147190059,2.518880557760661,798.3504638671875,446.9979446411133,0.5666666666666667,62000946.31101594,1.4816179275512695,0.7672281861305237,9.048676806551866,14394302.60451472,4.9882628079160483e-42,95.1014861912856,1.396868484839797e-05,1,-5.6349122251158045e-06,13.96868484839797
Gemma4-E4B,non_thinking,12,30,3,3,3,32,0.26666666666666666,0.26666666666666666,0.2,0.19999999999999998,0.7412821645373936,-1.3001644900300524,808.550537109375,1090.7459747314454,0.43333333333333335,-539726912.7970892,1.6570830345153809,0.6318303942680359,9.01080630443603,8395393.69047181,4.440455878944997e-43,97.52040195213253,3.408581007272005e-05,1,-1.6968474832269282e-05,34.08581007272005
Gemma4-E4B,native_thinking,12,30,3,3,3,32,0.4,0.4,0.43333333333333335,0.4333333333333334,1.6423814018825809,2.1547401849508505,679.259521484375,413.5820831298828,0.3333333333333333,-4659636.149397327,1.2834112644195557,0.7543847560882568,9.05326410577377,8598231.324323798,8.530162873710749e-44,99.17013563619506,1.2924439683556557e-05,1,-2.1671370593841873e-06,12.924439683556557
Gemma4-E4B,non_thinking,13,30,3,3,3,32,0.3,0.3,0.26666666666666666,0.26666666666666666,0.8809488921752149,-0.550492862418845,910.2039794921875,1033.2086090087892,0.6333333333333333,-8474644.23560536,1.6478445529937744,0.6391139030456543,9.007995471681506,14594530.685332064,3.4368734672125578e-43,97.77659681644701,3.228776920586824e-05,1,-1.74764457757114e-05,32.287769205868244
