model_label,mode,layer,n_confirmation,n_confirmation_seed_clusters,min_confirmation_per_class,max_confirmation_per_class,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,ncc_balanced_accuracy,class_balanced_snr,class_balanced_snr_db,class_balanced_signal_power,class_balanced_noise_power,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Qwen3-8B,non_thinking,0,90,9,9,9,32,0.2111111111111111,0.2111111111111111,0.3,0.3,0.22709984306891545,-6.437831658873877,712.86572265625,3138.9969848632813,0.5888888888888889,-234251021.20698977,1.6532459259033203,0.4637391269207001,3.213487256639345,23.458514006254635,0.0028568222820154663,5.858045362073082,9.809366491436957e-05,1,3.149932443285789,98.09366491436958
Qwen3-8B,native_thinking,0,90,9,9,9,32,0.13333333333333333,0.13333333333333333,0.12222222222222222,0.1222222222222222,0.07996487876034178,-10.97100716879362,162.22537231445312,2028.7077880859374,0.7666666666666667,107513069.82482314,0.7652091979980469,0.22248321771621704,3.071817592249928,4.923162994200796,0.021433950923724524,3.842779122340098,6.33971180319786e-05,1,0.024152947224853547,63.39711803197861
Qwen3-8B,non_thinking,1,90,9,9,9,32,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.33333333333333337,0.6999802673052544,-1.549142027303615,1588.9290771484375,2269.9626708984374,0.5222222222222223,-105790202.60091496,1.9721757173538208,0.8233840465545654,3.8325968814928126,82.52808523670191,0.00014302357894545735,8.852501053566384,7.093632823228835e-05,1,1.0615928494651332,70.93632823228836
Qwen3-8B,native_thinking,1,90,9,9,9,32,0.2777777777777778,0.2777777777777778,0.13333333333333333,0.13333333333333333,0.07834518789209376,-11.059876735551946,183.2738037109375,2339.311560058594,0.7333333333333333,-13484062.380096894,0.6019784808158875,0.2027704119682312,3.2327958516020074,5.416650739600199,0.01625556170585667,4.1193201699416315,7.310348945856094e-05,1,0.09381220922846739,73.10348945856094
Qwen3-8B,non_thinking,2,90,9,9,9,32,0.4222222222222222,0.42222222222222217,0.32222222222222224,0.32222222222222224,0.6353162328140606,-1.9701004796789048,1323.784423828125,2083.66220703125,0.5888888888888889,248347459.90424666,1.943151593208313,0.872422456741333,3.6537176178733617,173.85420594223984,4.8637944842107204e-05,9.931106573622804,6.511445000767708e-05,1,1.0242117953576326,65.11445000767708
Qwen3-8B,native_thinking,2,90,9,9,9,32,0.35555555555555557,0.35555555555555557,0.15555555555555556,0.15555555555555556,0.07388658140540583,-11.314344269737042,166.29852294921875,2250.7269897460938,0.7,2961452.7215214493,0.6115992665290833,0.22333568334579468,3.2545247400592143,6.180160999939016,0.013150030481164547,4.331331202401769,7.033522388339042e-05,1,0.08877393205059422,70.33522388339043
Qwen3-8B,non_thinking,3,90,9,9,9,32,0.4444444444444444,0.4444444444444445,0.4,0.4,0.8201482358508025,-0.8610764494098619,1651.5914306640625,2013.7718505859375,0.6333333333333333,327383031.3057891,2.134617328643799,0.8544080257415771,3.7564460689952437,363.013064216218,8.77188745654508e-06,11.643958557342158,6.29303721189499e-05,1,0.8632699518145814,62.93037211894989
Qwen3-8B,native_thinking,3,90,9,9,9,32,0.37777777777777777,0.37777777777777777,0.14444444444444443,0.14444444444444443,0.07000460942430224,-11.54873363105281,135.33029174804688,1933.1625854492188,0.6777777777777778,-1309252019.3213325,0.5085388422012329,0.263833612203598,3.4901022738497787,9.174787377472128,0.0060598619287026735,5.106068263202937,6.0411333262920374e-05,1,0.05359585844354915,60.41133326292038
Qwen3-8B,non_thinking,4,90,9,9,9,32,0.4777777777777778,0.47777777777777775,0.37777777777777777,0.37777777777777777,0.8124419461018305,-0.9020766221173294,1578.456787109375,1942.8548645019532,0.5666666666666667,-191860599.310197,2.063750982284546,0.7888171672821045,3.8379669282757427,243.1753082860714,1.4201941934347947e-05,11.162131846767304,6.071421533823013e-05,1,0.7308672174045038,60.71421533823013
Qwen3-8B,native_thinking,4,90,9,9,9,32,0.3333333333333333,0.3333333333333333,0.18888888888888888,0.1888888888888889,0.06984683197774197,-11.558532872704415,116.90769958496094,1673.7723999023438,0.6444444444444445,406729851.0292483,0.5204998254776001,0.3352733850479126,3.471676298241535,14.384326697700335,0.003611560337150757,5.623615373662702,5.230538243055343e-05,1,0.03657835447773377,52.305382430553436
