model_label,mode,layer,occurrence,n_confirmation_class,metric,value,quality_direction,quality_value
Qwen3-8B,non_thinking,0,1,9,logistic_precision,0.6666666666666666,higher,0.6666666666666666
Qwen3-8B,non_thinking,0,1,9,logistic_recall,0.6666666666666666,higher,0.6666666666666666
Qwen3-8B,non_thinking,0,1,9,logistic_f1,0.6666666666666666,higher,0.6666666666666666
Qwen3-8B,non_thinking,0,1,9,ncc_recall,1.0,higher,1.0
Qwen3-8B,non_thinking,0,1,9,silhouette_cosine,0.1612120270729065,higher,0.1612120270729065
Qwen3-8B,non_thinking,0,1,9,within_trace,3646.78759765625,lower,-3646.78759765625
Qwen3-8B,non_thinking,0,1,9,class_nc1_ratio,1.4800417546472515,lower,-1.4800417546472515
Qwen3-8B,non_thinking,0,1,9,centroid_nearest_squared,717.622314453125,higher,717.622314453125
Qwen3-8B,non_thinking,0,1,9,fisher_nearest,0.19678204316432713,higher,0.19678204316432713
Qwen3-8B,non_thinking,0,1,9,min_bhattacharyya,1.9818871021270752,higher,1.9818871021270752
Qwen3-8B,non_thinking,0,1,9,mean_bhattacharyya,7.2376188437143965,higher,7.2376188437143965
Qwen3-8B,non_thinking,0,1,9,nc2_class_cosine_deviation,0.5948789281609618,lower,-0.5948789281609618
Qwen3-8B,non_thinking,0,2,9,logistic_precision,0.21428571428571427,higher,0.21428571428571427
Qwen3-8B,non_thinking,0,2,9,logistic_recall,0.3333333333333333,higher,0.3333333333333333
Qwen3-8B,non_thinking,0,2,9,logistic_f1,0.2608695652173913,higher,0.2608695652173913
Qwen3-8B,non_thinking,0,2,9,ncc_recall,0.3333333333333333,higher,0.3333333333333333
Qwen3-8B,non_thinking,0,2,9,silhouette_cosine,-0.1555878221988678,higher,-0.1555878221988678
Qwen3-8B,non_thinking,0,2,9,within_trace,4915.1318359375,lower,-4915.1318359375
Qwen3-8B,non_thinking,0,2,9,class_nc1_ratio,3.4430631750699128,lower,-3.4430631750699128
Qwen3-8B,non_thinking,0,2,9,centroid_nearest_squared,717.622314453125,higher,717.622314453125
