model_label,layer,mode,metric,estimand,estimate,jackknife_se,ci_low_normal,ci_high_normal,jackknife_seed_count
Qwen3-8B,0,non_thinking,centroid_nearest_squared,quality_slope_per_index,-47.28454793294265,41.74901200677759,-129.11261146622672,34.54351560034143,9
Qwen3-8B,0,non_thinking,centroid_nearest_squared,quality_spearman,-0.3792208524324131,0.3872563441774677,-1.13824328702025,0.3798015821554236,9
Qwen3-8B,0,non_thinking,centroid_nearest_squared,late_8_10_minus_early_1_3,-359.8390502929687,287.2581629311852,-922.8650496380917,203.18694905215426,9
Qwen3-8B,0,non_thinking,class_nc1_ratio,quality_slope_per_index,0.43231713055464327,0.4882648386158029,-0.5246819531323303,1.3893162142416169,9
Qwen3-8B,0,non_thinking,class_nc1_ratio,quality_spearman,0.10303030303030303,0.2684969329428064,-0.4232236855375975,0.6292842915982035,9
Qwen3-8B,0,non_thinking,class_nc1_ratio,late_8_10_minus_early_1_3,1.1991443415355936,1.9606961382217258,-2.643820089378989,5.042108772450176,9
Qwen3-8B,0,non_thinking,fisher_nearest,quality_slope_per_index,-0.0026625400616366065,0.02017040201238748,-0.04219652800591606,0.036871447882642856,9
Qwen3-8B,0,non_thinking,fisher_nearest,quality_spearman,-0.18787878787878787,0.5601139385565533,-1.2857021074496324,0.9099445316920566,9
Qwen3-8B,0,non_thinking,fisher_nearest,late_8_10_minus_early_1_3,-0.01662650015182826,0.1554097509590426,-0.32122961203155176,0.28797661172789524,9
Qwen3-8B,0,non_thinking,logistic_f1,quality_slope_per_index,-0.034126215264322635,0.011142964227630116,-0.05596642515047766,-0.012286005378167607,9
Qwen3-8B,0,non_thinking,logistic_f1,quality_spearman,-0.609302880347697,0.23992446786425714,-1.079554837361641,-0.13905092333375296,9
Qwen3-8B,0,non_thinking,logistic_f1,late_8_10_minus_early_1_3,-0.27649900539926114,0.09013958400026455,-0.45317259003977967,-0.09982542075874262,9
Qwen3-8B,0,non_thinking,logistic_precision,quality_slope_per_index,-0.03234728234728232,0.012052129145607885,-0.055969455472673776,-0.008725109221890865,9
Qwen3-8B,0,non_thinking,logistic_precision,quality_spearman,-0.4000473456828313,0.280100309958557,-0.949043953201603,0.14894926183594037,9
Qwen3-8B,0,non_thinking,logistic_precision,late_8_10_minus_early_1_3,-0.26587301587301587,0.09985041833898291,-0.46157983581742235,-0.07016619592860937,9
Qwen3-8B,0,non_thinking,logistic_recall,quality_slope_per_index,-0.03703703703703702,0.011624697980896999,-0.05982144507959514,-0.014252628994478905,9
Qwen3-8B,0,non_thinking,logistic_recall,quality_spearman,-0.5223846475008079,0.18852188348966933,-0.8918875391405598,-0.15288175586105607,9
Qwen3-8B,0,non_thinking,logistic_recall,late_8_10_minus_early_1_3,-0.29629629629629634,0.0868595511078413,-0.46654101646766527,-0.1260515761249274,9
Qwen3-8B,0,non_thinking,mean_bhattacharyya,quality_slope_per_index,-0.21751952532565946,0.0725077745654593,-0.35963476347395973,-0.07540428717735922,9
Qwen3-8B,0,non_thinking,mean_bhattacharyya,quality_spearman,-0.1515151515151515,0.04602830300507761,-0.2417306254051036,-0.061299677625199375,9
Qwen3-8B,0,non_thinking,mean_bhattacharyya,late_8_10_minus_early_1_3,-1.3476341234313116,0.5065814186787588,-2.340533704041679,-0.3547345428209443,9
Qwen3-8B,0,non_thinking,min_bhattacharyya,quality_slope_per_index,-0.08962555726369215,0.08651050187888668,-0.25918614094631004,0.07993502641892575,9
Qwen3-8B,0,non_thinking,min_bhattacharyya,quality_spearman,-0.4356156145892926,0.3334367930344202,-1.0891517289367563,0.21792049975817102,9
Qwen3-8B,0,non_thinking,min_bhattacharyya,late_8_10_minus_early_1_3,-0.6934949556986492,0.5635909391275524,-1.798133196388652,0.41114328499135366,9
Qwen3-8B,0,non_thinking,nc2_class_cosine_deviation,quality_slope_per_index,-0.009859483289607984,0.0048097449519913646,-0.019286583395511057,-0.0004323831837049104,9
Qwen3-8B,0,non_thinking,nc2_class_cosine_deviation,quality_spearman,-0.17575757575757575,0.2460484793895054,-0.6580125953610063,0.30649744384585476,9
Qwen3-8B,0,non_thinking,nc2_class_cosine_deviation,late_8_10_minus_early_1_3,-0.003729465225694284,0.03740845691144648,-0.07705004077212939,0.06959111032074082,9
Qwen3-8B,0,non_thinking,ncc_recall,quality_slope_per_index,-0.04511784511784505,0.01696582180113687,-0.07837085584807332,-0.011864834387616784,9
Qwen3-8B,0,non_thinking,ncc_recall,quality_spearman,-0.3965088288259145,0.2302554243886875,-0.847809460627742,0.05479180297591302,9
Qwen3-8B,0,non_thinking,ncc_recall,late_8_10_minus_early_1_3,-0.2962962962962962,0.12962962962962968,-0.5503703703703704,-0.04222222222222205,9
Qwen3-8B,0,non_thinking,silhouette_cosine,quality_slope_per_index,-0.007690977711569154,0.005193422278331974,-0.017870085377099824,0.002488129953961516,9
Qwen3-8B,0,non_thinking,silhouette_cosine,quality_spearman,0.04242424242424241,0.24669636399957573,-0.441100631014926,0.5259491158634109,9
Qwen3-8B,0,non_thinking,silhouette_cosine,late_8_10_minus_early_1_3,-0.02578368907173475,0.04203704713863827,-0.10817630146346574,0.05660892331999625,9
Qwen3-8B,0,non_thinking,within_trace,quality_slope_per_index,266.2855202414773,252.71087377721145,-229.02779236185717,761.5988328448118,9
Qwen3-8B,0,non_thinking,within_trace,quality_spearman,0.6969696969696969,0.4662967813254119,-0.21697199442811044,1.6109113883675041,9
Qwen3-8B,0,non_thinking,within_trace,late_8_10_minus_early_1_3,1911.890950520833,1615.5701054139402,-1254.6264560904897,5078.408357132155,9
Qwen3-8B,0,native_thinking,centroid_nearest_squared,quality_slope_per_index,1.3077115145596616,17.483304138444872,-32.95956459679228,35.57498762591161,9
Qwen3-8B,0,native_thinking,centroid_nearest_squared,quality_spearman,-0.20122325299530439,0.7298119780420725,-1.6316547299577666,1.2292082239671578,9
Qwen3-8B,0,native_thinking,centroid_nearest_squared,late_8_10_minus_early_1_3,-17.084019978841155,133.68234882879625,-279.10142368328184,244.9333837255995,9
Qwen3-8B,0,native_thinking,class_nc1_ratio,quality_slope_per_index,-0.33008228065284334,0.7048855930365636,-1.711658043004508,1.0514934816988213,9
Qwen3-8B,0,native_thinking,class_nc1_ratio,quality_spearman,-0.13939393939393938,0.47389038375755954,-1.068219091558756,0.7894312127708772,9
Qwen3-8B,0,native_thinking,class_nc1_ratio,late_8_10_minus_early_1_3,-2.7228192418141646,4.679272996754821,-11.894194315453614,6.448555831825285,9
Qwen3-8B,0,native_thinking,fisher_nearest,quality_slope_per_index,-0.004159245175862686,0.021708476714075258,-0.04670785953545019,0.03838936918372482,9
Qwen3-8B,0,native_thinking,fisher_nearest,quality_spearman,-0.12727272727272726,0.6047123049331622,-1.312508844941725,1.0579633903962706,9
Qwen3-8B,0,native_thinking,fisher_nearest,late_8_10_minus_early_1_3,-0.03340041939860601,0.17475578713253856,-0.3759217621783816,0.3091209233811696,9
Qwen3-8B,0,native_thinking,logistic_f1,quality_slope_per_index,-0.02193701723113487,0.015180882016044393,-0.05169154598258188,0.00781751152031214,9
Qwen3-8B,0,native_thinking,logistic_f1,quality_spearman,-0.5319742785103739,0.2051652898834155,-0.9340982466818684,-0.12985031033887956,9
Qwen3-8B,0,native_thinking,logistic_f1,late_8_10_minus_early_1_3,-0.17973856209150324,0.10519142369064283,-0.3859137525251632,0.02643662834215671,9
Qwen3-8B,0,native_thinking,logistic_precision,quality_slope_per_index,-0.058328741965105575,0.02961377083485364,-0.11637173280141871,-0.00028575112879244274,9
Qwen3-8B,0,native_thinking,logistic_precision,quality_spearman,-0.5319742785103739,0.03508915190352027,-0.6007490162412736,-0.46319954077947423,9
Qwen3-8B,0,native_thinking,logistic_precision,late_8_10_minus_early_1_3,-0.4222222222222222,0.20436047014581155,-0.8227687437080129,-0.021675700736431602,9
Qwen3-8B,0,native_thinking,logistic_recall,quality_slope_per_index,0.0013468013468013675,0.011856442331083492,-0.021891825622122277,0.02458542831572501,9
Qwen3-8B,0,native_thinking,logistic_recall,quality_spearman,-0.29502647161824747,0.06697098980809851,-0.42628961164212054,-0.1637633315943744,9
Qwen3-8B,0,native_thinking,logistic_recall,late_8_10_minus_early_1_3,-0.03703703703703701,0.0868595511078413,-0.20728175720840594,0.13320768313433193,9
Qwen3-8B,0,native_thinking,mean_bhattacharyya,quality_slope_per_index,-0.04531124099737867,0.15293863277949463,-0.3450709612451881,0.2544484792504308,9
Qwen3-8B,0,native_thinking,mean_bhattacharyya,quality_spearman,-0.24848484848484845,0.47873436364797606,-1.1868042012348816,0.6898345042651847,9
Qwen3-8B,0,native_thinking,mean_bhattacharyya,late_8_10_minus_early_1_3,-0.4948767771323519,0.9756330660952715,-2.407117586679084,1.4173640324143801,9
Qwen3-8B,0,native_thinking,min_bhattacharyya,quality_slope_per_index,-0.01003105712659425,0.13619648102678392,-0.2769761599390907,0.2569140456859022,9
