model_label,mode,layer,n_confirmation,n_confirmation_seed_clusters,min_confirmation_per_class,max_confirmation_per_class,pca_components,logistic_accuracy,logistic_balanced_accuracy,ncc_accuracy,ncc_balanced_accuracy,class_balanced_snr,class_balanced_snr_db,class_balanced_signal_power,class_balanced_noise_power,nc4_probe_ncc_disagreement,nc1_trace_sigmaw_sigmab_pinv_over_c,nc2_etf_gram_relative_error,nc2_centered_centroid_norm_cv,pillai_trace_regularized,lawley_hotelling_trace_regularized,wilks_lambda_regularized,wilks_log_separation_regularized,covariance_ridge,covariance_ridge_attempts,covariance_min_eigenvalue_before_ridge,covariance_within_scale
Qwen3-8B,non_thinking,0,100,10,10,10,32,0.25,0.25,0.32,0.32,0.2369259834406524,-6.25387308014696,737.9710693359375,3114.7747436523437,0.61,765944929.60224,1.7090181112289429,0.47445932030677795,2.963221303819476,21.002155819039192,0.004513978282716881,5.4005764116934305,9.733671784400939e-05,1,3.3434004599304927,97.3367178440094
Qwen3-8B,native_thinking,0,92,10,9,10,32,0.10869565217391304,0.10555555555555556,0.13043478260869565,0.12777777777777777,0.08005879749759734,-10.965909373895448,168.92027282714844,2109.9526611328124,0.7608695652173914,22962314.453146696,0.7878674268722534,0.23881547152996063,2.9940225872482813,4.742801273691454,0.024101642696162596,3.7254752791419308,6.546042090654372e-05,1,0.017573789546226452,65.46042090654373
Qwen3-8B,non_thinking,1,100,10,10,10,32,0.38,0.3799999999999999,0.31,0.31000000000000005,0.7351465495516646,-1.3362607681050818,1616.0513916015625,2198.2710693359377,0.56,292086443.4149216,1.971914529800415,0.8241944909095764,3.843322296913331,72.7855158943658,0.0001578229135073603,8.75403695409032,6.869596841931343e-05,1,1.2998967465052818,68.69596841931343
Qwen3-8B,native_thinking,1,92,10,9,10,32,0.32608695652173914,0.3211111111111111,0.15217391304347827,0.15,0.07782004184026425,-11.089085400320064,188.3299102783203,2420.0695068359373,0.75,280143407.8075816,0.6056421399116516,0.19000117480754852,3.224138487683488,5.339463500597461,0.016743120134086992,4.08976784335059,7.55320753455162e-05,1,0.11160223896259003,75.5320753455162
Qwen3-8B,non_thinking,2,100,10,10,10,32,0.37,0.37000000000000005,0.38,0.37999999999999995,0.650788403067815,-1.8656019471570937,1338.9996337890625,2057.5038330078123,0.62,-71734124.38080901,1.9328668117523193,0.880581796169281,3.648774739026053,124.44009975139035,7.013064230244072e-05,9.565150736717332,6.429699698090553e-05,1,1.224257408330821,64.29699698090553
Qwen3-8B,native_thinking,2,92,10,9,10,32,0.358695652173913,0.3511111111111111,0.20652173913043478,0.2,0.0731772500684723,-11.35623914916749,170.40771484375,2328.6979858398436,0.6956521739130435,9626374.091188138,0.6238183379173279,0.21444213390350342,3.290105425895122,6.246919222388259,0.012494495406552895,4.382467099139882,7.267209306359291e-05,1,0.10434272835170677,72.67209306359291
Qwen3-8B,non_thinking,3,100,10,10,10,32,0.47,0.4700000000000001,0.41,0.41,0.846490414797025,-0.7237795524474298,1666.469482421875,1968.6808654785157,0.52,-69231675.68574664,2.1218183040618896,0.8587242960929871,3.6363774985761386,265.39819241268185,1.8364891817858368e-05,10.90506976937929,6.152127462625503e-05,1,0.8370891337670638,61.521274626255035
Qwen3-8B,native_thinking,3,92,10,9,10,32,0.3695652173913043,0.3622222222222223,0.22826086956521738,0.22111111111111112,0.06936225063120052,-11.588768235356907,137.39495849609375,1980.8318969726563,0.5543478260869565,377906544.57613575,0.5334601402282715,0.25352853536605835,3.557677869440865,10.445237695782891,0.0047727744718653225,5.344827492888618,6.203134581446648e-05,1,0.05643902939170561,62.031345814466476
Qwen3-8B,non_thinking,4,100,10,10,10,32,0.44,0.44000000000000006,0.43,0.43,0.8228500885093746,-0.8467927981015789,1573.625244140625,1912.408184814453,0.6,-431944852.5228189,2.051974058151245,0.7967244982719421,3.6608816866514684,224.74871529147399,2.206956844202517e-05,10.72131089194095,5.976275676488876e-05,1,0.9385701494582993,59.76275676488876
Qwen3-8B,native_thinking,4,92,10,9,10,32,0.40217391304347827,0.39222222222222225,0.21739130434782608,0.2111111111111111,0.06944803211355441,-11.583400559642755,119.33802795410156,1718.3788269042968,0.717391304347826,519091591.8631507,0.5397480726242065,0.30804234743118286,3.454837870271139,18.793250605717983,0.002793238134392018,5.880553734503598,5.383640059828758e-05,1,0.03768548236617579,53.83640059828758
