model_label,mode_native,layer,occurrence,n_confirmation_class_native,metric,value_native,quality_direction_native,quality_value_native,mode_nonthinking,n_confirmation_class_nonthinking,value_nonthinking,quality_direction_nonthinking,quality_value_nonthinking,native_minus_nonthinking_quality
Qwen3-8B,native_thinking,0,1,10,logistic_precision,0.42857142857142855,higher,0.42857142857142855,non_thinking,10,0.5384615384615384,higher,0.5384615384615384,-0.10989010989010989
Qwen3-8B,native_thinking,0,1,10,logistic_recall,0.3,higher,0.3,non_thinking,10,0.7,higher,0.7,-0.39999999999999997
Qwen3-8B,native_thinking,0,1,10,logistic_f1,0.35294117647058826,higher,0.35294117647058826,non_thinking,10,0.6086956521739131,higher,0.6086956521739131,-0.2557544757033248
Qwen3-8B,native_thinking,0,1,10,ncc_recall,0.5,higher,0.5,non_thinking,10,1.0,higher,1.0,-0.5
Qwen3-8B,native_thinking,0,1,10,silhouette_cosine,-0.19361045956611633,higher,-0.19361045956611633,non_thinking,10,0.17532525956630707,higher,0.17532525956630707,-0.3689357191324234
Qwen3-8B,native_thinking,0,1,10,within_trace,1908.643310546875,lower,-1908.643310546875,non_thinking,10,3618.63037109375,lower,-3618.63037109375,1709.987060546875
Qwen3-8B,native_thinking,0,1,10,class_nc1_ratio,14.549746862485204,lower,-14.549746862485204,non_thinking,10,1.403498756618809,lower,-1.403498756618809,-13.146248105866395
Qwen3-8B,native_thinking,0,1,10,centroid_nearest_squared,178.68270874023438,higher,178.68270874023438,non_thinking,10,792.7999267578125,higher,792.7999267578125,-614.1172180175781
Qwen3-8B,native_thinking,0,1,10,fisher_nearest,0.09361765383445964,higher,0.09361765383445964,non_thinking,10,0.21908839683954362,higher,0.21908839683954362,-0.12547074300508398
Qwen3-8B,native_thinking,0,1,10,min_bhattacharyya,1.7822976410388947,higher,1.7822976410388947,non_thinking,10,2.0492016673088074,higher,2.0492016673088074,-0.2669040262699127
Qwen3-8B,native_thinking,0,1,10,mean_bhattacharyya,2.7031008071369595,higher,2.7031008071369595,non_thinking,10,7.4629401034779015,higher,7.4629401034779015,-4.759839296340942
Qwen3-8B,native_thinking,0,1,10,nc2_class_cosine_deviation,0.26320450431034886,lower,-0.26320450431034886,non_thinking,10,0.5957580343992621,lower,-0.5957580343992621,0.33255353008891325
Qwen3-8B,native_thinking,0,2,10,logistic_precision,0.5,higher,0.5,non_thinking,10,0.3076923076923077,higher,0.3076923076923077,0.1923076923076923
Qwen3-8B,native_thinking,0,2,10,logistic_recall,0.2,higher,0.2,non_thinking,10,0.4,higher,0.4,-0.2
Qwen3-8B,native_thinking,0,2,10,logistic_f1,0.2857142857142857,higher,0.2857142857142857,non_thinking,10,0.34782608695652173,higher,0.34782608695652173,-0.06211180124223603
Qwen3-8B,native_thinking,0,2,10,ncc_recall,0.0,higher,0.0,non_thinking,10,0.3,higher,0.3,-0.3
Qwen3-8B,native_thinking,0,2,10,silhouette_cosine,-0.0015269018476828933,higher,-0.0015269018476828933,non_thinking,10,-0.12951765954494476,higher,-0.12951765954494476,0.12799075769726187
Qwen3-8B,native_thinking,0,2,10,within_trace,911.100341796875,lower,-911.100341796875,non_thinking,10,4787.30712890625,lower,-4787.30712890625,3876.206787109375
Qwen3-8B,native_thinking,0,2,10,class_nc1_ratio,5.2618089686218745,lower,-5.2618089686218745,non_thinking,10,3.201352350725169,lower,-3.201352350725169,-2.0604566178967056
Qwen3-8B,native_thinking,0,2,10,centroid_nearest_squared,178.86611938476562,higher,178.86611938476562,non_thinking,10,792.7999267578125,higher,792.7999267578125,-613.9338073730469
Qwen3-8B,native_thinking,0,2,10,fisher_nearest,0.19631879297949256,higher,0.19631879297949256,non_thinking,10,0.16560456753877467,higher,0.16560456753877467,0.03071422544071789
Qwen3-8B,native_thinking,0,2,10,min_bhattacharyya,2.2243714779615402,higher,2.2243714779615402,non_thinking,10,2.0492016673088074,higher,2.0492016673088074,0.17516981065273285
Qwen3-8B,native_thinking,0,2,10,mean_bhattacharyya,4.5191876457797155,higher,4.5191876457797155,non_thinking,10,4.3739269706938,higher,4.3739269706938,0.14526067508591556
Qwen3-8B,native_thinking,0,2,10,nc2_class_cosine_deviation,0.24311353027084726,lower,-0.24311353027084726,non_thinking,10,0.6166515990539833,lower,-0.6166515990539833,0.373538068783136
Qwen3-8B,native_thinking,0,3,9,logistic_precision,0.1,higher,0.1,non_thinking,10,0.2727272727272727,higher,0.2727272727272727,-0.1727272727272727
Qwen3-8B,native_thinking,0,3,9,logistic_recall,0.2222222222222222,higher,0.2222222222222222,non_thinking,10,0.3,higher,0.3,-0.07777777777777778
Qwen3-8B,native_thinking,0,3,9,logistic_f1,0.13793103448275862,higher,0.13793103448275862,non_thinking,10,0.2857142857142857,higher,0.2857142857142857,-0.14778325123152708
Qwen3-8B,native_thinking,0,3,9,ncc_recall,0.3333333333333333,higher,0.3333333333333333,non_thinking,10,0.3,higher,0.3,0.033333333333333326
Qwen3-8B,native_thinking,0,3,9,silhouette_cosine,-0.2217162549495697,higher,-0.2217162549495697,non_thinking,10,-0.11685553938150406,higher,-0.11685553938150406,-0.10486071556806564
Qwen3-8B,native_thinking,0,3,9,within_trace,3316.24755859375,lower,-3316.24755859375,non_thinking,10,3863.494384765625,lower,-3863.494384765625,547.246826171875
Qwen3-8B,native_thinking,0,3,9,class_nc1_ratio,9.162134689655861,lower,-9.162134689655861,non_thinking,10,8.357123594024591,lower,-8.357123594024591,-0.8050110956312704
Qwen3-8B,native_thinking,0,3,9,centroid_nearest_squared,347.31512451171875,higher,347.31512451171875,non_thinking,10,560.3903198242188,higher,560.3903198242188,-213.0751953125
Qwen3-8B,native_thinking,0,3,9,fisher_nearest,0.10473136229280701,higher,0.10473136229280701,non_thinking,10,0.14504753055522152,higher,0.14504753055522152,-0.040316168262414506
Qwen3-8B,native_thinking,0,3,9,min_bhattacharyya,1.716517373919487,higher,1.716517373919487,non_thinking,10,2.1031969785690308,higher,2.1031969785690308,-0.38667960464954376
Qwen3-8B,native_thinking,0,3,9,mean_bhattacharyya,3.451847591333919,higher,3.451847591333919,non_thinking,10,3.337482339806027,higher,3.337482339806027,0.11436525152789212
Qwen3-8B,native_thinking,0,3,9,nc2_class_cosine_deviation,0.258615736608152,lower,-0.258615736608152,non_thinking,10,0.5068305592845986,lower,-0.5068305592845986,0.24821482267644662
Qwen3-8B,native_thinking,0,4,9,logistic_precision,0.0,higher,0.0,non_thinking,10,0.2,higher,0.2,-0.2
Qwen3-8B,native_thinking,0,4,9,logistic_recall,0.0,higher,0.0,non_thinking,10,0.2,higher,0.2,-0.2
Qwen3-8B,native_thinking,0,4,9,logistic_f1,0.0,higher,0.0,non_thinking,10,0.2,higher,0.2,-0.2
Qwen3-8B,native_thinking,0,4,9,ncc_recall,0.0,higher,0.0,non_thinking,10,0.2,higher,0.2,-0.2
Qwen3-8B,native_thinking,0,4,9,silhouette_cosine,-0.26310110092163086,higher,-0.26310110092163086,non_thinking,10,-0.18613824248313904,higher,-0.18613824248313904,-0.07696285843849182
Qwen3-8B,native_thinking,0,4,9,within_trace,2972.979736328125,lower,-2972.979736328125,non_thinking,10,3805.408203125,lower,-3805.408203125,832.428466796875
Qwen3-8B,native_thinking,0,4,9,class_nc1_ratio,19.742505799368665,lower,-19.742505799368665,non_thinking,10,29.31351757425122,lower,-29.31351757425122,9.571011774882557
Qwen3-8B,native_thinking,0,4,9,centroid_nearest_squared,195.5050811767578,higher,195.5050811767578,non_thinking,10,161.43084716796875,higher,161.43084716796875,34.07423400878906
Qwen3-8B,native_thinking,0,4,9,fisher_nearest,0.06576065043020532,higher,0.06576065043020532,non_thinking,10,0.04242142722964695,higher,0.04242142722964695,0.023339223200558368
Qwen3-8B,native_thinking,0,4,9,min_bhattacharyya,1.2150605916976929,higher,1.2150605916976929,non_thinking,10,1.3310633599758148,higher,1.3310633599758148,-0.11600276827812195
Qwen3-8B,native_thinking,0,4,9,mean_bhattacharyya,2.79172782599926,higher,2.79172782599926,non_thinking,10,2.597359514898724,higher,2.597359514898724,0.19436831110053587
Qwen3-8B,native_thinking,0,4,9,nc2_class_cosine_deviation,0.33204269309723633,lower,-0.33204269309723633,non_thinking,10,0.12311758629885722,lower,-0.12311758629885722,-0.2089251067983791
Qwen3-8B,native_thinking,0,5,9,logistic_precision,0.0625,higher,0.0625,non_thinking,10,0.16666666666666666,higher,0.16666666666666666,-0.10416666666666666
Qwen3-8B,native_thinking,0,5,9,logistic_recall,0.1111111111111111,higher,0.1111111111111111,non_thinking,10,0.1,higher,0.1,0.0111111111111111
Qwen3-8B,native_thinking,0,5,9,logistic_f1,0.08,higher,0.08,non_thinking,10,0.125,higher,0.125,-0.045
Qwen3-8B,native_thinking,0,5,9,ncc_recall,0.2222222222222222,higher,0.2222222222222222,non_thinking,10,0.2,higher,0.2,0.0222222222222222
Qwen3-8B,native_thinking,0,5,9,silhouette_cosine,-0.20096677541732788,higher,-0.20096677541732788,non_thinking,10,-0.1633758246898651,higher,-0.1633758246898651,-0.03759095072746277
Qwen3-8B,native_thinking,0,5,9,within_trace,1230.7420654296875,lower,-1230.7420654296875,non_thinking,10,3877.0947265625,lower,-3877.0947265625,2646.3526611328125
Qwen3-8B,native_thinking,0,5,9,class_nc1_ratio,12.68554408030385,lower,-12.68554408030385,non_thinking,10,16.38770636765492,lower,-16.38770636765492,3.7021622873510704
Qwen3-8B,native_thinking,0,5,9,centroid_nearest_squared,164.2894287109375,higher,164.2894287109375,non_thinking,10,161.43084716796875,higher,161.43084716796875,2.85858154296875
Qwen3-8B,native_thinking,0,5,9,fisher_nearest,0.13348810715556336,higher,0.13348810715556336,non_thinking,10,0.041637065522795766,higher,0.041637065522795766,0.0918510416327676
Qwen3-8B,native_thinking,0,5,9,min_bhattacharyya,2.196902558207512,higher,2.196902558207512,non_thinking,10,1.3310633599758148,higher,1.3310633599758148,0.8658391982316971
Qwen3-8B,native_thinking,0,5,9,mean_bhattacharyya,3.4172182199027805,higher,3.4172182199027805,non_thinking,10,2.865675585137473,higher,2.865675585137473,0.5515426347653074
Qwen3-8B,native_thinking,0,5,9,nc2_class_cosine_deviation,0.29158870390627856,lower,-0.29158870390627856,non_thinking,10,0.3996862021309358,lower,-0.3996862021309358,0.10809749822465725
Qwen3-8B,native_thinking,0,6,9,logistic_precision,0.0,higher,0.0,non_thinking,10,0.375,higher,0.375,-0.375
Qwen3-8B,native_thinking,0,6,9,logistic_recall,0.0,higher,0.0,non_thinking,10,0.3,higher,0.3,-0.3
Qwen3-8B,native_thinking,0,6,9,logistic_f1,0.0,higher,0.0,non_thinking,10,0.3333333333333333,higher,0.3333333333333333,-0.3333333333333333
Qwen3-8B,native_thinking,0,6,9,ncc_recall,0.0,higher,0.0,non_thinking,10,0.1,higher,0.1,-0.1
Qwen3-8B,native_thinking,0,6,9,silhouette_cosine,-0.2509932219982147,higher,-0.2509932219982147,non_thinking,10,-0.14869552850723267,higher,-0.14869552850723267,-0.10229769349098206
Qwen3-8B,native_thinking,0,6,9,within_trace,1157.606201171875,lower,-1157.606201171875,non_thinking,10,2148.250732421875,lower,-2148.250732421875,990.64453125
Qwen3-8B,native_thinking,0,6,9,class_nc1_ratio,17.912424054549568,lower,-17.912424054549568,non_thinking,10,7.584027653283231,lower,-7.584027653283231,-10.328396401266337
Qwen3-8B,native_thinking,0,6,9,centroid_nearest_squared,164.2894287109375,higher,164.2894287109375,non_thinking,10,176.52989196777344,higher,176.52989196777344,-12.240463256835938
Qwen3-8B,native_thinking,0,6,9,fisher_nearest,0.14192169024718684,higher,0.14192169024718684,non_thinking,10,0.0821737841414623,higher,0.0821737841414623,0.059747906105724544
Qwen3-8B,native_thinking,0,6,9,min_bhattacharyya,2.2109233736991882,higher,2.2109233736991882,non_thinking,10,1.1823402643203735,higher,1.1823402643203735,1.0285831093788147
Qwen3-8B,native_thinking,0,6,9,mean_bhattacharyya,3.0456102391084037,higher,3.0456102391084037,non_thinking,10,2.9856464001867504,higher,2.9856464001867504,0.059963838921653245
Qwen3-8B,native_thinking,0,6,9,nc2_class_cosine_deviation,0.15021801293241205,lower,-0.15021801293241205,non_thinking,10,0.6618389298242552,lower,-0.6618389298242552,0.5116209168918431
Qwen3-8B,native_thinking,0,7,9,logistic_precision,0.0,higher,0.0,non_thinking,10,0.42857142857142855,higher,0.42857142857142855,-0.42857142857142855
Qwen3-8B,native_thinking,0,7,9,logistic_recall,0.0,higher,0.0,non_thinking,10,0.3,higher,0.3,-0.3
Qwen3-8B,native_thinking,0,7,9,logistic_f1,0.0,higher,0.0,non_thinking,10,0.35294117647058826,higher,0.35294117647058826,-0.35294117647058826
Qwen3-8B,native_thinking,0,7,9,ncc_recall,0.1111111111111111,higher,0.1111111111111111,non_thinking,10,0.1,higher,0.1,0.0111111111111111
