model_label,mode,layer,occurrence,n_confirmation_class,metric,value,quality_direction,quality_value
Qwen3-8B,non_thinking,0,1,10,logistic_precision,0.5384615384615384,higher,0.5384615384615384
Qwen3-8B,non_thinking,0,1,10,logistic_recall,0.7,higher,0.7
Qwen3-8B,non_thinking,0,1,10,logistic_f1,0.6086956521739131,higher,0.6086956521739131
Qwen3-8B,non_thinking,0,1,10,ncc_recall,1.0,higher,1.0
Qwen3-8B,non_thinking,0,1,10,silhouette_cosine,0.17532525956630707,higher,0.17532525956630707
Qwen3-8B,non_thinking,0,1,10,within_trace,3618.63037109375,lower,-3618.63037109375
Qwen3-8B,non_thinking,0,1,10,class_nc1_ratio,1.403498756618809,lower,-1.403498756618809
Qwen3-8B,non_thinking,0,1,10,centroid_nearest_squared,792.7999267578125,higher,792.7999267578125
Qwen3-8B,non_thinking,0,1,10,fisher_nearest,0.21908839683954362,higher,0.21908839683954362
Qwen3-8B,non_thinking,0,1,10,min_bhattacharyya,2.0492016673088074,higher,2.0492016673088074
Qwen3-8B,non_thinking,0,1,10,mean_bhattacharyya,7.4629401034779015,higher,7.4629401034779015
Qwen3-8B,non_thinking,0,1,10,nc2_class_cosine_deviation,0.5957580343992621,lower,-0.5957580343992621
Qwen3-8B,non_thinking,0,2,10,logistic_precision,0.3076923076923077,higher,0.3076923076923077
Qwen3-8B,non_thinking,0,2,10,logistic_recall,0.4,higher,0.4
Qwen3-8B,non_thinking,0,2,10,logistic_f1,0.34782608695652173,higher,0.34782608695652173
Qwen3-8B,non_thinking,0,2,10,ncc_recall,0.3,higher,0.3
Qwen3-8B,non_thinking,0,2,10,silhouette_cosine,-0.12951765954494476,higher,-0.12951765954494476
Qwen3-8B,non_thinking,0,2,10,within_trace,4787.30712890625,lower,-4787.30712890625
Qwen3-8B,non_thinking,0,2,10,class_nc1_ratio,3.201352350725169,lower,-3.201352350725169
Qwen3-8B,non_thinking,0,2,10,centroid_nearest_squared,792.7999267578125,higher,792.7999267578125
Qwen3-8B,non_thinking,0,2,10,fisher_nearest,0.16560456753877467,higher,0.16560456753877467
Qwen3-8B,non_thinking,0,2,10,min_bhattacharyya,2.0492016673088074,higher,2.0492016673088074
Qwen3-8B,non_thinking,0,2,10,mean_bhattacharyya,4.3739269706938,higher,4.3739269706938
Qwen3-8B,non_thinking,0,2,10,nc2_class_cosine_deviation,0.6166515990539833,lower,-0.6166515990539833
Qwen3-8B,non_thinking,0,3,10,logistic_precision,0.2727272727272727,higher,0.2727272727272727
Qwen3-8B,non_thinking,0,3,10,logistic_recall,0.3,higher,0.3
