model_label,mode,layer,metric,quality_direction,quality_slope_per_index,quality_spearman,late_8_10_minus_early_1_3
Qwen3-8B,non_thinking,0,centroid_nearest_squared,higher,-62.36356386126891,-0.3792208524324131,-455.37332153320307
Qwen3-8B,non_thinking,0,class_nc1_ratio,lower,0.4626970184891734,0.0303030303030303,0.6743944236267558
Qwen3-8B,non_thinking,0,fisher_nearest,higher,-0.008163640369898995,-0.34545454545454546,-0.05387474166166831
Qwen3-8B,non_thinking,0,logistic_f1,higher,-0.045194343877208304,-0.6747751534848716,-0.3561076604554866
Qwen3-8B,non_thinking,0,logistic_precision,higher,-0.03874342828888282,-0.6747751534848716,-0.32167832167832167
Qwen3-8B,non_thinking,0,logistic_recall,higher,-0.052727272727272685,-0.765563379462524,-0.4000000000000001
Qwen3-8B,non_thinking,0,mean_bhattacharyya,higher,-0.22505477783254466,-0.12727272727272726,-1.4408956964810682
Qwen3-8B,non_thinking,0,min_bhattacharyya,higher,-0.0922119342919551,-0.4846990641204805,-0.7079667846361795
Qwen3-8B,non_thinking,0,nc2_class_cosine_deviation,lower,-0.013738744496028178,-0.2727272727272727,-0.01970176030824211
Qwen3-8B,non_thinking,0,ncc_recall,higher,-0.03272727272727269,-0.3365809164030446,-0.2
Qwen3-8B,non_thinking,0,silhouette_cosine,higher,-0.00886444528446051,0.09090909090909088,-0.04005840793251991
Qwen3-8B,non_thinking,0,within_trace,lower,261.2876309481535,0.709090909090909,1855.979939778646
Qwen3-8B,native_thinking,0,centroid_nearest_squared,higher,3.204988976680872,-0.06079055436800646,-8.03765869140625
Qwen3-8B,native_thinking,0,class_nc1_ratio,lower,-0.24908485094649258,-0.0303030303030303,-2.2345060901851337
Qwen3-8B,native_thinking,0,fisher_nearest,higher,-0.003505244110040027,-0.10303030303030303,-0.029620583247068163
Qwen3-8B,native_thinking,0,logistic_f1,higher,-0.025930948964020643,-0.4877382115949635,-0.19066097203499094
Qwen3-8B,native_thinking,0,logistic_precision,higher,-0.03814935064935064,-0.38768934767804786,-0.27738095238095245
Qwen3-8B,native_thinking,0,logistic_recall,higher,-0.021481481481481476,-0.5448387720947954,-0.16666666666666666
Qwen3-8B,native_thinking,0,mean_bhattacharyya,higher,-0.0643668200632539,-0.22424242424242422,-0.6526270326640873
Qwen3-8B,native_thinking,0,min_bhattacharyya,higher,-0.002566874569112616,0.042683720332337284,-0.06009913980960846
Qwen3-8B,native_thinking,0,nc2_class_cosine_deviation,lower,0.011865920523231039,0.4787878787878787,0.052780045004783865
Qwen3-8B,native_thinking,0,ncc_recall,higher,-0.03333333333333332,-0.4541243840942217,-0.2407407407407407
Qwen3-8B,native_thinking,0,silhouette_cosine,higher,-0.010100657421615767,-0.24848484848484845,-0.07385195966344327
Qwen3-8B,native_thinking,0,within_trace,lower,-56.20662656841856,-0.22424242424242422,-177.90063476562523
Qwen3-8B,non_thinking,1,centroid_nearest_squared,higher,-420.3965370871801,-0.8719674296463189,-2706.025136311849
Qwen3-8B,non_thinking,1,class_nc1_ratio,lower,0.1257311220703734,0.18787878787878787,0.7235708926445823
Qwen3-8B,non_thinking,1,fisher_nearest,higher,-0.16228668887792952,-0.5515151515151515,-1.0129803004712785
Qwen3-8B,non_thinking,1,logistic_f1,higher,-0.027705403165357367,-0.4863244349440517,-0.24482292688242352
Qwen3-8B,non_thinking,1,logistic_precision,higher,-0.015418991782628124,-0.3353720883255073,-0.16920486920486916
Qwen3-8B,non_thinking,1,logistic_recall,higher,-0.03515151515151515,-0.5081391846066426,-0.3
Qwen3-8B,non_thinking,1,mean_bhattacharyya,higher,-1.2027170072902316,0.35757575757575755,-6.928710104138762
Qwen3-8B,non_thinking,1,min_bhattacharyya,higher,-0.452878731308561,-0.8685380813774621,-2.940372894207637
Qwen3-8B,non_thinking,1,nc2_class_cosine_deviation,lower,-0.02245138618625418,-0.5030303030303029,-0.17469047425399087
Qwen3-8B,non_thinking,1,ncc_recall,higher,-0.04181818181818179,-0.23242568374889835,-0.26666666666666666
Qwen3-8B,non_thinking,1,silhouette_cosine,higher,-0.04130360615072821,0.04242424242424241,-0.24920573582251865
Qwen3-8B,non_thinking,1,within_trace,lower,257.2806056167141,0.7454545454545454,1886.7008056640625
Qwen3-8B,native_thinking,1,centroid_nearest_squared,higher,0.4441412723425816,0.03048837166595521,-31.824559529622405
Qwen3-8B,native_thinking,1,class_nc1_ratio,lower,-0.3267511837903774,-0.34545454545454546,-2.9715605328175734
Qwen3-8B,native_thinking,1,fisher_nearest,higher,-0.003302124086092374,-0.2121212121212121,-0.03350782426883943
Qwen3-8B,native_thinking,1,logistic_f1,higher,-0.025176767676767676,-0.3261924510952317,-0.20694444444444443
Qwen3-8B,native_thinking,1,logistic_precision,higher,-0.03408410759201271,-0.3129069907613229,-0.2327129995608257
Qwen3-8B,native_thinking,1,logistic_recall,higher,-0.01851851851851851,-0.21745842891752115,-0.18148148148148152
Qwen3-8B,native_thinking,1,mean_bhattacharyya,higher,-0.0010822500444021416,0.11515151515151514,0.06609912271852814
Qwen3-8B,native_thinking,1,min_bhattacharyya,higher,-0.029543460770086776,-0.2561023219940237,-0.16427446901798248
Qwen3-8B,native_thinking,1,nc2_class_cosine_deviation,lower,0.0007586745414959618,-0.006060606060606061,-0.02567887375966757
Qwen3-8B,native_thinking,1,ncc_recall,higher,-0.01851851851851849,-0.19462473604038072,-0.09259259259259253
Qwen3-8B,native_thinking,1,silhouette_cosine,higher,-0.007085145242286452,-0.4545454545454545,-0.050802533825238555
Qwen3-8B,native_thinking,1,within_trace,lower,-77.58370620265165,-0.33333333333333326,-536.25830078125
Qwen3-8B,non_thinking,2,centroid_nearest_squared,higher,-422.74826738762084,-0.8353813836471727,-2666.3907508850098
Qwen3-8B,non_thinking,2,class_nc1_ratio,lower,0.368855574964591,0.22424242424242422,2.42640239513584
Qwen3-8B,non_thinking,2,fisher_nearest,higher,-0.41162644689742617,-0.709090909090909,-2.531683171132272
Qwen3-8B,non_thinking,2,logistic_f1,higher,-0.07909681295552386,-0.8528249356043897,-0.5500932962233271
Qwen3-8B,non_thinking,2,logistic_precision,higher,-0.0904401154401154,-0.8528249356043897,-0.6488095238095237
Qwen3-8B,non_thinking,2,logistic_recall,higher,-0.06969696969696966,-0.8511944217628685,-0.46666666666666656
Qwen3-8B,non_thinking,2,mean_bhattacharyya,higher,-1.9580913174031938,0.35757575757575755,-11.515519075923498
Qwen3-8B,non_thinking,2,min_bhattacharyya,higher,-1.1328215429277115,-0.6238794669049376,-7.009391774733861
Qwen3-8B,non_thinking,2,nc2_class_cosine_deviation,lower,-0.031588619767928275,-0.6969696969696969,-0.24741663950890203
Qwen3-8B,non_thinking,2,ncc_recall,higher,-0.054545454545454494,-0.250932930669947,-0.36666666666666675
Qwen3-8B,non_thinking,2,silhouette_cosine,higher,-0.047067647585363026,0.12727272727272726,-0.26443561663230264
Qwen3-8B,non_thinking,2,within_trace,lower,181.23431803385435,0.43030303030303024,1416.5839436848958
Qwen3-8B,native_thinking,2,centroid_nearest_squared,higher,-2.268876509232946,-0.09146511499786562,-47.77765909830728
Qwen3-8B,native_thinking,2,class_nc1_ratio,lower,-0.273937942045244,-0.4424242424242424,-3.127208969080332
Qwen3-8B,native_thinking,2,fisher_nearest,higher,-0.0028022982147397736,-0.5151515151515151,-0.030592408435743623
Qwen3-8B,native_thinking,2,logistic_f1,higher,-0.0462002202972275,-0.4451302263229461,-0.37669609754233074
Qwen3-8B,native_thinking,2,logistic_precision,higher,-0.05061218243036424,-0.4451302263229461,-0.40185185185185185
Qwen3-8B,native_thinking,2,logistic_recall,higher,-0.04161616161616161,-0.5260160211159278,-0.35555555555555546
Qwen3-8B,native_thinking,2,mean_bhattacharyya,higher,-0.026508833041496233,-0.24848484848484845,-0.15360594899566138
Qwen3-8B,native_thinking,2,min_bhattacharyya,higher,-0.03989784130544367,-0.2439069733276417,-0.1923896074295044
Qwen3-8B,native_thinking,2,nc2_class_cosine_deviation,lower,0.0024843241761585144,0.10303030303030303,-0.015379577269586053
Qwen3-8B,native_thinking,2,ncc_recall,higher,-0.04242424242424241,-0.5012804118276031,-0.2962962962962963
Qwen3-8B,native_thinking,2,silhouette_cosine,higher,-0.006898386099121784,-0.3696969696969697,-0.05117156108220418
Qwen3-8B,native_thinking,2,within_trace,lower,-46.22621256510424,-0.2121212121212121,-227.45357259114553
Qwen3-8B,non_thinking,3,centroid_nearest_squared,higher,-431.17803270744514,-0.9207488243118473,-2729.390942891439
Qwen3-8B,non_thinking,3,class_nc1_ratio,lower,0.31661950831904023,0.16363636363636364,2.254757078192602
Qwen3-8B,non_thinking,3,fisher_nearest,higher,-0.40668556174482595,-0.709090909090909,-2.5145472617944424
Qwen3-8B,non_thinking,3,logistic_f1,higher,-0.05244991251464651,-0.38181818181818183,-0.3990835675046201
Qwen3-8B,non_thinking,3,logistic_precision,higher,-0.05779745507018229,-0.4424242424242424,-0.4382154882154882
Qwen3-8B,non_thinking,3,logistic_recall,higher,-0.04787878787878781,-0.41107388982369863,-0.3666666666666666
Qwen3-8B,non_thinking,3,mean_bhattacharyya,higher,-2.356694108588924,0.28484848484848485,-14.07730542730402
Qwen3-8B,non_thinking,3,min_bhattacharyya,higher,-1.3118961267399047,-0.807373427759331,-8.18499572078387
Qwen3-8B,non_thinking,3,nc2_class_cosine_deviation,lower,-0.03133982571460004,-0.7818181818181817,-0.2348982774625713
Qwen3-8B,non_thinking,3,ncc_recall,higher,-0.05636363636363632,-0.28229954700369037,-0.3666666666666666
Qwen3-8B,non_thinking,3,silhouette_cosine,higher,-0.045787657797336505,0.18787878787878787,-0.2515903984506925
Qwen3-8B,non_thinking,3,within_trace,lower,118.56271935665264,0.3696969696969697,960.6272583007815
Qwen3-8B,native_thinking,3,centroid_nearest_squared,higher,-4.476956361712808,0.1158558123306298,-36.418787638346345
Qwen3-8B,native_thinking,3,class_nc1_ratio,lower,-0.22504917220795298,-0.4666666666666666,-4.198640403692684
Qwen3-8B,native_thinking,3,fisher_nearest,higher,-0.0025628793750740535,-0.4424242424242424,-0.020597094831036555
Qwen3-8B,native_thinking,3,logistic_f1,higher,-0.07187986305633363,-0.5896683773696627,-0.5467320261437909
Qwen3-8B,native_thinking,3,logistic_precision,higher,-0.08922558922558917,-0.5896683773696627,-0.6990740740740741
Qwen3-8B,native_thinking,3,logistic_recall,higher,-0.055757575757575735,-0.637920720923339,-0.3925925925925925
Qwen3-8B,native_thinking,3,mean_bhattacharyya,higher,-0.056136227115637496,-0.38181818181818183,-0.3979731820247787
Qwen3-8B,native_thinking,3,min_bhattacharyya,higher,-0.050020122166835906,-0.48171627232209224,-0.30519622564315796
Qwen3-8B,native_thinking,3,nc2_class_cosine_deviation,lower,0.002917150676451148,0.4787878787878787,0.0023853744805595045
Qwen3-8B,native_thinking,3,ncc_recall,higher,-0.04060606060606059,-0.4930493313022979,-0.2925925925925926
Qwen3-8B,native_thinking,3,silhouette_cosine,higher,-0.00635276908675829,-0.29696969696969694,-0.04679752513766289
Qwen3-8B,native_thinking,3,within_trace,lower,-22.687228116122238,-0.24848484848484845,-160.7159423828125
Qwen3-8B,non_thinking,4,centroid_nearest_squared,higher,-345.2317630652221,-0.8685380813774621,-2196.437327067057
Qwen3-8B,non_thinking,4,class_nc1_ratio,lower,0.2681443966038474,0.07878787878787878,1.2297103371106632
Qwen3-8B,non_thinking,4,fisher_nearest,higher,-0.3935008465550797,-0.7575757575757575,-2.440583583293369
Qwen3-8B,non_thinking,4,logistic_f1,higher,-0.07063365320514818,-0.9240164263936983,-0.4832160593030159
Qwen3-8B,non_thinking,4,logistic_precision,higher,-0.06193695193695191,-0.8267515394048879,-0.39957264957264954
Qwen3-8B,non_thinking,4,logistic_recall,higher,-0.07515151515151516,-0.8493312877573959,-0.5333333333333333
Qwen3-8B,non_thinking,4,mean_bhattacharyya,higher,-1.8185707259659785,0.2121212121212121,-11.016108636502869
Qwen3-8B,non_thinking,4,min_bhattacharyya,higher,-1.114549266479231,-0.9207488243118473,-6.985686505834262
