model_label,role,site,population,observations,samples,mean_noise_total_rms,rms_noise_total,parallel_energy_share,orthogonal_energy_share,first_count_axis_energy_share,parallel_plus_orthogonal_error
Gemma4-E4B,prompt_running,needle_span_end,all_confirmation,3000,300,0.331583482219769,0.3448862661029703,0.169098519418999,0.830901480581001,0.11673717449894655,0.0
Gemma4-E4B,prompt_running,needle_span_end,correct_only_confirmation,1270,127,0.34336130876961773,0.3579124157946299,0.1673227580192782,0.8326772419807218,0.11643308844076129,0.0
Gemma4-E4B,trace_running,all_sites,all_confirmation,61464,1199,0.6237351277848721,0.6670401432772396,0.14365451168037618,0.8563454883196239,0.050722174829703495,0.0
Gemma4-E4B,trace_running,all_sites,correct_only_confirmation,61452,1198,0.6236917350874206,0.6669957381060029,0.14367538516636583,0.8563246148336342,0.050726066543060395,0.0
Gemma4-E4B,trace_running,city_end,all_confirmation,5122,1199,0.6607919013693382,0.6842104005674442,0.18559321709897883,0.8144067829010212,0.021744904121336013,0.0
Gemma4-E4B,trace_running,city_end,correct_only_confirmation,5121,1198,0.6607548933066323,0.6841740275857233,0.18560485221246703,0.814395147787533,0.021723453651110527,0.0
Gemma4-E4B,trace_running,city_middle,all_confirmation,5122,1199,0.7714284212463897,0.7889678969717112,0.0993471540050014,0.9006528459949986,0.01450598640121919,0.0
Gemma4-E4B,trace_running,city_middle,correct_only_confirmation,5121,1198,0.7714141485131726,0.788956667274647,0.09934728760446171,0.9006527123955383,0.014492055212711292,0.0
Gemma4-E4B,trace_running,city_span_mean,all_confirmation,5122,1199,0.6493382296114807,0.6728285251735453,0.15957518126295056,0.8404248187370494,0.0268840514394156,0.0
Gemma4-E4B,trace_running,city_span_mean,correct_only_confirmation,5121,1198,0.6492783260413811,0.6727615605767195,0.15957308324817682,0.8404269167518231,0.026841478357966495,0.0
Gemma4-E4B,trace_running,city_start,all_confirmation,5122,1199,0.6353425703865534,0.6563557597635514,0.05255452032264775,0.9474454796773523,0.0236394975952918,0.0
Gemma4-E4B,trace_running,city_start,correct_only_confirmation,5121,1198,0.6353591051171221,0.6563747359681674,0.05255503687862429,0.9474449631213757,0.023639419080490044,0.0
Gemma4-E4B,trace_running,item_end,all_confirmation,5122,1199,0.8119327689077335,0.8382685342900591,0.11128418524879867,0.8887158147512013,0.04548460958321549,0.0
