model_label,running_index,city,noise_total_rms__count,noise_total_rms__mean,noise_total_rms__std,noise_total_rms__median,noise_orthogonal_rms__count,noise_orthogonal_rms__mean,noise_orthogonal_rms__std,noise_orthogonal_rms__median,count_axis_deviation_abs__count,count_axis_deviation_abs__mean,count_axis_deviation_abs__std,count_axis_deviation_abs__median
Gemma4-E4B,1,Almaty,1,0.2393136220184906,,0.2393136220184906,1,0.2340494798749045,,0.2340494798749045,1,0.3018230497837066,,0.3018230497837066
Gemma4-E4B,1,Amsterdam,1,0.2108133727891657,,0.2108133727891657,1,0.2073135421239792,,0.2073135421239792,1,0.1688129603862762,,0.1688129603862762
Gemma4-E4B,1,Astana,1,0.2278411039335584,,0.2278411039335584,1,0.2239403954551534,,0.2239403954551534,1,0.2415842711925506,,0.2415842711925506
Gemma4-E4B,1,Athens,1,0.2540108333289868,,0.2540108333289868,1,0.2525859375586738,,0.2525859375586738,1,0.353552758693695,,0.353552758693695
Gemma4-E4B,1,Baku,1,0.1909705438443807,,0.1909705438443807,1,0.1903255212443858,,0.1903255212443858,1,0.835405170917511,,0.835405170917511
Gemma4-E4B,1,Bengaluru,1,0.4406424065797337,,0.4406424065797337,1,0.4386915177599372,,0.4386915177599372,1,0.0057532042264938,,0.0057532042264938
Gemma4-E4B,1,Berlin,2,0.29029884518569066,0.10996725641880775,0.29029884518569066,2,0.2842723020006819,0.1083366281533486,0.2842723020006819,2,2.2504882216453557,2.062301352946565,2.2504882216453557
Gemma4-E4B,1,Buenos Aires,3,0.2848103914316386,0.13959226418960868,0.2254541317542327,3,0.2826358138496309,0.13900234787398863,0.2226840354708593,3,0.509321242570877,0.4213066233763998,0.412462055683136
Gemma4-E4B,1,Busan,1,0.231483462766716,,0.231483462766716,1,0.2310541167460257,,0.2310541167460257,1,0.3215327560901642,,0.3215327560901642
Gemma4-E4B,1,Chengdu,2,0.20323260011800565,0.005268076094668076,0.20323260011800565,2,0.1983765334628241,0.005924174090390977,0.1983765334628241,2,1.183163583278656,0.9217455920807639,1.183163583278656
Gemma4-E4B,1,Chennai,2,0.2101354106861233,0.04242550822560365,0.2101354106861233,2,0.20755441719013265,0.04485884090380296,0.20755441719013265,2,0.8592520952224731,0.2613005141112944,0.8592520952224731
Gemma4-E4B,1,Chicago,1,0.1816688925784638,,0.1816688925784638,1,0.1813863933885759,,0.1813863933885759,1,0.3824094235897064,,0.3824094235897064
Gemma4-E4B,1,Colombo,1,0.2001783931374561,,0.2001783931374561,1,0.1944647228207709,,0.1944647228207709,1,1.7593703269958496,,1.7593703269958496
Gemma4-E4B,1,Dhaka,3,0.23821282819879785,0.07154712564660316,0.2531921674363625,3,0.23284674294648045,0.06970093087889305,0.2449802996403289,3,1.7213983337084453,1.0196641491961516,1.3830454349517822
Gemma4-E4B,1,Dublin,3,0.29302714963306625,0.16364268250469677,0.2027140201059734,3,0.29002089500325035,0.16406257524423049,0.2006847938587588,3,0.6337681412696838,0.39311054291502173,0.6917884349822998
Gemma4-E4B,1,Geneva,3,0.22035151052610258,0.02876427920363649,0.2260699080186009,3,0.21946845132129855,0.02859522170972199,0.2256181067776497,3,0.43711215257644653,0.21195635873649413,0.5566933155059814
Gemma4-E4B,1,Guangzhou,1,0.2728028698387103,,0.2728028698387103,1,0.2716420041508119,,0.2716420041508119,1,0.5626188516616821,,0.5626188516616821
