model_label,site,running_index,marker_kind,trace_order_class,noise_total_rms__count,noise_total_rms__mean,noise_total_rms__std,noise_total_rms__median,noise_orthogonal_rms__count,noise_orthogonal_rms__mean,noise_orthogonal_rms__std,noise_orthogonal_rms__median,count_axis_deviation_abs__count,count_axis_deviation_abs__mean,count_axis_deviation_abs__std,count_axis_deviation_abs__median
Gemma4-E4B,city_end,1,audit_sentence,forward,71,0.6507520818182523,0.03937667848257947,0.642630104814877,71,0.5766330572213135,0.043943328055770704,0.5680085577296341,71,7.180099253083618,2.4818133220735223,6.986912727355957
Gemma4-E4B,city_end,1,audit_sentence,other_permutation,1,0.6457232555798427,,0.6457232555798427,1,0.5645309131516018,,0.5645309131516018,1,7.9301981925964355,,7.9301981925964355
Gemma4-E4B,city_end,1,bullet,forward,145,0.8358873196904464,0.170635426730778,0.8998167911127016,145,0.7602224913730479,0.17413332387518038,0.8215705238672156,145,8.278109566096601,2.9124015511822714,8.920008659362793
Gemma4-E4B,city_end,1,bullet,other_permutation,6,0.739977544800077,0.1707538057425403,0.6584200073494588,6,0.6599145026348353,0.1647904304550147,0.5698193078997531,6,7.384299198786418,1.6865845341590733,7.366515636444092
Gemma4-E4B,city_end,1,completion_recap,forward,2,0.9375599283822136,0.30223441024100917,0.9375599283822136,2,0.8880223865427215,0.31498279267043017,0.8880223865427215,2,5.869647979736328,2.4696866372129835,5.869647979736328
Gemma4-E4B,city_end,1,indexed,forward,28,0.7489021243100874,0.1475853736610691,0.6772672001677578,28,0.6732504735235608,0.15436841397983148,0.598702869757608,28,7.629585879189627,2.1860039604412576,7.62860631942749
Gemma4-E4B,city_end,1,indexed,other_permutation,2,0.6229053297699012,0.0046987548919360566,0.6229053297699012,2,0.5402099921287267,0.004223265854300094,0.5402099921287267,2,9.092302322387695,1.2903760062044438,9.092302322387695
Gemma4-E4B,city_end,2,audit_sentence,forward,52,0.5212499168392996,0.06517016323990175,0.5103103805804396,52,0.4645593977898515,0.0708571089819512,0.4506489661251245,52,2.0518029572872014,1.0301731916591705,2.0010605454444885
Gemma4-E4B,city_end,2,audit_sentence,other_permutation,2,0.5019909903419699,0.028383842781156125,0.5019909903419699,2,0.4428167836333778,0.016240963659480568,0.4428167836333778,2,3.2633681297302246,1.684391045717754,3.2633681297302246
Gemma4-E4B,city_end,2,bullet,forward,113,0.6969535264193658,0.17741488594155272,0.791988514845831,113,0.6313371685682858,0.17212053284447,0.7169901375968719,113,3.133427212064245,1.373489231155663,3.00683069229126
Gemma4-E4B,city_end,2,bullet,other_permutation,11,0.6856065455751456,0.18274690525546158,0.8163376774805364,11,0.6150354602401187,0.1710920885142351,0.7058556850395377,11,3.6131971966136587,0.9865885313305548,3.405769824981689
Gemma4-E4B,city_end,2,completion_recap,forward,4,0.9400294812196798,0.299215527678593,0.8716306349317039,4,0.8832608530811539,0.28073033283448057,0.8198044538781651,4,4.810346469283105,4.225916660368546,3.7609684467315674
Gemma4-E4B,city_end,2,indexed,forward,21,0.6566318190504051,0.17862013131791496,0.5292860642346148,21,0.5923634575293004,0.16657502227435264,0.4818708587852111,21,2.5512856315998804,1.3643680079361489,2.578263759613037
Gemma4-E4B,city_end,3,audit_sentence,forward,30,0.50039419549627,0.0531670390498734,0.4926320930544812,30,0.44089669470906645,0.06367033972835477,0.4250566712197985,30,2.079778866594036,1.456860239538155,1.6959535479545593
Gemma4-E4B,city_end,3,audit_sentence,other_permutation,1,0.4824209607073193,,0.4824209607073193,1,0.4205240607355044,,0.4205240607355044,1,6.066610813140869,,6.066610813140869
Gemma4-E4B,city_end,3,bullet,forward,99,0.6981876350242077,0.16911102658526844,0.7815593869811929,99,0.6300650222726989,0.1600309506338302,0.7029818513165366,99,3.6484846408770544,2.073647334419714,3.26747465133667
Gemma4-E4B,city_end,3,bullet,other_permutation,10,0.5936789554890458,0.15924501356840384,0.5107059931178698,10,0.528674471504614,0.13926809773172197,0.4561418830327255,10,3.954890048503876,1.532590892593249,3.815032482147217
Gemma4-E4B,city_end,3,indexed,forward,29,0.6122772622888975,0.1412870817110892,0.5316879262629892,29,0.5541198688799962,0.13890477135954113,0.4818208653405626,29,2.4964092826021127,1.5414172262010482,2.8763647079467773
Gemma4-E4B,city_end,4,audit_sentence,forward,12,0.4938523813029265,0.025832627010588187,0.48998503442948654,12,0.4306122661494955,0.01613212010739456,0.42772343773549254,12,2.570905327796936,1.6895845489525392,2.351996660232544
Gemma4-E4B,city_end,4,bullet,forward,82,0.6440503715533028,0.1547079044732166,0.5387609066139663,82,0.5784418504666134,0.15391707986927045,0.48295877072110666,82,3.383653385246672,1.2388331961402848,3.3189733028411865
