scope,feature_set,target,model,rows,groups,heldout_r2_log1p,heldout_mae_log1p,numeric_factors,categorical_factors,post_outcome_diagnostic,feature_order,incremental_r2
Gemma4-E4B/all_sites,count_only,count_axis_deviation_abs,elastic_net,12383,10,0.22886767488408166,0.5328494330360533,"[""running_index"", ""gold_count""]","[""site_scope""]",False,0,
Gemma4-E4B/all_sites,plus_trace_position,count_axis_deviation_abs,elastic_net,12383,10,0.2515232301040152,0.522480756894696,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]","[""site_scope""]",False,1,0.022655555219933565
Gemma4-E4B/all_sites,plus_trace_form,count_axis_deviation_abs,elastic_net,12383,10,0.26247722413672925,0.5200831602601848,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""site_scope""]",False,2,0.01095399403271402
Gemma4-E4B/all_sites,plus_outcome_diagnostic,count_axis_deviation_abs,elastic_net,12383,10,0.26247722413672925,0.5200831602601848,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct"", ""site_scope""]",True,3,0.0
Gemma4-E4B/all_sites,count_only,count_axis_deviation_abs,hist_gradient_boosting,12383,10,0.42360575826148905,0.44993350842720864,"[""running_index"", ""gold_count""]","[""site_scope""]",False,0,
Gemma4-E4B/all_sites,plus_trace_position,count_axis_deviation_abs,hist_gradient_boosting,12383,10,0.5008814569710095,0.410453431945716,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]","[""site_scope""]",False,1,0.07727569870952045
Gemma4-E4B/all_sites,plus_trace_form,count_axis_deviation_abs,hist_gradient_boosting,12383,10,0.5525549041327953,0.3825371724982112,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""site_scope""]",False,2,0.05167344716178579
Gemma4-E4B/all_sites,plus_outcome_diagnostic,count_axis_deviation_abs,hist_gradient_boosting,12383,10,0.5525549041327953,0.3825371724982112,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct"", ""site_scope""]",True,3,0.0
Gemma4-E4B/all_sites,count_only,noise_total_rms,elastic_net,12383,10,0.5151607114595051,0.08760673101038262,"[""running_index"", ""gold_count""]","[""site_scope""]",False,0,
Gemma4-E4B/all_sites,plus_trace_position,noise_total_rms,elastic_net,12383,10,0.5396135902866066,0.08504194963701249,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]","[""site_scope""]",False,1,0.024452878827101454
Gemma4-E4B/all_sites,plus_trace_form,noise_total_rms,elastic_net,12383,10,0.6284048648878322,0.07277344806445195,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""site_scope""]",False,2,0.0887912746012256
Gemma4-E4B/all_sites,plus_outcome_diagnostic,noise_total_rms,elastic_net,12383,10,0.6284048648878322,0.07277344806445195,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct"", ""site_scope""]",True,3,0.0
Gemma4-E4B/all_sites,count_only,noise_total_rms,hist_gradient_boosting,12383,10,0.5992616029661851,0.07579540678809263,"[""running_index"", ""gold_count""]","[""site_scope""]",False,0,
Gemma4-E4B/all_sites,plus_trace_position,noise_total_rms,hist_gradient_boosting,12383,10,0.7450114842617075,0.05591198582055887,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]","[""site_scope""]",False,1,0.14574988129552235
Gemma4-E4B/all_sites,plus_trace_form,noise_total_rms,hist_gradient_boosting,12383,10,0.8516544566858216,0.03897366547255838,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""site_scope""]",False,2,0.10664297242411414
