scope,feature_set,target,model,rows,groups,heldout_r2_log1p,heldout_mae_log1p,numeric_factors,categorical_factors,post_outcome_diagnostic,feature_order,incremental_r2
Gemma4-E4B/all_sites,count_only,count_axis_deviation_abs,elastic_net,15373,10,0.23152579083665648,0.5311933685110496,"[""running_index"", ""gold_count""]","[""site_scope""]",False,0,
Gemma4-E4B/all_sites,plus_trace_position,count_axis_deviation_abs,elastic_net,15373,10,0.25300260580673184,0.5213809735921258,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]","[""site_scope""]",False,1,0.021476814970075364
Gemma4-E4B/all_sites,plus_trace_form,count_axis_deviation_abs,elastic_net,15373,10,0.2626588330494649,0.5192626159022006,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""site_scope""]",False,2,0.009656227242733073
Gemma4-E4B/all_sites,plus_outcome_diagnostic,count_axis_deviation_abs,elastic_net,15373,10,0.2626588330494649,0.5192626159022007,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct"", ""site_scope""]",True,3,0.0
Gemma4-E4B/all_sites,count_only,count_axis_deviation_abs,hist_gradient_boosting,15373,10,0.4345285053839918,0.4462050260153073,"[""running_index"", ""gold_count""]","[""site_scope""]",False,0,
Gemma4-E4B/all_sites,plus_trace_position,count_axis_deviation_abs,hist_gradient_boosting,15373,10,0.5131995274099197,0.40630174615574804,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]","[""site_scope""]",False,1,0.0786710220259279
Gemma4-E4B/all_sites,plus_trace_form,count_axis_deviation_abs,hist_gradient_boosting,15373,10,0.5661667721009793,0.3764278375163095,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""site_scope""]",False,2,0.05296724469105962
Gemma4-E4B/all_sites,plus_outcome_diagnostic,count_axis_deviation_abs,hist_gradient_boosting,15373,10,0.5661667721009793,0.3764278375163095,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct"", ""site_scope""]",True,3,0.0
Gemma4-E4B/all_sites,count_only,noise_total_rms,elastic_net,15373,10,0.5120940325278078,0.08747687476451059,"[""running_index"", ""gold_count""]","[""site_scope""]",False,0,
Gemma4-E4B/all_sites,plus_trace_position,noise_total_rms,elastic_net,15373,10,0.5357326754099088,0.0850828643002621,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]","[""site_scope""]",False,1,0.023638642882100935
Gemma4-E4B/all_sites,plus_trace_form,noise_total_rms,elastic_net,15373,10,0.625721132354965,0.07278982848605353,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""site_scope""]",False,2,0.0899884569450562
Gemma4-E4B/all_sites,plus_outcome_diagnostic,noise_total_rms,elastic_net,15373,10,0.625721132354965,0.07278982848605353,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct"", ""site_scope""]",True,3,0.0
Gemma4-E4B/all_sites,count_only,noise_total_rms,hist_gradient_boosting,15373,10,0.6004929702013533,0.07614723278744823,"[""running_index"", ""gold_count""]","[""site_scope""]",False,0,
Gemma4-E4B/all_sites,plus_trace_position,noise_total_rms,hist_gradient_boosting,15373,10,0.740186011844167,0.05611378668128539,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]","[""site_scope""]",False,1,0.1396930416428137
Gemma4-E4B/all_sites,plus_trace_form,noise_total_rms,hist_gradient_boosting,15373,10,0.8502883442608062,0.038794808043449924,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""site_scope""]",False,2,0.11010233241663925
Gemma4-E4B/all_sites,plus_outcome_diagnostic,noise_total_rms,hist_gradient_boosting,15373,10,0.8502883442608062,0.038794808043449924,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct"", ""site_scope""]",True,3,0.0
Gemma4-E4B/city_end,count_only,count_axis_deviation_abs,elastic_net,1350,10,0.16496736508348386,0.4188049221930968,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/city_end,plus_trace_position,count_axis_deviation_abs,elastic_net,1350,10,0.22245636363601007,0.39963835885312543,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.057488998552526205
Gemma4-E4B/city_end,plus_trace_form,count_axis_deviation_abs,elastic_net,1350,10,0.2587582626615125,0.3908892840191964,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.036301899025502404
Gemma4-E4B/city_end,plus_outcome_diagnostic,count_axis_deviation_abs,elastic_net,1350,10,0.2587582626615125,0.3908892840191964,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/city_end,count_only,count_axis_deviation_abs,hist_gradient_boosting,1350,10,0.37844817661152963,0.3451169063990923,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/city_end,plus_trace_position,count_axis_deviation_abs,hist_gradient_boosting,1350,10,0.30420744075209116,0.3655281145213529,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,-0.07424073585943847
Gemma4-E4B/city_end,plus_trace_form,count_axis_deviation_abs,hist_gradient_boosting,1350,10,0.3633394605813878,0.34690502754770314,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.05913201982929661
Gemma4-E4B/city_end,plus_outcome_diagnostic,count_axis_deviation_abs,hist_gradient_boosting,1350,10,0.3633394605813878,0.34690502754770314,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/city_end,count_only,noise_total_rms,elastic_net,1350,10,0.09599800847978146,0.09018352904781184,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/city_end,plus_trace_position,noise_total_rms,elastic_net,1350,10,0.21087817833438272,0.08170578989073007,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.11488016985460126
Gemma4-E4B/city_end,plus_trace_form,noise_total_rms,elastic_net,1350,10,0.7541655691405901,0.03653971303375524,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.5432873908062074
Gemma4-E4B/city_end,plus_outcome_diagnostic,noise_total_rms,elastic_net,1350,10,0.7541655691405901,0.03653971303375524,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/city_end,count_only,noise_total_rms,hist_gradient_boosting,1350,10,0.12106123976538563,0.08856195270056451,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/city_end,plus_trace_position,noise_total_rms,hist_gradient_boosting,1350,10,0.3547256785279519,0.06323262600417555,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.23366443876256626
Gemma4-E4B/city_end,plus_trace_form,noise_total_rms,hist_gradient_boosting,1350,10,0.8544128263531683,0.025772195665506155,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.4996871478252164
Gemma4-E4B/city_end,plus_outcome_diagnostic,noise_total_rms,hist_gradient_boosting,1350,10,0.8544128263531683,0.025772195665506155,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/item_end,count_only,count_axis_deviation_abs,elastic_net,1234,10,0.04814732449427661,0.5468576482323092,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/item_end,plus_trace_position,count_axis_deviation_abs,elastic_net,1234,10,0.07145129976111286,0.5408082150226996,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,0.023303975266836252
Gemma4-E4B/item_end,plus_trace_form,count_axis_deviation_abs,elastic_net,1234,10,0.07023048798357834,0.5402380500860438,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,-0.001220811777534525
Gemma4-E4B/item_end,plus_outcome_diagnostic,count_axis_deviation_abs,elastic_net,1234,10,0.07023048798357834,0.5402380500860438,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one"", ""baseline_correct"", ""cutoff_correct""]",True,3,0.0
Gemma4-E4B/item_end,count_only,count_axis_deviation_abs,hist_gradient_boosting,1234,10,0.18746493045557744,0.4727826380481598,"[""running_index"", ""gold_count""]",[],False,0,
Gemma4-E4B/item_end,plus_trace_position,count_axis_deviation_abs,hist_gradient_boosting,1234,10,0.1265029321218636,0.4925893846342814,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span""]",[],False,1,-0.06096199833371385
Gemma4-E4B/item_end,plus_trace_form,count_axis_deviation_abs,hist_gradient_boosting,1234,10,0.1693831669813297,0.47668497660805315,"[""running_index"", ""gold_count"", ""count_progress"", ""trace_position"", ""trace_progress"", ""previous_same_site_gap"", ""token_span"", ""input_tokens"", ""output_tokens"", ""sequence_length"", ""item_count"", ""duplicate_gold_city_items"", ""city_occurrences_in_item""]","[""state_kind"", ""marker_kind"", ""termination_kind"", ""trace_order_class"", ""trace_one_to_one""]",False,2,0.042880234859466126
