model_label,seed,receiver_count,donor_count,support,condition,source_layer,target_layer,replacement_delta_norm,clean_donor_log_odds,condition_donor_log_odds,donor_log_odds_gain,target_donor_fraction,argmax_token_changed
Qwen3-8B,1254,1,2,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-6.25,-6.25,0.0,0.0024047144688665867,0
Qwen3-8B,1254,1,2,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-6.25,-6.25,0.0,0.0020881309174001217,0
Qwen3-8B,1254,1,2,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-6.25,-6.25,0.0,0.0015857415273785591,0
Qwen3-8B,1254,1,2,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-6.25,18.75,25.0,1.002286672592163,1
Qwen3-8B,1254,1,2,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-6.25,14.75,21.0,1.9150869846343994,1
Qwen3-8B,1254,1,2,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-6.25,3.75,10.0,0.11254963278770447,1
Qwen3-8B,1254,2,1,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-20.0,-20.0,0.0,5.211584357311949e-05,0
Qwen3-8B,1254,2,1,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-20.0,-20.0,0.0,0.0002177868882426992,0
Qwen3-8B,1254,2,1,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-20.0,-19.75,0.25,0.00022916756279300898,0
Qwen3-8B,1254,2,1,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-20.0,7.5,27.5,0.9954373240470886,1
Qwen3-8B,1254,2,1,answer_query_relay,aligned_dose_2,28,29,271.75982666015625,-20.0,15.25,35.25,1.868443250656128,1
Qwen3-8B,1254,2,1,answer_query_relay,matched_orthogonal,28,29,135.87991333007812,-20.0,-16.75,3.25,-0.07437653094530106,0
Qwen3-8B,1254,5,6,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,-3.25,-3.0,0.25,-0.0008471146575175226,0
Qwen3-8B,1254,5,6,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,-3.25,-3.25,0.0,-0.0003355140797793865,0
Qwen3-8B,1254,5,6,legacy_endpoint,matched_orthogonal,27,29,12.123072624206543,-3.25,-3.25,0.0,0.0003764991124626249,0
Qwen3-8B,1254,5,6,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,-3.25,0.0,3.25,0.9816885590553284,1
Qwen3-8B,1254,5,6,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,-3.25,2.0,5.25,1.9312191009521484,1
Qwen3-8B,1254,5,6,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,-3.25,-4.25,-1.0,-0.1257317215204239,1
Qwen3-8B,1254,6,5,legacy_endpoint,aligned_dose_1,27,29,12.12307071685791,2.75,3.0,0.25,0.0006561089539900422,0
Qwen3-8B,1254,6,5,legacy_endpoint,aligned_dose_2,27,29,24.24614143371582,2.75,3.0,0.25,0.0009083490003831685,0
Qwen3-8B,1254,6,5,legacy_endpoint,matched_orthogonal,27,29,12.123072624206543,2.75,3.0,0.25,2.5446457584621385e-05,0
Qwen3-8B,1254,6,5,answer_query_relay,aligned_dose_1,28,29,23.792585372924805,2.75,3.75,1.0,0.8402418494224548,1
Qwen3-8B,1254,6,5,answer_query_relay,aligned_dose_2,28,29,47.58517074584961,2.75,3.5,0.75,1.542697787284851,1
Qwen3-8B,1254,6,5,answer_query_relay,matched_orthogonal,28,29,23.792583465576172,2.75,4.25,1.5,0.12167192250490189,0
Qwen3-8B,1255,1,2,legacy_endpoint,aligned_dose_1,27,29,178.97483825683594,-9.25,-9.25,0.0,0.0003307876468170434,0
Qwen3-8B,1255,1,2,legacy_endpoint,aligned_dose_2,27,29,357.9496765136719,-9.25,-9.25,0.0,0.0001098092325264588,0
Qwen3-8B,1255,1,2,legacy_endpoint,matched_orthogonal,27,29,178.974853515625,-9.25,-9.25,0.0,7.544046820839867e-05,0
Qwen3-8B,1255,1,2,answer_query_relay,aligned_dose_1,28,29,135.87991333007812,-9.25,18.75,28.0,0.9904612898826599,1
