model_label,seed,gold_count,request_id,clean_reference_suffix_exact,clean_reference_suffix_token_accuracy,clean_reference_terminal_nonmarker_token_accuracy,targeted_suffix_token_damage,targeted_terminal_nonmarker_damage,selected_early_eos,mean_random_early_eos,targeted_answer_damage__expected_count_utility,selected_clean_state_restoration__expected_count_utility,random_clean_state_restoration__expected_count_utility,restoration_specificity__expected_count_utility,selected_state_occlusion__expected_count_utility,clean_selected_gap__expected_count_utility,targeted_answer_damage__correct_count_probability,selected_clean_state_restoration__correct_count_probability,random_clean_state_restoration__correct_count_probability,restoration_specificity__correct_count_probability,selected_state_occlusion__correct_count_probability,clean_selected_gap__correct_count_probability,targeted_answer_damage__correct_count_margin,selected_clean_state_restoration__correct_count_margin,random_clean_state_restoration__correct_count_margin,restoration_specificity__correct_count_margin,selected_state_occlusion__correct_count_margin,clean_selected_gap__correct_count_margin,targeted_answer_damage__exact_count,selected_clean_state_restoration__exact_count,random_clean_state_restoration__exact_count,restoration_specificity__exact_count,selected_state_occlusion__exact_count,clean_selected_gap__exact_count
Qwen3-8B,1234,3,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1.0,1.0,1.0,-0.05882352941176483,-0.06060606060606055,0.0,0.0,-2.0724163126336257e-15,0.0,1.4802973661668755e-15,-1.4802973661668755e-15,0.0,0.0,-1.2212453270876722e-15,0.0,8.881784197001252e-16,-8.881784197001252e-16,0.0,0.0,-0.5000483194986955,0.0,0.33332570393880206,-0.33332570393880206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1235,3,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1235,1.0,1.0,1.0,-0.3194444444444443,-0.31666666666666676,0.0,0.0,-1.7763568394002505e-15,0.0,-1.0362081563168128e-15,1.0362081563168128e-15,0.0,0.0,-1.887379141862766e-15,0.0,-1.0362081563168128e-15,1.0362081563168128e-15,0.0,0.0,-0.08333333333333215,0.0,-0.041667938232421875,0.041667938232421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1236,5,Qwen3-8B/native_thinking/v5/V4_4_T10000_N5_seed1236,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1237,6,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1237,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1238,6,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1238,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,5.7384615577878627e-11,6.103917371547141e-11,4.234834705130197e-12,5.680433901034121e-11,1.5436540934388177e-12,6.197620194825504e-11,5.7751692317253855e-11,6.143219266618871e-11,4.264588682190151e-12,5.716760398399856e-11,1.6429080318403066e-12,6.23758822371201e-11,5.083332379659016,4.124999046325684,0.8333333333333334,3.29166571299235,3.2499990463256836,6.874999046325684,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1239,2,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1239,1.0,1.0,1.0,-0.6599999999999999,-0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,-0.7500638961791992,0.0,-0.04167811075846354,0.04167811075846354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1240,3,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1240,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1241,4,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1241,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1242,5,Qwen3-8B/native_thinking/v5/V4_4_T10000_N5_seed1242,0.0,0.4956896551724138,0.043478260869565216,0.3620689655172413,0.6811594202898551,1.0,0.0,0.030518708463959914,0.030518679087080613,-6.471860084881579e-13,0.0305186790877278,1.2646443892094794e-09,0.030518708463532995,0.00767122819103172,0.007671204109385932,-1.021405182655144e-12,0.007671204110407337,2.8573183818991765e-09,0.007671228189562784,24.79022979736328,12.873739242553711,-2.3333352406819663,15.207074483235678,7.249807357788086,22.37355613708496,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1243,2,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1243,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
