model_label,seed,gold_count,request_id,clean_reference_suffix_exact,clean_reference_suffix_token_accuracy,clean_reference_terminal_nonmarker_token_accuracy,targeted_suffix_token_damage,targeted_terminal_nonmarker_damage,selected_early_eos,mean_random_early_eos,targeted_answer_damage__expected_count_utility,selected_clean_state_restoration__expected_count_utility,random_clean_state_restoration__expected_count_utility,restoration_specificity__expected_count_utility,selected_state_occlusion__expected_count_utility,clean_selected_gap__expected_count_utility,targeted_answer_damage__correct_count_probability,selected_clean_state_restoration__correct_count_probability,random_clean_state_restoration__correct_count_probability,restoration_specificity__correct_count_probability,selected_state_occlusion__correct_count_probability,clean_selected_gap__correct_count_probability,targeted_answer_damage__correct_count_margin,selected_clean_state_restoration__correct_count_margin,random_clean_state_restoration__correct_count_margin,restoration_specificity__correct_count_margin,selected_state_occlusion__correct_count_margin,clean_selected_gap__correct_count_margin,targeted_answer_damage__exact_count,selected_clean_state_restoration__exact_count,random_clean_state_restoration__exact_count,restoration_specificity__exact_count,selected_state_occlusion__exact_count,clean_selected_gap__exact_count
Qwen3-8B,1254,2,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1254,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-14,3.375077994860476e-14,4.884981308350689e-14,-1.509903313490213e-14,2.353672812205332e-14,3.197442310920451e-14,-1.7985612998927536e-14,3.5083047578154947e-14,4.9960036108132044e-14,-1.4876988529977098e-14,2.4202861936828413e-14,3.2862601528904634e-14,-0.3749990463256836,2.1250123977661133,2.0000076293945312,0.12500476837158203,1.5000123977661133,1.7500286102294922,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1255,3,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1255,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.333599897179738e-12,6.545874953189923e-13,0.0,6.545874953189923e-13,1.4921397450962104e-13,1.333599897179738e-12,1.333377852574813e-12,6.541434061091422e-13,0.0,6.541434061091422e-13,1.48991929904696e-13,1.333377852574813e-12,1.625,0.4999961853027344,0.0,0.4999961853027344,0.3750009536743164,1.625,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1256,4,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1256,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1257,5,Qwen3-8B/native_thinking/v5/V4_4_T10000_N5_seed1257,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.504663143554353e-11,2.4728663561290887e-11,0.0,2.4728663561290887e-11,4.263256414560601e-13,2.504663143554353e-11,2.6813884446141856e-11,2.642175367384425e-11,0.0,2.642175367384425e-11,7.629452625224076e-13,2.6813884446141856e-11,7.5,4.25,0.0,4.25,3.75,7.5,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1258,6,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1258,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1259,2,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1259,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1260,3,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1260,1.0,1.0,1.0,0.5789473684210527,0.5789473684210527,0.0,0.0,-6.661338147750939e-15,2.6645352591003757e-15,1.879977655031932e-14,-1.6135241291218943e-14,5.773159728050814e-15,1.9539925233402755e-14,-5.88418203051333e-15,3.3306690738754696e-15,1.850371707708594e-14,-1.5173048003210472e-14,5.995204332975845e-15,2.020605904817785e-14,0.25002129872639856,0.12500572204589844,0.5000057220458984,-0.375,0.6250143051147461,1.3750476837158203,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1261,4,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1261,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1262,5,Qwen3-8B/native_thinking/v5/V4_4_T10000_N5_seed1262,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen3-8B,1263,6,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1263,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
